project,article,granularity,timestamp,access,agent,views
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-01,all-access,all-agents,2335
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-02,all-access,all-agents,2258
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-03,all-access,all-agents,2395
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-04,all-access,all-agents,2333
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-05,all-access,all-agents,2626
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-06,all-access,all-agents,2752
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-07,all-access,all-agents,2472
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-08,all-access,all-agents,2434
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-09,all-access,all-agents,2322
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-10,all-access,all-agents,2197
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-11,all-access,all-agents,2418
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-12,all-access,all-agents,2717
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-13,all-access,all-agents,2561
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-14,all-access,all-agents,2428
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-15,all-access,all-agents,2217
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-16,all-access,all-agents,2165
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-17,all-access,all-agents,2220
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-18,all-access,all-agents,2809
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-19,all-access,all-agents,2941
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-20,all-access,all-agents,2960
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-21,all-access,all-agents,2603
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-22,all-access,all-agents,4385
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-23,all-access,all-agents,3474
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-24,all-access,all-agents,2910
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-25,all-access,all-agents,2970
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-26,all-access,all-agents,3118
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-27,all-access,all-agents,2949
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-28,all-access,all-agents,2935
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-29,all-access,all-agents,3078
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-30,all-access,all-agents,2770
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-07-31,all-access,all-agents,2422
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-01,all-access,all-agents,2680
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-02,all-access,all-agents,2884
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-03,all-access,all-agents,2617
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-04,all-access,all-agents,2567
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-05,all-access,all-agents,2349
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-06,all-access,all-agents,2315
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-07,all-access,all-agents,2434
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-08,all-access,all-agents,2605
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-09,all-access,all-agents,2669
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-10,all-access,all-agents,2476
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-11,all-access,all-agents,2354
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-12,all-access,all-agents,2269
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-13,all-access,all-agents,2439
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-14,all-access,all-agents,2556
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-15,all-access,all-agents,2714
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-16,all-access,all-agents,2834
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-17,all-access,all-agents,3818
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-18,all-access,all-agents,3524
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-19,all-access,all-agents,3011
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-20,all-access,all-agents,2471
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-21,all-access,all-agents,2541
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-22,all-access,all-agents,2582
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-23,all-access,all-agents,2923
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-24,all-access,all-agents,2591
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-25,all-access,all-agents,3258
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-26,all-access,all-agents,2621
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-27,all-access,all-agents,2323
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-28,all-access,all-agents,2192
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-29,all-access,all-agents,2660
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-30,all-access,all-agents,2779
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-08-31,all-access,all-agents,2571
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-01,all-access,all-agents,3508
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-02,all-access,all-agents,2618
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-03,all-access,all-agents,2492
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-04,all-access,all-agents,2535
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-05,all-access,all-agents,3333
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-06,all-access,all-agents,3023
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-07,all-access,all-agents,2727
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-08,all-access,all-agents,2674
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-09,all-access,all-agents,2380
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-10,all-access,all-agents,2473
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-11,all-access,all-agents,2263
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-12,all-access,all-agents,2490
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-13,all-access,all-agents,2926
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-14,all-access,all-agents,2485
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-15,all-access,all-agents,2313
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-16,all-access,all-agents,2275
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-17,all-access,all-agents,2085
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-18,all-access,all-agents,2491
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-19,all-access,all-agents,2577
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-20,all-access,all-agents,2920
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-21,all-access,all-agents,2510
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-22,all-access,all-agents,2106
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-23,all-access,all-agents,2235
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-24,all-access,all-agents,2200
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-25,all-access,all-agents,2346
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-26,all-access,all-agents,2577
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-27,all-access,all-agents,2711
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-28,all-access,all-agents,2521
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-29,all-access,all-agents,2181
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-09-30,all-access,all-agents,2918
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-01,all-access,all-agents,3174
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-02,all-access,all-agents,2354
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-03,all-access,all-agents,2816
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-04,all-access,all-agents,2942
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-05,all-access,all-agents,2653
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-06,all-access,all-agents,2682
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-07,all-access,all-agents,2419
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-08,all-access,all-agents,2369
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-09,all-access,all-agents,2338
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-10,all-access,all-agents,2777
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-11,all-access,all-agents,3088
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-12,all-access,all-agents,3374
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-13,all-access,all-agents,2559
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-14,all-access,all-agents,2385
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-15,all-access,all-agents,2149
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-16,all-access,all-agents,2344
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-17,all-access,all-agents,3196
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-18,all-access,all-agents,3329
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-19,all-access,all-agents,2790
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-20,all-access,all-agents,2595
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-21,all-access,all-agents,2320
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-22,all-access,all-agents,3105
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-23,all-access,all-agents,2907
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-24,all-access,all-agents,3236
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-25,all-access,all-agents,3321
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-26,all-access,all-agents,3871
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-27,all-access,all-agents,5180
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-28,all-access,all-agents,4171
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-29,all-access,all-agents,3942
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-30,all-access,all-agents,3926
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-10-31,all-access,all-agents,4111
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-11-01,all-access,all-agents,4560
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-11-02,all-access,all-agents,4323
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-11-03,all-access,all-agents,4456
en.wikipedia,Blue_Is_the_Warmest_Colour,daily,2015-11-04,all-access,all-agents,4770
