project,article,granularity,timestamp,access,agent,views
en.wikipedia,Brokeback_Mountain,daily,2015-07-01,all-access,all-agents,3095
en.wikipedia,Brokeback_Mountain,daily,2015-07-02,all-access,all-agents,3132
en.wikipedia,Brokeback_Mountain,daily,2015-07-03,all-access,all-agents,3206
en.wikipedia,Brokeback_Mountain,daily,2015-07-04,all-access,all-agents,3461
en.wikipedia,Brokeback_Mountain,daily,2015-07-05,all-access,all-agents,3875
en.wikipedia,Brokeback_Mountain,daily,2015-07-06,all-access,all-agents,3565
en.wikipedia,Brokeback_Mountain,daily,2015-07-07,all-access,all-agents,3195
en.wikipedia,Brokeback_Mountain,daily,2015-07-08,all-access,all-agents,3187
en.wikipedia,Brokeback_Mountain,daily,2015-07-09,all-access,all-agents,3038
en.wikipedia,Brokeback_Mountain,daily,2015-07-10,all-access,all-agents,3017
en.wikipedia,Brokeback_Mountain,daily,2015-07-11,all-access,all-agents,3166
en.wikipedia,Brokeback_Mountain,daily,2015-07-12,all-access,all-agents,3755
en.wikipedia,Brokeback_Mountain,daily,2015-07-13,all-access,all-agents,3953
en.wikipedia,Brokeback_Mountain,daily,2015-07-14,all-access,all-agents,3571
en.wikipedia,Brokeback_Mountain,daily,2015-07-15,all-access,all-agents,3006
en.wikipedia,Brokeback_Mountain,daily,2015-07-16,all-access,all-agents,3214
en.wikipedia,Brokeback_Mountain,daily,2015-07-17,all-access,all-agents,3489
en.wikipedia,Brokeback_Mountain,daily,2015-07-18,all-access,all-agents,3877
en.wikipedia,Brokeback_Mountain,daily,2015-07-19,all-access,all-agents,3951
en.wikipedia,Brokeback_Mountain,daily,2015-07-20,all-access,all-agents,4779
en.wikipedia,Brokeback_Mountain,daily,2015-07-21,all-access,all-agents,3751
en.wikipedia,Brokeback_Mountain,daily,2015-07-22,all-access,all-agents,4723
en.wikipedia,Brokeback_Mountain,daily,2015-07-23,all-access,all-agents,7490
en.wikipedia,Brokeback_Mountain,daily,2015-07-24,all-access,all-agents,7729
en.wikipedia,Brokeback_Mountain,daily,2015-07-25,all-access,all-agents,6663
en.wikipedia,Brokeback_Mountain,daily,2015-07-26,all-access,all-agents,5376
en.wikipedia,Brokeback_Mountain,daily,2015-07-27,all-access,all-agents,4865
en.wikipedia,Brokeback_Mountain,daily,2015-07-28,all-access,all-agents,5684
en.wikipedia,Brokeback_Mountain,daily,2015-07-29,all-access,all-agents,6246
en.wikipedia,Brokeback_Mountain,daily,2015-07-30,all-access,all-agents,4706
en.wikipedia,Brokeback_Mountain,daily,2015-07-31,all-access,all-agents,5444
en.wikipedia,Brokeback_Mountain,daily,2015-08-01,all-access,all-agents,4013
en.wikipedia,Brokeback_Mountain,daily,2015-08-02,all-access,all-agents,3927
en.wikipedia,Brokeback_Mountain,daily,2015-08-03,all-access,all-agents,3219
