project,article,granularity,timestamp,access,agent,views
en.wikipedia,Brooklyn,daily,2015-07-01,all-access,all-agents,3198
en.wikipedia,Brooklyn,daily,2015-07-02,all-access,all-agents,2928
en.wikipedia,Brooklyn,daily,2015-07-03,all-access,all-agents,2738
en.wikipedia,Brooklyn,daily,2015-07-04,all-access,all-agents,2896
en.wikipedia,Brooklyn,daily,2015-07-05,all-access,all-agents,3121
en.wikipedia,Brooklyn,daily,2015-07-06,all-access,all-agents,3210
en.wikipedia,Brooklyn,daily,2015-07-07,all-access,all-agents,3342
en.wikipedia,Brooklyn,daily,2015-07-08,all-access,all-agents,3291
en.wikipedia,Brooklyn,daily,2015-07-09,all-access,all-agents,3277
en.wikipedia,Brooklyn,daily,2015-07-10,all-access,all-agents,3454
en.wikipedia,Brooklyn,daily,2015-07-11,all-access,all-agents,2931
en.wikipedia,Brooklyn,daily,2015-07-12,all-access,all-agents,3300
en.wikipedia,Brooklyn,daily,2015-07-13,all-access,all-agents,3511
en.wikipedia,Brooklyn,daily,2015-07-14,all-access,all-agents,3362
en.wikipedia,Brooklyn,daily,2015-07-15,all-access,all-agents,3306
en.wikipedia,Brooklyn,daily,2015-07-16,all-access,all-agents,3187
en.wikipedia,Brooklyn,daily,2015-07-17,all-access,all-agents,3068
en.wikipedia,Brooklyn,daily,2015-07-18,all-access,all-agents,4619
en.wikipedia,Brooklyn,daily,2015-07-19,all-access,all-agents,3315
en.wikipedia,Brooklyn,daily,2015-07-20,all-access,all-agents,3365
en.wikipedia,Brooklyn,daily,2015-07-21,all-access,all-agents,3623
en.wikipedia,Brooklyn,daily,2015-07-22,all-access,all-agents,3245
en.wikipedia,Brooklyn,daily,2015-07-23,all-access,all-agents,3271
en.wikipedia,Brooklyn,daily,2015-07-24,all-access,all-agents,3140
en.wikipedia,Brooklyn,daily,2015-07-25,all-access,all-agents,2903
en.wikipedia,Brooklyn,daily,2015-07-26,all-access,all-agents,3363
en.wikipedia,Brooklyn,daily,2015-07-27,all-access,all-agents,3719
en.wikipedia,Brooklyn,daily,2015-07-28,all-access,all-agents,3738
en.wikipedia,Brooklyn,daily,2015-07-29,all-access,all-agents,4286
en.wikipedia,Brooklyn,daily,2015-07-30,all-access,all-agents,3674
en.wikipedia,Brooklyn,daily,2015-07-31,all-access,all-agents,3289
en.wikipedia,Brooklyn,daily,2015-08-01,all-access,all-agents,3022
en.wikipedia,Brooklyn,daily,2015-08-02,all-access,all-agents,3379
en.wikipedia,Brooklyn,daily,2015-08-03,all-access,all-agents,3190
en.wikipedia,Brooklyn,daily,2015-08-04,all-access,all-agents,3836
en.wikipedia,Brooklyn,daily,2015-08-05,all-access,all-agents,3682
en.wikipedia,Brooklyn,daily,2015-08-06,all-access,all-agents,3571
en.wikipedia,Brooklyn,daily,2015-08-07,all-access,all-agents,3697
en.wikipedia,Brooklyn,daily,2015-08-08,all-access,all-agents,3515
en.wikipedia,Brooklyn,daily,2015-08-09,all-access,all-agents,3600
en.wikipedia,Brooklyn,daily,2015-08-10,all-access,all-agents,3896
en.wikipedia,Brooklyn,daily,2015-08-11,all-access,all-agents,3715
en.wikipedia,Brooklyn,daily,2015-08-12,all-access,all-agents,3700
en.wikipedia,Brooklyn,daily,2015-08-13,all-access,all-agents,3567
en.wikipedia,Brooklyn,daily,2015-08-14,all-access,all-agents,3594
en.wikipedia,Brooklyn,daily,2015-08-15,all-access,all-agents,3258
en.wikipedia,Brooklyn,daily,2015-08-16,all-access,all-agents,3630
en.wikipedia,Brooklyn,daily,2015-08-17,all-access,all-agents,4002
en.wikipedia,Brooklyn,daily,2015-08-18,all-access,all-agents,3735
en.wikipedia,Brooklyn,daily,2015-08-19,all-access,all-agents,3596
en.wikipedia,Brooklyn,daily,2015-08-20,all-access,all-agents,3557
en.wikipedia,Brooklyn,daily,2015-08-21,all-access,all-agents,3677
en.wikipedia,Brooklyn,daily,2015-08-22,all-access,all-agents,3338
en.wikipedia,Brooklyn,daily,2015-08-23,all-access,all-agents,4024
en.wikipedia,Brooklyn,daily,2015-08-24,all-access,all-agents,4178
en.wikipedia,Brooklyn,daily,2015-08-25,all-access,all-agents,3924
en.wikipedia,Brooklyn,daily,2015-08-26,all-access,all-agents,3482
en.wikipedia,Brooklyn,daily,2015-08-27,all-access,all-agents,3367
en.wikipedia,Brooklyn,daily,2015-08-28,all-access,all-agents,3411
en.wikipedia,Brooklyn,daily,2015-08-29,all-access,all-agents,3029
en.wikipedia,Brooklyn,daily,2015-08-30,all-access,all-agents,3482
en.wikipedia,Brooklyn,daily,2015-08-31,all-access,all-agents,3666
en.wikipedia,Brooklyn,daily,2015-09-01,all-access,all-agents,3338
en.wikipedia,Brooklyn,daily,2015-09-02,all-access,all-agents,3404
en.wikipedia,Brooklyn,daily,2015-09-03,all-access,all-agents,3318
en.wikipedia,Brooklyn,daily,2015-09-04,all-access,all-agents,3282
en.wikipedia,Brooklyn,daily,2015-09-05,all-access,all-agents,3039
