project,article,granularity,timestamp,access,agent,views
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-01,all-access,all-agents,1354
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-02,all-access,all-agents,1394
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-03,all-access,all-agents,1531
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-04,all-access,all-agents,1558
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-05,all-access,all-agents,2157
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-06,all-access,all-agents,1704
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-07,all-access,all-agents,1897
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-08,all-access,all-agents,1500
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-09,all-access,all-agents,1427
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-10,all-access,all-agents,1472
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-11,all-access,all-agents,1413
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-12,all-access,all-agents,1720
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-13,all-access,all-agents,1593
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-14,all-access,all-agents,1514
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-15,all-access,all-agents,1380
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-16,all-access,all-agents,1591
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-17,all-access,all-agents,1653
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-18,all-access,all-agents,1494
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-19,all-access,all-agents,1614
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-20,all-access,all-agents,1388
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-21,all-access,all-agents,1370
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-22,all-access,all-agents,1403
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-23,all-access,all-agents,1319
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-24,all-access,all-agents,1357
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-25,all-access,all-agents,1582
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-26,all-access,all-agents,1711
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-27,all-access,all-agents,1603
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-28,all-access,all-agents,1483
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-29,all-access,all-agents,1499
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-30,all-access,all-agents,1578
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-07-31,all-access,all-agents,1478
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-01,all-access,all-agents,1453
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-02,all-access,all-agents,2508
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-03,all-access,all-agents,2456
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-04,all-access,all-agents,1494
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-05,all-access,all-agents,1926
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-06,all-access,all-agents,1546
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-07,all-access,all-agents,1484
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-08,all-access,all-agents,1443
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-09,all-access,all-agents,1787
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-10,all-access,all-agents,1411
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-11,all-access,all-agents,1563
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-12,all-access,all-agents,1472
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-13,all-access,all-agents,1465
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-14,all-access,all-agents,1623
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-15,all-access,all-agents,2263
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-16,all-access,all-agents,1770
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-17,all-access,all-agents,1708
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-18,all-access,all-agents,1639
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-19,all-access,all-agents,1360
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-20,all-access,all-agents,1569
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-21,all-access,all-agents,1747
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-22,all-access,all-agents,1513
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-23,all-access,all-agents,1778
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-24,all-access,all-agents,1686
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-25,all-access,all-agents,1538
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-26,all-access,all-agents,1455
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-27,all-access,all-agents,1628
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-28,all-access,all-agents,1661
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-29,all-access,all-agents,1665
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-30,all-access,all-agents,1842
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-08-31,all-access,all-agents,1556
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-01,all-access,all-agents,1555
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-02,all-access,all-agents,1420
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-03,all-access,all-agents,2017
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-04,all-access,all-agents,1303
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-05,all-access,all-agents,1345
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-06,all-access,all-agents,1555
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-07,all-access,all-agents,1766
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-08,all-access,all-agents,2405
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-09,all-access,all-agents,1247
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-10,all-access,all-agents,1211
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-11,all-access,all-agents,1343
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-12,all-access,all-agents,1337
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-13,all-access,all-agents,1781
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-14,all-access,all-agents,1582
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-15,all-access,all-agents,1345
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-16,all-access,all-agents,1717
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-17,all-access,all-agents,2356
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-18,all-access,all-agents,1246
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-19,all-access,all-agents,2180
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-20,all-access,all-agents,1586
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-21,all-access,all-agents,1604
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-22,all-access,all-agents,1513
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-23,all-access,all-agents,1634
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-24,all-access,all-agents,1325
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-25,all-access,all-agents,1222
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-26,all-access,all-agents,1261
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-27,all-access,all-agents,1423
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-28,all-access,all-agents,1270
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-29,all-access,all-agents,1289
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-09-30,all-access,all-agents,1151
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-01,all-access,all-agents,1415
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-02,all-access,all-agents,1808
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-03,all-access,all-agents,1305
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-04,all-access,all-agents,1851
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-05,all-access,all-agents,1540
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-06,all-access,all-agents,1318
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-07,all-access,all-agents,1273
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-08,all-access,all-agents,1219
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-09,all-access,all-agents,1252
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-10,all-access,all-agents,1576
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-11,all-access,all-agents,2092
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-12,all-access,all-agents,1499
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-13,all-access,all-agents,1793
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-14,all-access,all-agents,1699
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-15,all-access,all-agents,1207
en.wikipedia,"Crouching_Tiger,_Hidden_Dragon",daily,2015-10-16,all-access,all-agents,1325
