project,article,granularity,timestamp,access,agent,views
en.wikipedia,Finding_Nemo,daily,2015-07-01,all-access,all-agents,3003
en.wikipedia,Finding_Nemo,daily,2015-07-02,all-access,all-agents,3004
en.wikipedia,Finding_Nemo,daily,2015-07-03,all-access,all-agents,3058
en.wikipedia,Finding_Nemo,daily,2015-07-04,all-access,all-agents,3080
en.wikipedia,Finding_Nemo,daily,2015-07-05,all-access,all-agents,3497
en.wikipedia,Finding_Nemo,daily,2015-07-06,all-access,all-agents,3469
en.wikipedia,Finding_Nemo,daily,2015-07-07,all-access,all-agents,3379
en.wikipedia,Finding_Nemo,daily,2015-07-08,all-access,all-agents,3423
en.wikipedia,Finding_Nemo,daily,2015-07-09,all-access,all-agents,3149
en.wikipedia,Finding_Nemo,daily,2015-07-10,all-access,all-agents,3423
en.wikipedia,Finding_Nemo,daily,2015-07-11,all-access,all-agents,3318
en.wikipedia,Finding_Nemo,daily,2015-07-12,all-access,all-agents,3689
en.wikipedia,Finding_Nemo,daily,2015-07-13,all-access,all-agents,3478
en.wikipedia,Finding_Nemo,daily,2015-07-14,all-access,all-agents,3229
en.wikipedia,Finding_Nemo,daily,2015-07-15,all-access,all-agents,3043
en.wikipedia,Finding_Nemo,daily,2015-07-16,all-access,all-agents,2910
en.wikipedia,Finding_Nemo,daily,2015-07-17,all-access,all-agents,2755
en.wikipedia,Finding_Nemo,daily,2015-07-18,all-access,all-agents,3026
en.wikipedia,Finding_Nemo,daily,2015-07-19,all-access,all-agents,3462
en.wikipedia,Finding_Nemo,daily,2015-07-20,all-access,all-agents,5297
en.wikipedia,Finding_Nemo,daily,2015-07-21,all-access,all-agents,4150
en.wikipedia,Finding_Nemo,daily,2015-07-22,all-access,all-agents,3596
en.wikipedia,Finding_Nemo,daily,2015-07-23,all-access,all-agents,3386
en.wikipedia,Finding_Nemo,daily,2015-07-24,all-access,all-agents,3316
en.wikipedia,Finding_Nemo,daily,2015-07-25,all-access,all-agents,4267
en.wikipedia,Finding_Nemo,daily,2015-07-26,all-access,all-agents,3623
en.wikipedia,Finding_Nemo,daily,2015-07-27,all-access,all-agents,3377
en.wikipedia,Finding_Nemo,daily,2015-07-28,all-access,all-agents,3063
en.wikipedia,Finding_Nemo,daily,2015-07-29,all-access,all-agents,2953
en.wikipedia,Finding_Nemo,daily,2015-07-30,all-access,all-agents,3041
en.wikipedia,Finding_Nemo,daily,2015-07-31,all-access,all-agents,3332
en.wikipedia,Finding_Nemo,daily,2015-08-01,all-access,all-agents,2931
en.wikipedia,Finding_Nemo,daily,2015-08-02,all-access,all-agents,3229
en.wikipedia,Finding_Nemo,daily,2015-08-03,all-access,all-agents,2721
en.wikipedia,Finding_Nemo,daily,2015-08-04,all-access,all-agents,2701
en.wikipedia,Finding_Nemo,daily,2015-08-05,all-access,all-agents,3014
en.wikipedia,Finding_Nemo,daily,2015-08-06,all-access,all-agents,2751
en.wikipedia,Finding_Nemo,daily,2015-08-07,all-access,all-agents,2696
en.wikipedia,Finding_Nemo,daily,2015-08-08,all-access,all-agents,2863
en.wikipedia,Finding_Nemo,daily,2015-08-09,all-access,all-agents,3059
en.wikipedia,Finding_Nemo,daily,2015-08-10,all-access,all-agents,2974
en.wikipedia,Finding_Nemo,daily,2015-08-11,all-access,all-agents,2764
en.wikipedia,Finding_Nemo,daily,2015-08-12,all-access,all-agents,3173
en.wikipedia,Finding_Nemo,daily,2015-08-13,all-access,all-agents,3038
en.wikipedia,Finding_Nemo,daily,2015-08-14,all-access,all-agents,3073
en.wikipedia,Finding_Nemo,daily,2015-08-15,all-access,all-agents,6606
en.wikipedia,Finding_Nemo,daily,2015-08-16,all-access,all-agents,5184
en.wikipedia,Finding_Nemo,daily,2015-08-17,all-access,all-agents,4142
en.wikipedia,Finding_Nemo,daily,2015-08-18,all-access,all-agents,3817
en.wikipedia,Finding_Nemo,daily,2015-08-19,all-access,all-agents,3662
en.wikipedia,Finding_Nemo,daily,2015-08-20,all-access,all-agents,3404
en.wikipedia,Finding_Nemo,daily,2015-08-21,all-access,all-agents,3568
en.wikipedia,Finding_Nemo,daily,2015-08-22,all-access,all-agents,4270
en.wikipedia,Finding_Nemo,daily,2015-08-23,all-access,all-agents,3332
en.wikipedia,Finding_Nemo,daily,2015-08-24,all-access,all-agents,3074
en.wikipedia,Finding_Nemo,daily,2015-08-25,all-access,all-agents,3134
en.wikipedia,Finding_Nemo,daily,2015-08-26,all-access,all-agents,3497
en.wikipedia,Finding_Nemo,daily,2015-08-27,all-access,all-agents,2860
en.wikipedia,Finding_Nemo,daily,2015-08-28,all-access,all-agents,2885
en.wikipedia,Finding_Nemo,daily,2015-08-29,all-access,all-agents,2995
en.wikipedia,Finding_Nemo,daily,2015-08-30,all-access,all-agents,3457
