project,article,granularity,timestamp,access,agent,views
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-01,all-access,all-agents,520
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-02,all-access,all-agents,509
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-03,all-access,all-agents,480
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-04,all-access,all-agents,482
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-05,all-access,all-agents,565
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-06,all-access,all-agents,641
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-07,all-access,all-agents,589
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-08,all-access,all-agents,578
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-09,all-access,all-agents,581
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-10,all-access,all-agents,577
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-11,all-access,all-agents,584
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-12,all-access,all-agents,637
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-13,all-access,all-agents,693
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-14,all-access,all-agents,715
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-15,all-access,all-agents,674
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-16,all-access,all-agents,665
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-17,all-access,all-agents,625
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-18,all-access,all-agents,674
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-19,all-access,all-agents,775
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-20,all-access,all-agents,752
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-21,all-access,all-agents,737
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-22,all-access,all-agents,727
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-23,all-access,all-agents,639
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-24,all-access,all-agents,571
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-25,all-access,all-agents,639
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-26,all-access,all-agents,736
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-27,all-access,all-agents,603
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-28,all-access,all-agents,730
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-29,all-access,all-agents,582
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-30,all-access,all-agents,625
en.wikipedia,In_the_Mood_for_Love,daily,2015-07-31,all-access,all-agents,588
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-01,all-access,all-agents,651
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-02,all-access,all-agents,682
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-03,all-access,all-agents,542
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-04,all-access,all-agents,583
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-05,all-access,all-agents,649
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-06,all-access,all-agents,662
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-07,all-access,all-agents,1063
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-08,all-access,all-agents,731
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-09,all-access,all-agents,734
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-10,all-access,all-agents,672
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-11,all-access,all-agents,656
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-12,all-access,all-agents,584
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-13,all-access,all-agents,592
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-14,all-access,all-agents,591
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-15,all-access,all-agents,646
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-16,all-access,all-agents,661
en.wikipedia,In_the_Mood_for_Love,daily,2015-08-17,all-access,all-agents,623
