project,article,granularity,timestamp,access,agent,views
en.wikipedia,Inception,daily,2015-07-01,all-access,all-agents,7391
en.wikipedia,Inception,daily,2015-07-02,all-access,all-agents,5759
en.wikipedia,Inception,daily,2015-07-03,all-access,all-agents,5654
en.wikipedia,Inception,daily,2015-07-04,all-access,all-agents,5885
en.wikipedia,Inception,daily,2015-07-05,all-access,all-agents,6595
en.wikipedia,Inception,daily,2015-07-06,all-access,all-agents,6273
en.wikipedia,Inception,daily,2015-07-07,all-access,all-agents,6009
en.wikipedia,Inception,daily,2015-07-08,all-access,all-agents,6346
en.wikipedia,Inception,daily,2015-07-09,all-access,all-agents,6018
en.wikipedia,Inception,daily,2015-07-10,all-access,all-agents,5834
en.wikipedia,Inception,daily,2015-07-11,all-access,all-agents,6203
en.wikipedia,Inception,daily,2015-07-12,all-access,all-agents,6705
en.wikipedia,Inception,daily,2015-07-13,all-access,all-agents,6197
en.wikipedia,Inception,daily,2015-07-14,all-access,all-agents,5850
en.wikipedia,Inception,daily,2015-07-15,all-access,all-agents,7686
en.wikipedia,Inception,daily,2015-07-16,all-access,all-agents,6111
en.wikipedia,Inception,daily,2015-07-17,all-access,all-agents,7752
en.wikipedia,Inception,daily,2015-07-18,all-access,all-agents,9855
en.wikipedia,Inception,daily,2015-07-19,all-access,all-agents,7982
en.wikipedia,Inception,daily,2015-07-20,all-access,all-agents,7498
en.wikipedia,Inception,daily,2015-07-21,all-access,all-agents,6655
en.wikipedia,Inception,daily,2015-07-22,all-access,all-agents,6231
en.wikipedia,Inception,daily,2015-07-23,all-access,all-agents,7456
en.wikipedia,Inception,daily,2015-07-24,all-access,all-agents,6359
en.wikipedia,Inception,daily,2015-07-25,all-access,all-agents,6324
en.wikipedia,Inception,daily,2015-07-26,all-access,all-agents,7001
en.wikipedia,Inception,daily,2015-07-27,all-access,all-agents,8346
en.wikipedia,Inception,daily,2015-07-28,all-access,all-agents,6444
en.wikipedia,Inception,daily,2015-07-29,all-access,all-agents,7552
en.wikipedia,Inception,daily,2015-07-30,all-access,all-agents,6108
en.wikipedia,Inception,daily,2015-07-31,all-access,all-agents,5778
en.wikipedia,Inception,daily,2015-08-01,all-access,all-agents,6006
en.wikipedia,Inception,daily,2015-08-02,all-access,all-agents,6262
en.wikipedia,Inception,daily,2015-08-03,all-access,all-agents,5246
en.wikipedia,Inception,daily,2015-08-04,all-access,all-agents,5818
en.wikipedia,Inception,daily,2015-08-05,all-access,all-agents,5539
en.wikipedia,Inception,daily,2015-08-06,all-access,all-agents,5353
en.wikipedia,Inception,daily,2015-08-07,all-access,all-agents,5485
en.wikipedia,Inception,daily,2015-08-08,all-access,all-agents,6204
en.wikipedia,Inception,daily,2015-08-09,all-access,all-agents,6684
en.wikipedia,Inception,daily,2015-08-10,all-access,all-agents,6174
en.wikipedia,Inception,daily,2015-08-11,all-access,all-agents,5770
en.wikipedia,Inception,daily,2015-08-12,all-access,all-agents,6013
en.wikipedia,Inception,daily,2015-08-13,all-access,all-agents,5955
en.wikipedia,Inception,daily,2015-08-14,all-access,all-agents,6010
en.wikipedia,Inception,daily,2015-08-15,all-access,all-agents,6720
en.wikipedia,Inception,daily,2015-08-16,all-access,all-agents,7194
en.wikipedia,Inception,daily,2015-08-17,all-access,all-agents,6483
en.wikipedia,Inception,daily,2015-08-18,all-access,all-agents,6082
en.wikipedia,Inception,daily,2015-08-19,all-access,all-agents,6014
en.wikipedia,Inception,daily,2015-08-20,all-access,all-agents,5808
en.wikipedia,Inception,daily,2015-08-21,all-access,all-agents,6065
en.wikipedia,Inception,daily,2015-08-22,all-access,all-agents,7109
en.wikipedia,Inception,daily,2015-08-23,all-access,all-agents,7235
en.wikipedia,Inception,daily,2015-08-24,all-access,all-agents,6014
en.wikipedia,Inception,daily,2015-08-25,all-access,all-agents,5473
en.wikipedia,Inception,daily,2015-08-26,all-access,all-agents,5346
en.wikipedia,Inception,daily,2015-08-27,all-access,all-agents,5229
en.wikipedia,Inception,daily,2015-08-28,all-access,all-agents,6608
en.wikipedia,Inception,daily,2015-08-29,all-access,all-agents,5815
en.wikipedia,Inception,daily,2015-08-30,all-access,all-agents,6752
en.wikipedia,Inception,daily,2015-08-31,all-access,all-agents,6043
en.wikipedia,Inception,daily,2015-09-01,all-access,all-agents,5366
en.wikipedia,Inception,daily,2015-09-02,all-access,all-agents,7737
en.wikipedia,Inception,daily,2015-09-03,all-access,all-agents,11573
en.wikipedia,Inception,daily,2015-09-04,all-access,all-agents,6338
en.wikipedia,Inception,daily,2015-09-05,all-access,all-agents,6776
en.wikipedia,Inception,daily,2015-09-06,all-access,all-agents,7004
en.wikipedia,Inception,daily,2015-09-07,all-access,all-agents,6417
en.wikipedia,Inception,daily,2015-09-08,all-access,all-agents,5666
en.wikipedia,Inception,daily,2015-09-09,all-access,all-agents,6118
en.wikipedia,Inception,daily,2015-09-10,all-access,all-agents,5552
en.wikipedia,Inception,daily,2015-09-11,all-access,all-agents,6127
en.wikipedia,Inception,daily,2015-09-12,all-access,all-agents,6486
en.wikipedia,Inception,daily,2015-09-13,all-access,all-agents,6785
en.wikipedia,Inception,daily,2015-09-14,all-access,all-agents,7187
en.wikipedia,Inception,daily,2015-09-15,all-access,all-agents,6622
en.wikipedia,Inception,daily,2015-09-16,all-access,all-agents,6414
en.wikipedia,Inception,daily,2015-09-17,all-access,all-agents,5605
en.wikipedia,Inception,daily,2015-09-18,all-access,all-agents,5535
en.wikipedia,Inception,daily,2015-09-19,all-access,all-agents,6641
en.wikipedia,Inception,daily,2015-09-20,all-access,all-agents,7673
en.wikipedia,Inception,daily,2015-09-21,all-access,all-agents,6099
en.wikipedia,Inception,daily,2015-09-22,all-access,all-agents,5538
en.wikipedia,Inception,daily,2015-09-23,all-access,all-agents,6849
en.wikipedia,Inception,daily,2015-09-24,all-access,all-agents,5554
en.wikipedia,Inception,daily,2015-09-25,all-access,all-agents,6324
en.wikipedia,Inception,daily,2015-09-26,all-access,all-agents,6141
en.wikipedia,Inception,daily,2015-09-27,all-access,all-agents,6732
en.wikipedia,Inception,daily,2015-09-28,all-access,all-agents,5854
en.wikipedia,Inception,daily,2015-09-29,all-access,all-agents,5508
en.wikipedia,Inception,daily,2015-09-30,all-access,all-agents,5643
en.wikipedia,Inception,daily,2015-10-01,all-access,all-agents,5368
en.wikipedia,Inception,daily,2015-10-02,all-access,all-agents,5522
en.wikipedia,Inception,daily,2015-10-03,all-access,all-agents,5734
en.wikipedia,Inception,daily,2015-10-04,all-access,all-agents,6597
en.wikipedia,Inception,daily,2015-10-05,all-access,all-agents,5663
en.wikipedia,Inception,daily,2015-10-06,all-access,all-agents,5401
en.wikipedia,Inception,daily,2015-10-07,all-access,all-agents,5110
en.wikipedia,Inception,daily,2015-10-08,all-access,all-agents,4970
en.wikipedia,Inception,daily,2015-10-09,all-access,all-agents,5284
en.wikipedia,Inception,daily,2015-10-10,all-access,all-agents,5940
en.wikipedia,Inception,daily,2015-10-11,all-access,all-agents,6050
en.wikipedia,Inception,daily,2015-10-12,all-access,all-agents,5666
en.wikipedia,Inception,daily,2015-10-13,all-access,all-agents,5130
en.wikipedia,Inception,daily,2015-10-14,all-access,all-agents,5373
en.wikipedia,Inception,daily,2015-10-15,all-access,all-agents,5507
en.wikipedia,Inception,daily,2015-10-16,all-access,all-agents,5211
en.wikipedia,Inception,daily,2015-10-17,all-access,all-agents,6244
en.wikipedia,Inception,daily,2015-10-18,all-access,all-agents,6955
en.wikipedia,Inception,daily,2015-10-19,all-access,all-agents,5659
en.wikipedia,Inception,daily,2015-10-20,all-access,all-agents,5487
en.wikipedia,Inception,daily,2015-10-21,all-access,all-agents,5197
en.wikipedia,Inception,daily,2015-10-22,all-access,all-agents,5597
en.wikipedia,Inception,daily,2015-10-23,all-access,all-agents,5461
en.wikipedia,Inception,daily,2015-10-24,all-access,all-agents,5648
en.wikipedia,Inception,daily,2015-10-25,all-access,all-agents,6016
en.wikipedia,Inception,daily,2015-10-26,all-access,all-agents,6062
en.wikipedia,Inception,daily,2015-10-27,all-access,all-agents,5394
en.wikipedia,Inception,daily,2015-10-28,all-access,all-agents,4750
en.wikipedia,Inception,daily,2015-10-29,all-access,all-agents,4806
en.wikipedia,Inception,daily,2015-10-30,all-access,all-agents,4903
en.wikipedia,Inception,daily,2015-10-31,all-access,all-agents,5282
en.wikipedia,Inception,daily,2015-11-01,all-access,all-agents,6066
en.wikipedia,Inception,daily,2015-11-02,all-access,all-agents,6073
en.wikipedia,Inception,daily,2015-11-03,all-access,all-agents,4918
en.wikipedia,Inception,daily,2015-11-04,all-access,all-agents,4993
en.wikipedia,Inception,daily,2015-11-05,all-access,all-agents,4918
en.wikipedia,Inception,daily,2015-11-06,all-access,all-agents,5332
en.wikipedia,Inception,daily,2015-11-07,all-access,all-agents,5542
en.wikipedia,Inception,daily,2015-11-08,all-access,all-agents,6408
en.wikipedia,Inception,daily,2015-11-09,all-access,all-agents,5867
en.wikipedia,Inception,daily,2015-11-10,all-access,all-agents,5700
en.wikipedia,Inception,daily,2015-11-11,all-access,all-agents,5375
en.wikipedia,Inception,daily,2015-11-12,all-access,all-agents,5890
en.wikipedia,Inception,daily,2015-11-13,all-access,all-agents,5419
en.wikipedia,Inception,daily,2015-11-14,all-access,all-agents,5371
en.wikipedia,Inception,daily,2015-11-15,all-access,all-agents,5918
en.wikipedia,Inception,daily,2015-11-16,all-access,all-agents,5345
en.wikipedia,Inception,daily,2015-11-17,all-access,all-agents,5121
en.wikipedia,Inception,daily,2015-11-18,all-access,all-agents,4900
en.wikipedia,Inception,daily,2015-11-19,all-access,all-agents,5117
en.wikipedia,Inception,daily,2015-11-20,all-access,all-agents,7399
en.wikipedia,Inception,daily,2015-11-21,all-access,all-agents,6446
en.wikipedia,Inception,daily,2015-11-22,all-access,all-agents,7053
en.wikipedia,Inception,daily,2015-11-23,all-access,all-agents,5726
en.wikipedia,Inception,daily,2015-11-24,all-access,all-agents,5676
en.wikipedia,Inception,daily,2015-11-25,all-access,all-agents,5155
en.wikipedia,Inception,daily,2015-11-26,all-access,all-agents,5409
en.wikipedia,Inception,daily,2015-11-27,all-access,all-agents,8004
en.wikipedia,Inception,daily,2015-11-28,all-access,all-agents,8347
en.wikipedia,Inception,daily,2015-11-29,all-access,all-agents,8605
en.wikipedia,Inception,daily,2015-11-30,all-access,all-agents,7218
en.wikipedia,Inception,daily,2015-12-01,all-access,all-agents,6141
en.wikipedia,Inception,daily,2015-12-02,all-access,all-agents,7501
en.wikipedia,Inception,daily,2015-12-03,all-access,all-agents,5675
en.wikipedia,Inception,daily,2015-12-04,all-access,all-agents,5797
en.wikipedia,Inception,daily,2015-12-05,all-access,all-agents,8552
en.wikipedia,Inception,daily,2015-12-06,all-access,all-agents,7047
en.wikipedia,Inception,daily,2015-12-07,all-access,all-agents,5990
en.wikipedia,Inception,daily,2015-12-08,all-access,all-agents,7448
en.wikipedia,Inception,daily,2015-12-09,all-access,all-agents,5852
en.wikipedia,Inception,daily,2015-12-10,all-access,all-agents,6142
en.wikipedia,Inception,daily,2015-12-11,all-access,all-agents,6015
en.wikipedia,Inception,daily,2015-12-12,all-access,all-agents,6453
en.wikipedia,Inception,daily,2015-12-13,all-access,all-agents,6921
en.wikipedia,Inception,daily,2015-12-14,all-access,all-agents,8365
en.wikipedia,Inception,daily,2015-12-15,all-access,all-agents,6554
en.wikipedia,Inception,daily,2015-12-16,all-access,all-agents,6712
en.wikipedia,Inception,daily,2015-12-17,all-access,all-agents,5875
en.wikipedia,Inception,daily,2015-12-18,all-access,all-agents,6136
en.wikipedia,Inception,daily,2015-12-19,all-access,all-agents,6787
en.wikipedia,Inception,daily,2015-12-20,all-access,all-agents,7047
en.wikipedia,Inception,daily,2015-12-21,all-access,all-agents,6722
en.wikipedia,Inception,daily,2015-12-22,all-access,all-agents,7686
en.wikipedia,Inception,daily,2015-12-23,all-access,all-agents,7456
en.wikipedia,Inception,daily,2015-12-24,all-access,all-agents,6845
en.wikipedia,Inception,daily,2015-12-25,all-access,all-agents,6610
en.wikipedia,Inception,daily,2015-12-26,all-access,all-agents,9282
en.wikipedia,Inception,daily,2015-12-27,all-access,all-agents,9090
en.wikipedia,Inception,daily,2015-12-28,all-access,all-agents,10377
en.wikipedia,Inception,daily,2015-12-29,all-access,all-agents,8927
en.wikipedia,Inception,daily,2015-12-30,all-access,all-agents,8907
en.wikipedia,Inception,daily,2015-12-31,all-access,all-agents,7571
en.wikipedia,Inception,daily,2016-01-01,all-access,all-agents,8793
en.wikipedia,Inception,daily,2016-01-02,all-access,all-agents,10242
en.wikipedia,Inception,daily,2016-01-03,all-access,all-agents,11702
en.wikipedia,Inception,daily,2016-01-04,all-access,all-agents,8553
en.wikipedia,Inception,daily,2016-01-05,all-access,all-agents,7407
