project,article,granularity,timestamp,access,agent,views
en.wikipedia,Inglourious_Basterds,daily,2015-07-01,all-access,all-agents,4565
en.wikipedia,Inglourious_Basterds,daily,2015-07-02,all-access,all-agents,5119
en.wikipedia,Inglourious_Basterds,daily,2015-07-03,all-access,all-agents,5094
en.wikipedia,Inglourious_Basterds,daily,2015-07-04,all-access,all-agents,5556
en.wikipedia,Inglourious_Basterds,daily,2015-07-05,all-access,all-agents,5845
en.wikipedia,Inglourious_Basterds,daily,2015-07-06,all-access,all-agents,5725
en.wikipedia,Inglourious_Basterds,daily,2015-07-07,all-access,all-agents,5393
en.wikipedia,Inglourious_Basterds,daily,2015-07-08,all-access,all-agents,5024
en.wikipedia,Inglourious_Basterds,daily,2015-07-09,all-access,all-agents,5093
en.wikipedia,Inglourious_Basterds,daily,2015-07-10,all-access,all-agents,5471
en.wikipedia,Inglourious_Basterds,daily,2015-07-11,all-access,all-agents,5219
en.wikipedia,Inglourious_Basterds,daily,2015-07-12,all-access,all-agents,6564
en.wikipedia,Inglourious_Basterds,daily,2015-07-13,all-access,all-agents,5764
en.wikipedia,Inglourious_Basterds,daily,2015-07-14,all-access,all-agents,18872
en.wikipedia,Inglourious_Basterds,daily,2015-07-15,all-access,all-agents,4941
en.wikipedia,Inglourious_Basterds,daily,2015-07-16,all-access,all-agents,4620
en.wikipedia,Inglourious_Basterds,daily,2015-07-17,all-access,all-agents,4690
en.wikipedia,Inglourious_Basterds,daily,2015-07-18,all-access,all-agents,4933
en.wikipedia,Inglourious_Basterds,daily,2015-07-19,all-access,all-agents,5685
en.wikipedia,Inglourious_Basterds,daily,2015-07-20,all-access,all-agents,5100
en.wikipedia,Inglourious_Basterds,daily,2015-07-21,all-access,all-agents,4713
en.wikipedia,Inglourious_Basterds,daily,2015-07-22,all-access,all-agents,6514
en.wikipedia,Inglourious_Basterds,daily,2015-07-23,all-access,all-agents,5710
en.wikipedia,Inglourious_Basterds,daily,2015-07-24,all-access,all-agents,4912
en.wikipedia,Inglourious_Basterds,daily,2015-07-25,all-access,all-agents,5562
en.wikipedia,Inglourious_Basterds,daily,2015-07-26,all-access,all-agents,6575
en.wikipedia,Inglourious_Basterds,daily,2015-07-27,all-access,all-agents,5665
en.wikipedia,Inglourious_Basterds,daily,2015-07-28,all-access,all-agents,4929
en.wikipedia,Inglourious_Basterds,daily,2015-07-29,all-access,all-agents,4686
en.wikipedia,Inglourious_Basterds,daily,2015-07-30,all-access,all-agents,5324
en.wikipedia,Inglourious_Basterds,daily,2015-07-31,all-access,all-agents,4604
en.wikipedia,Inglourious_Basterds,daily,2015-08-01,all-access,all-agents,4902
en.wikipedia,Inglourious_Basterds,daily,2015-08-02,all-access,all-agents,6783
en.wikipedia,Inglourious_Basterds,daily,2015-08-03,all-access,all-agents,5735
en.wikipedia,Inglourious_Basterds,daily,2015-08-04,all-access,all-agents,4852
