project,article,granularity,timestamp,access,agent,views
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-01,all-access,all-agents,1623
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-02,all-access,all-agents,1789
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-03,all-access,all-agents,2102
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-04,all-access,all-agents,1866
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-05,all-access,all-agents,2065
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-06,all-access,all-agents,1859
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-07,all-access,all-agents,1869
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-08,all-access,all-agents,2231
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-09,all-access,all-agents,1748
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-10,all-access,all-agents,1639
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-11,all-access,all-agents,2509
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-12,all-access,all-agents,3463
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-13,all-access,all-agents,3011
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-14,all-access,all-agents,2404
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-15,all-access,all-agents,1991
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-16,all-access,all-agents,2207
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-17,all-access,all-agents,2257
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-18,all-access,all-agents,2475
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-19,all-access,all-agents,3114
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-20,all-access,all-agents,2372
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-21,all-access,all-agents,3188
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-22,all-access,all-agents,2139
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-23,all-access,all-agents,2212
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-24,all-access,all-agents,1933
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-25,all-access,all-agents,2191
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-26,all-access,all-agents,2859
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-27,all-access,all-agents,2794
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-28,all-access,all-agents,2101
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-29,all-access,all-agents,1841
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-30,all-access,all-agents,1788
en.wikipedia,Inside_Llewyn_Davis,daily,2015-07-31,all-access,all-agents,1785
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-01,all-access,all-agents,2462
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-02,all-access,all-agents,2178
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-03,all-access,all-agents,2007
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-04,all-access,all-agents,2297
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-05,all-access,all-agents,1789
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-06,all-access,all-agents,1881
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-07,all-access,all-agents,1590
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-08,all-access,all-agents,2450
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-09,all-access,all-agents,2492
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-10,all-access,all-agents,1924
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-11,all-access,all-agents,1940
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-12,all-access,all-agents,2237
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-13,all-access,all-agents,2261
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-14,all-access,all-agents,2258
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-15,all-access,all-agents,2170
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-16,all-access,all-agents,3427
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-17,all-access,all-agents,2882
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-18,all-access,all-agents,2356
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-19,all-access,all-agents,2177
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-20,all-access,all-agents,2364
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-21,all-access,all-agents,2098
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-22,all-access,all-agents,2068
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-23,all-access,all-agents,3168
en.wikipedia,Inside_Llewyn_Davis,daily,2015-08-24,all-access,all-agents,2997
