project,article,granularity,timestamp,access,agent,views
en.wikipedia,Leviathan,daily,2015-07-01,all-access,all-agents,3486
en.wikipedia,Leviathan,daily,2015-07-02,all-access,all-agents,3426
en.wikipedia,Leviathan,daily,2015-07-03,all-access,all-agents,3366
en.wikipedia,Leviathan,daily,2015-07-04,all-access,all-agents,3227
en.wikipedia,Leviathan,daily,2015-07-05,all-access,all-agents,3678
en.wikipedia,Leviathan,daily,2015-07-06,all-access,all-agents,3978
en.wikipedia,Leviathan,daily,2015-07-07,all-access,all-agents,4056
en.wikipedia,Leviathan,daily,2015-07-08,all-access,all-agents,3797
en.wikipedia,Leviathan,daily,2015-07-09,all-access,all-agents,3939
en.wikipedia,Leviathan,daily,2015-07-10,all-access,all-agents,3884
en.wikipedia,Leviathan,daily,2015-07-11,all-access,all-agents,3711
en.wikipedia,Leviathan,daily,2015-07-12,all-access,all-agents,3920
en.wikipedia,Leviathan,daily,2015-07-13,all-access,all-agents,3924
en.wikipedia,Leviathan,daily,2015-07-14,all-access,all-agents,3754
en.wikipedia,Leviathan,daily,2015-07-15,all-access,all-agents,3675
en.wikipedia,Leviathan,daily,2015-07-16,all-access,all-agents,3528
en.wikipedia,Leviathan,daily,2015-07-17,all-access,all-agents,3358
en.wikipedia,Leviathan,daily,2015-07-18,all-access,all-agents,3368
en.wikipedia,Leviathan,daily,2015-07-19,all-access,all-agents,3667
en.wikipedia,Leviathan,daily,2015-07-20,all-access,all-agents,3809
en.wikipedia,Leviathan,daily,2015-07-21,all-access,all-agents,3668
en.wikipedia,Leviathan,daily,2015-07-22,all-access,all-agents,3469
en.wikipedia,Leviathan,daily,2015-07-23,all-access,all-agents,3493
en.wikipedia,Leviathan,daily,2015-07-24,all-access,all-agents,3392
en.wikipedia,Leviathan,daily,2015-07-25,all-access,all-agents,3694
en.wikipedia,Leviathan,daily,2015-07-26,all-access,all-agents,4246
en.wikipedia,Leviathan,daily,2015-07-27,all-access,all-agents,5227
en.wikipedia,Leviathan,daily,2015-07-28,all-access,all-agents,4529
en.wikipedia,Leviathan,daily,2015-07-29,all-access,all-agents,3685
en.wikipedia,Leviathan,daily,2015-07-30,all-access,all-agents,3470
en.wikipedia,Leviathan,daily,2015-07-31,all-access,all-agents,3173
en.wikipedia,Leviathan,daily,2015-08-01,all-access,all-agents,3196
en.wikipedia,Leviathan,daily,2015-08-02,all-access,all-agents,3398
en.wikipedia,Leviathan,daily,2015-08-03,all-access,all-agents,3107
en.wikipedia,Leviathan,daily,2015-08-04,all-access,all-agents,3252
en.wikipedia,Leviathan,daily,2015-08-05,all-access,all-agents,3137
en.wikipedia,Leviathan,daily,2015-08-06,all-access,all-agents,3132
en.wikipedia,Leviathan,daily,2015-08-07,all-access,all-agents,2812
en.wikipedia,Leviathan,daily,2015-08-08,all-access,all-agents,3089
en.wikipedia,Leviathan,daily,2015-08-09,all-access,all-agents,3092
en.wikipedia,Leviathan,daily,2015-08-10,all-access,all-agents,3140
en.wikipedia,Leviathan,daily,2015-08-11,all-access,all-agents,3474
en.wikipedia,Leviathan,daily,2015-08-12,all-access,all-agents,3776
en.wikipedia,Leviathan,daily,2015-08-13,all-access,all-agents,3268
en.wikipedia,Leviathan,daily,2015-08-14,all-access,all-agents,3081
en.wikipedia,Leviathan,daily,2015-08-15,all-access,all-agents,3263
en.wikipedia,Leviathan,daily,2015-08-16,all-access,all-agents,3329
en.wikipedia,Leviathan,daily,2015-08-17,all-access,all-agents,3458
en.wikipedia,Leviathan,daily,2015-08-18,all-access,all-agents,4002
en.wikipedia,Leviathan,daily,2015-08-19,all-access,all-agents,3758
en.wikipedia,Leviathan,daily,2015-08-20,all-access,all-agents,3375
en.wikipedia,Leviathan,daily,2015-08-21,all-access,all-agents,4295
en.wikipedia,Leviathan,daily,2015-08-22,all-access,all-agents,3268
en.wikipedia,Leviathan,daily,2015-08-23,all-access,all-agents,3329
