project,article,granularity,timestamp,access,agent,views
en.wikipedia,Moulin_Rouge!,daily,2015-07-01,all-access,all-agents,1550
en.wikipedia,Moulin_Rouge!,daily,2015-07-02,all-access,all-agents,1521
en.wikipedia,Moulin_Rouge!,daily,2015-07-03,all-access,all-agents,1605
en.wikipedia,Moulin_Rouge!,daily,2015-07-04,all-access,all-agents,1802
en.wikipedia,Moulin_Rouge!,daily,2015-07-05,all-access,all-agents,3093
en.wikipedia,Moulin_Rouge!,daily,2015-07-06,all-access,all-agents,2229
en.wikipedia,Moulin_Rouge!,daily,2015-07-07,all-access,all-agents,2015
en.wikipedia,Moulin_Rouge!,daily,2015-07-08,all-access,all-agents,1822
en.wikipedia,Moulin_Rouge!,daily,2015-07-09,all-access,all-agents,3315
en.wikipedia,Moulin_Rouge!,daily,2015-07-10,all-access,all-agents,1891
en.wikipedia,Moulin_Rouge!,daily,2015-07-11,all-access,all-agents,1759
en.wikipedia,Moulin_Rouge!,daily,2015-07-12,all-access,all-agents,3719
en.wikipedia,Moulin_Rouge!,daily,2015-07-13,all-access,all-agents,2053
en.wikipedia,Moulin_Rouge!,daily,2015-07-14,all-access,all-agents,2098
en.wikipedia,Moulin_Rouge!,daily,2015-07-15,all-access,all-agents,2144
en.wikipedia,Moulin_Rouge!,daily,2015-07-16,all-access,all-agents,2065
en.wikipedia,Moulin_Rouge!,daily,2015-07-17,all-access,all-agents,2259
en.wikipedia,Moulin_Rouge!,daily,2015-07-18,all-access,all-agents,3291
en.wikipedia,Moulin_Rouge!,daily,2015-07-19,all-access,all-agents,2512
en.wikipedia,Moulin_Rouge!,daily,2015-07-20,all-access,all-agents,1788
en.wikipedia,Moulin_Rouge!,daily,2015-07-21,all-access,all-agents,1727
en.wikipedia,Moulin_Rouge!,daily,2015-07-22,all-access,all-agents,2293
en.wikipedia,Moulin_Rouge!,daily,2015-07-23,all-access,all-agents,1689
en.wikipedia,Moulin_Rouge!,daily,2015-07-24,all-access,all-agents,1573
en.wikipedia,Moulin_Rouge!,daily,2015-07-25,all-access,all-agents,2733
en.wikipedia,Moulin_Rouge!,daily,2015-07-26,all-access,all-agents,3806
en.wikipedia,Moulin_Rouge!,daily,2015-07-27,all-access,all-agents,2124
