project,article,granularity,timestamp,access,agent,views
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-01,all-access,all-agents,574
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-02,all-access,all-agents,527
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-03,all-access,all-agents,543
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-04,all-access,all-agents,560
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-05,all-access,all-agents,637
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-06,all-access,all-agents,654
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-07,all-access,all-agents,536
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-08,all-access,all-agents,563
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-09,all-access,all-agents,543
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-10,all-access,all-agents,867
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-11,all-access,all-agents,1574
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-12,all-access,all-agents,700
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-13,all-access,all-agents,724
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-14,all-access,all-agents,692
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-15,all-access,all-agents,732
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-16,all-access,all-agents,1242
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-17,all-access,all-agents,619
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-18,all-access,all-agents,591
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-19,all-access,all-agents,586
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-20,all-access,all-agents,728
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-21,all-access,all-agents,898
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-22,all-access,all-agents,1247
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-23,all-access,all-agents,674
en.wikipedia,No_Country_for_Old_Men,daily,2015-07-24,all-access,all-agents,555
