project,article,granularity,timestamp,access,agent,views
en.wikipedia,Pan's_Labyrinth,daily,2015-07-01,all-access,all-agents,1705
en.wikipedia,Pan's_Labyrinth,daily,2015-07-02,all-access,all-agents,1751
en.wikipedia,Pan's_Labyrinth,daily,2015-07-03,all-access,all-agents,1882
en.wikipedia,Pan's_Labyrinth,daily,2015-07-04,all-access,all-agents,2041
en.wikipedia,Pan's_Labyrinth,daily,2015-07-05,all-access,all-agents,2129
en.wikipedia,Pan's_Labyrinth,daily,2015-07-06,all-access,all-agents,2271
en.wikipedia,Pan's_Labyrinth,daily,2015-07-07,all-access,all-agents,2364
en.wikipedia,Pan's_Labyrinth,daily,2015-07-08,all-access,all-agents,2242
en.wikipedia,Pan's_Labyrinth,daily,2015-07-09,all-access,all-agents,2235
en.wikipedia,Pan's_Labyrinth,daily,2015-07-10,all-access,all-agents,2061
en.wikipedia,Pan's_Labyrinth,daily,2015-07-11,all-access,all-agents,2177
en.wikipedia,Pan's_Labyrinth,daily,2015-07-12,all-access,all-agents,2252
en.wikipedia,Pan's_Labyrinth,daily,2015-07-13,all-access,all-agents,2240
en.wikipedia,Pan's_Labyrinth,daily,2015-07-14,all-access,all-agents,2088
en.wikipedia,Pan's_Labyrinth,daily,2015-07-15,all-access,all-agents,1927
en.wikipedia,Pan's_Labyrinth,daily,2015-07-16,all-access,all-agents,1904
en.wikipedia,Pan's_Labyrinth,daily,2015-07-17,all-access,all-agents,1948
en.wikipedia,Pan's_Labyrinth,daily,2015-07-18,all-access,all-agents,2003
en.wikipedia,Pan's_Labyrinth,daily,2015-07-19,all-access,all-agents,2298
en.wikipedia,Pan's_Labyrinth,daily,2015-07-20,all-access,all-agents,2291
en.wikipedia,Pan's_Labyrinth,daily,2015-07-21,all-access,all-agents,2083
en.wikipedia,Pan's_Labyrinth,daily,2015-07-22,all-access,all-agents,2561
en.wikipedia,Pan's_Labyrinth,daily,2015-07-23,all-access,all-agents,1971
en.wikipedia,Pan's_Labyrinth,daily,2015-07-24,all-access,all-agents,2314
en.wikipedia,Pan's_Labyrinth,daily,2015-07-25,all-access,all-agents,2188
en.wikipedia,Pan's_Labyrinth,daily,2015-07-26,all-access,all-agents,2669
en.wikipedia,Pan's_Labyrinth,daily,2015-07-27,all-access,all-agents,3094
en.wikipedia,Pan's_Labyrinth,daily,2015-07-28,all-access,all-agents,2374
en.wikipedia,Pan's_Labyrinth,daily,2015-07-29,all-access,all-agents,2091
en.wikipedia,Pan's_Labyrinth,daily,2015-07-30,all-access,all-agents,1976
en.wikipedia,Pan's_Labyrinth,daily,2015-07-31,all-access,all-agents,1919
en.wikipedia,Pan's_Labyrinth,daily,2015-08-01,all-access,all-agents,1967
en.wikipedia,Pan's_Labyrinth,daily,2015-08-02,all-access,all-agents,2150
en.wikipedia,Pan's_Labyrinth,daily,2015-08-03,all-access,all-agents,1878
en.wikipedia,Pan's_Labyrinth,daily,2015-08-04,all-access,all-agents,1844
en.wikipedia,Pan's_Labyrinth,daily,2015-08-05,all-access,all-agents,2004
en.wikipedia,Pan's_Labyrinth,daily,2015-08-06,all-access,all-agents,1924
en.wikipedia,Pan's_Labyrinth,daily,2015-08-07,all-access,all-agents,1848
en.wikipedia,Pan's_Labyrinth,daily,2015-08-08,all-access,all-agents,1892
en.wikipedia,Pan's_Labyrinth,daily,2015-08-09,all-access,all-agents,2262
en.wikipedia,Pan's_Labyrinth,daily,2015-08-10,all-access,all-agents,1935
en.wikipedia,Pan's_Labyrinth,daily,2015-08-11,all-access,all-agents,2041
en.wikipedia,Pan's_Labyrinth,daily,2015-08-12,all-access,all-agents,2088
en.wikipedia,Pan's_Labyrinth,daily,2015-08-13,all-access,all-agents,1833
en.wikipedia,Pan's_Labyrinth,daily,2015-08-14,all-access,all-agents,1969
en.wikipedia,Pan's_Labyrinth,daily,2015-08-15,all-access,all-agents,2074
en.wikipedia,Pan's_Labyrinth,daily,2015-08-16,all-access,all-agents,2312
en.wikipedia,Pan's_Labyrinth,daily,2015-08-17,all-access,all-agents,2163
en.wikipedia,Pan's_Labyrinth,daily,2015-08-18,all-access,all-agents,2167
en.wikipedia,Pan's_Labyrinth,daily,2015-08-19,all-access,all-agents,2185
en.wikipedia,Pan's_Labyrinth,daily,2015-08-20,all-access,all-agents,2003
en.wikipedia,Pan's_Labyrinth,daily,2015-08-21,all-access,all-agents,2321
en.wikipedia,Pan's_Labyrinth,daily,2015-08-22,all-access,all-agents,2058
en.wikipedia,Pan's_Labyrinth,daily,2015-08-23,all-access,all-agents,2487
en.wikipedia,Pan's_Labyrinth,daily,2015-08-24,all-access,all-agents,2530
en.wikipedia,Pan's_Labyrinth,daily,2015-08-25,all-access,all-agents,2071
en.wikipedia,Pan's_Labyrinth,daily,2015-08-26,all-access,all-agents,2091
en.wikipedia,Pan's_Labyrinth,daily,2015-08-27,all-access,all-agents,1939
en.wikipedia,Pan's_Labyrinth,daily,2015-08-28,all-access,all-agents,1863
en.wikipedia,Pan's_Labyrinth,daily,2015-08-29,all-access,all-agents,1881
en.wikipedia,Pan's_Labyrinth,daily,2015-08-30,all-access,all-agents,2218
en.wikipedia,Pan's_Labyrinth,daily,2015-08-31,all-access,all-agents,2162
en.wikipedia,Pan's_Labyrinth,daily,2015-09-01,all-access,all-agents,1962
en.wikipedia,Pan's_Labyrinth,daily,2015-09-02,all-access,all-agents,1914
en.wikipedia,Pan's_Labyrinth,daily,2015-09-03,all-access,all-agents,2049
en.wikipedia,Pan's_Labyrinth,daily,2015-09-04,all-access,all-agents,2079
en.wikipedia,Pan's_Labyrinth,daily,2015-09-05,all-access,all-agents,2303
en.wikipedia,Pan's_Labyrinth,daily,2015-09-06,all-access,all-agents,2405
en.wikipedia,Pan's_Labyrinth,daily,2015-09-07,all-access,all-agents,2309
en.wikipedia,Pan's_Labyrinth,daily,2015-09-08,all-access,all-agents,2223
en.wikipedia,Pan's_Labyrinth,daily,2015-09-09,all-access,all-agents,2121
en.wikipedia,Pan's_Labyrinth,daily,2015-09-10,all-access,all-agents,2136
en.wikipedia,Pan's_Labyrinth,daily,2015-09-11,all-access,all-agents,2103
en.wikipedia,Pan's_Labyrinth,daily,2015-09-12,all-access,all-agents,2086
en.wikipedia,Pan's_Labyrinth,daily,2015-09-13,all-access,all-agents,2496
en.wikipedia,Pan's_Labyrinth,daily,2015-09-14,all-access,all-agents,2362
en.wikipedia,Pan's_Labyrinth,daily,2015-09-15,all-access,all-agents,2312
en.wikipedia,Pan's_Labyrinth,daily,2015-09-16,all-access,all-agents,2472
en.wikipedia,Pan's_Labyrinth,daily,2015-09-17,all-access,all-agents,2275
en.wikipedia,Pan's_Labyrinth,daily,2015-09-18,all-access,all-agents,2279
en.wikipedia,Pan's_Labyrinth,daily,2015-09-19,all-access,all-agents,2457
en.wikipedia,Pan's_Labyrinth,daily,2015-09-20,all-access,all-agents,2783
en.wikipedia,Pan's_Labyrinth,daily,2015-09-21,all-access,all-agents,2641
en.wikipedia,Pan's_Labyrinth,daily,2015-09-22,all-access,all-agents,2705
en.wikipedia,Pan's_Labyrinth,daily,2015-09-23,all-access,all-agents,2634
en.wikipedia,Pan's_Labyrinth,daily,2015-09-24,all-access,all-agents,2635
en.wikipedia,Pan's_Labyrinth,daily,2015-09-25,all-access,all-agents,2912
en.wikipedia,Pan's_Labyrinth,daily,2015-09-26,all-access,all-agents,2604
en.wikipedia,Pan's_Labyrinth,daily,2015-09-27,all-access,all-agents,3084
en.wikipedia,Pan's_Labyrinth,daily,2015-09-28,all-access,all-agents,3082
en.wikipedia,Pan's_Labyrinth,daily,2015-09-29,all-access,all-agents,2859
en.wikipedia,Pan's_Labyrinth,daily,2015-09-30,all-access,all-agents,2864
en.wikipedia,Pan's_Labyrinth,daily,2015-10-01,all-access,all-agents,2724
en.wikipedia,Pan's_Labyrinth,daily,2015-10-02,all-access,all-agents,3007
en.wikipedia,Pan's_Labyrinth,daily,2015-10-03,all-access,all-agents,3641
en.wikipedia,Pan's_Labyrinth,daily,2015-10-04,all-access,all-agents,3349
