project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ratatouille,daily,2015-07-01,all-access,all-agents,2338
en.wikipedia,Ratatouille,daily,2015-07-02,all-access,all-agents,1990
en.wikipedia,Ratatouille,daily,2015-07-03,all-access,all-agents,2006
en.wikipedia,Ratatouille,daily,2015-07-04,all-access,all-agents,2009
en.wikipedia,Ratatouille,daily,2015-07-05,all-access,all-agents,2678
en.wikipedia,Ratatouille,daily,2015-07-06,all-access,all-agents,2265
en.wikipedia,Ratatouille,daily,2015-07-07,all-access,all-agents,2332
en.wikipedia,Ratatouille,daily,2015-07-08,all-access,all-agents,2463
en.wikipedia,Ratatouille,daily,2015-07-09,all-access,all-agents,2392
en.wikipedia,Ratatouille,daily,2015-07-10,all-access,all-agents,2023
en.wikipedia,Ratatouille,daily,2015-07-11,all-access,all-agents,2145
en.wikipedia,Ratatouille,daily,2015-07-12,all-access,all-agents,2349
en.wikipedia,Ratatouille,daily,2015-07-13,all-access,all-agents,2397
en.wikipedia,Ratatouille,daily,2015-07-14,all-access,all-agents,2356
en.wikipedia,Ratatouille,daily,2015-07-15,all-access,all-agents,2193
en.wikipedia,Ratatouille,daily,2015-07-16,all-access,all-agents,2031
en.wikipedia,Ratatouille,daily,2015-07-17,all-access,all-agents,1947
en.wikipedia,Ratatouille,daily,2015-07-18,all-access,all-agents,2133
en.wikipedia,Ratatouille,daily,2015-07-19,all-access,all-agents,2346
en.wikipedia,Ratatouille,daily,2015-07-20,all-access,all-agents,3060
en.wikipedia,Ratatouille,daily,2015-07-21,all-access,all-agents,2308
en.wikipedia,Ratatouille,daily,2015-07-22,all-access,all-agents,2264
en.wikipedia,Ratatouille,daily,2015-07-23,all-access,all-agents,2003
en.wikipedia,Ratatouille,daily,2015-07-24,all-access,all-agents,1948
en.wikipedia,Ratatouille,daily,2015-07-25,all-access,all-agents,1916
en.wikipedia,Ratatouille,daily,2015-07-26,all-access,all-agents,2244
en.wikipedia,Ratatouille,daily,2015-07-27,all-access,all-agents,2179
en.wikipedia,Ratatouille,daily,2015-07-28,all-access,all-agents,1928
en.wikipedia,Ratatouille,daily,2015-07-29,all-access,all-agents,1659
en.wikipedia,Ratatouille,daily,2015-07-30,all-access,all-agents,1940
en.wikipedia,Ratatouille,daily,2015-07-31,all-access,all-agents,1976
en.wikipedia,Ratatouille,daily,2015-08-01,all-access,all-agents,2145
en.wikipedia,Ratatouille,daily,2015-08-02,all-access,all-agents,2425
en.wikipedia,Ratatouille,daily,2015-08-03,all-access,all-agents,1872
en.wikipedia,Ratatouille,daily,2015-08-04,all-access,all-agents,1981
en.wikipedia,Ratatouille,daily,2015-08-05,all-access,all-agents,2033
en.wikipedia,Ratatouille,daily,2015-08-06,all-access,all-agents,1854
en.wikipedia,Ratatouille,daily,2015-08-07,all-access,all-agents,1757
en.wikipedia,Ratatouille,daily,2015-08-08,all-access,all-agents,2123
en.wikipedia,Ratatouille,daily,2015-08-09,all-access,all-agents,2754
en.wikipedia,Ratatouille,daily,2015-08-10,all-access,all-agents,2128
en.wikipedia,Ratatouille,daily,2015-08-11,all-access,all-agents,2186
en.wikipedia,Ratatouille,daily,2015-08-12,all-access,all-agents,2118
en.wikipedia,Ratatouille,daily,2015-08-13,all-access,all-agents,1994
en.wikipedia,Ratatouille,daily,2015-08-14,all-access,all-agents,7854
en.wikipedia,Ratatouille,daily,2015-08-15,all-access,all-agents,4368
en.wikipedia,Ratatouille,daily,2015-08-16,all-access,all-agents,2862
en.wikipedia,Ratatouille,daily,2015-08-17,all-access,all-agents,2576
en.wikipedia,Ratatouille,daily,2015-08-18,all-access,all-agents,2958
en.wikipedia,Ratatouille,daily,2015-08-19,all-access,all-agents,2174
en.wikipedia,Ratatouille,daily,2015-08-20,all-access,all-agents,2000
en.wikipedia,Ratatouille,daily,2015-08-21,all-access,all-agents,1918
en.wikipedia,Ratatouille,daily,2015-08-22,all-access,all-agents,2119
en.wikipedia,Ratatouille,daily,2015-08-23,all-access,all-agents,2225
en.wikipedia,Ratatouille,daily,2015-08-24,all-access,all-agents,1937
en.wikipedia,Ratatouille,daily,2015-08-25,all-access,all-agents,1799
en.wikipedia,Ratatouille,daily,2015-08-26,all-access,all-agents,1548
en.wikipedia,Ratatouille,daily,2015-08-27,all-access,all-agents,1756
en.wikipedia,Ratatouille,daily,2015-08-28,all-access,all-agents,1657
