project,article,granularity,timestamp,access,agent,views
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-01,all-access,all-agents,2675
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-02,all-access,all-agents,2472
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-03,all-access,all-agents,2355
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-04,all-access,all-agents,2378
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-05,all-access,all-agents,2489
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-06,all-access,all-agents,9129
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-07,all-access,all-agents,3499
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-08,all-access,all-agents,2977
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-09,all-access,all-agents,2931
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-10,all-access,all-agents,2497
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-11,all-access,all-agents,2607
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-12,all-access,all-agents,3192
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-13,all-access,all-agents,3385
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-14,all-access,all-agents,5768
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-15,all-access,all-agents,3485
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-16,all-access,all-agents,3256
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-17,all-access,all-agents,3411
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-18,all-access,all-agents,3513
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-19,all-access,all-agents,3484
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-20,all-access,all-agents,3214
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-21,all-access,all-agents,3052
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-22,all-access,all-agents,3014
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-23,all-access,all-agents,3705
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-24,all-access,all-agents,3560
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-25,all-access,all-agents,3169
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-26,all-access,all-agents,3473
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-27,all-access,all-agents,3635
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-28,all-access,all-agents,3207
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-29,all-access,all-agents,3093
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-30,all-access,all-agents,2734
en.wikipedia,Requiem_for_a_Dream,daily,2015-07-31,all-access,all-agents,2881
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-01,all-access,all-agents,3315
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-02,all-access,all-agents,3246
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-03,all-access,all-agents,3455
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-04,all-access,all-agents,3108
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-05,all-access,all-agents,3246
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-06,all-access,all-agents,3375
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-07,all-access,all-agents,2846
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-08,all-access,all-agents,2841
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-09,all-access,all-agents,2957
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-10,all-access,all-agents,2936
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-11,all-access,all-agents,3443
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-12,all-access,all-agents,3811
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-13,all-access,all-agents,2754
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-14,all-access,all-agents,2704
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-15,all-access,all-agents,3912
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-16,all-access,all-agents,3863
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-17,all-access,all-agents,3209
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-18,all-access,all-agents,2730
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-19,all-access,all-agents,3037
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-20,all-access,all-agents,2824
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-21,all-access,all-agents,3047
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-22,all-access,all-agents,4100
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-23,all-access,all-agents,3276
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-24,all-access,all-agents,3061
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-25,all-access,all-agents,2674
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-26,all-access,all-agents,2801
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-27,all-access,all-agents,3007
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-28,all-access,all-agents,3739
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-29,all-access,all-agents,3891
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-30,all-access,all-agents,3204
en.wikipedia,Requiem_for_a_Dream,daily,2015-08-31,all-access,all-agents,5475
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-01,all-access,all-agents,3042
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-02,all-access,all-agents,2833
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-03,all-access,all-agents,3192
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-04,all-access,all-agents,2486
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-05,all-access,all-agents,2589
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-06,all-access,all-agents,3536
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-07,all-access,all-agents,2874
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-08,all-access,all-agents,2832
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-09,all-access,all-agents,2621
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-10,all-access,all-agents,2539
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-11,all-access,all-agents,2569
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-12,all-access,all-agents,3756
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-13,all-access,all-agents,2920
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-14,all-access,all-agents,2795
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-15,all-access,all-agents,3296
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-16,all-access,all-agents,4151
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-17,all-access,all-agents,4241
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-18,all-access,all-agents,3309
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-19,all-access,all-agents,3071
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-20,all-access,all-agents,3129
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-21,all-access,all-agents,2758
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-22,all-access,all-agents,2556
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-23,all-access,all-agents,4391
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-24,all-access,all-agents,2889
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-25,all-access,all-agents,3060
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-26,all-access,all-agents,2929
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-27,all-access,all-agents,2954
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-28,all-access,all-agents,2967
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-29,all-access,all-agents,3410
en.wikipedia,Requiem_for_a_Dream,daily,2015-09-30,all-access,all-agents,2716
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-01,all-access,all-agents,2597
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-02,all-access,all-agents,2292
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-03,all-access,all-agents,2472
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-04,all-access,all-agents,2827
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-05,all-access,all-agents,2585
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-06,all-access,all-agents,2645
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-07,all-access,all-agents,2840
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-08,all-access,all-agents,2438
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-09,all-access,all-agents,2539
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-10,all-access,all-agents,3964
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-11,all-access,all-agents,3295
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-12,all-access,all-agents,2867
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-13,all-access,all-agents,2692
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-14,all-access,all-agents,2822
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-15,all-access,all-agents,2515
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-16,all-access,all-agents,2620
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-17,all-access,all-agents,2675
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-18,all-access,all-agents,2839
en.wikipedia,Requiem_for_a_Dream,daily,2015-10-19,all-access,all-agents,2678
