project,article,granularity,timestamp,access,agent,views
en.wikipedia,Son_of_Saul,daily,2015-07-01,all-access,all-agents,225
en.wikipedia,Son_of_Saul,daily,2015-07-02,all-access,all-agents,245
en.wikipedia,Son_of_Saul,daily,2015-07-03,all-access,all-agents,232
en.wikipedia,Son_of_Saul,daily,2015-07-04,all-access,all-agents,233
en.wikipedia,Son_of_Saul,daily,2015-07-05,all-access,all-agents,250
en.wikipedia,Son_of_Saul,daily,2015-07-06,all-access,all-agents,250
en.wikipedia,Son_of_Saul,daily,2015-07-07,all-access,all-agents,252
en.wikipedia,Son_of_Saul,daily,2015-07-08,all-access,all-agents,228
en.wikipedia,Son_of_Saul,daily,2015-07-09,all-access,all-agents,230
en.wikipedia,Son_of_Saul,daily,2015-07-10,all-access,all-agents,197
en.wikipedia,Son_of_Saul,daily,2015-07-11,all-access,all-agents,206
en.wikipedia,Son_of_Saul,daily,2015-07-12,all-access,all-agents,252
en.wikipedia,Son_of_Saul,daily,2015-07-13,all-access,all-agents,248
en.wikipedia,Son_of_Saul,daily,2015-07-14,all-access,all-agents,275
en.wikipedia,Son_of_Saul,daily,2015-07-15,all-access,all-agents,289
en.wikipedia,Son_of_Saul,daily,2015-07-16,all-access,all-agents,198
en.wikipedia,Son_of_Saul,daily,2015-07-17,all-access,all-agents,224
en.wikipedia,Son_of_Saul,daily,2015-07-18,all-access,all-agents,231
en.wikipedia,Son_of_Saul,daily,2015-07-19,all-access,all-agents,248
en.wikipedia,Son_of_Saul,daily,2015-07-20,all-access,all-agents,243
en.wikipedia,Son_of_Saul,daily,2015-07-21,all-access,all-agents,286
en.wikipedia,Son_of_Saul,daily,2015-07-22,all-access,all-agents,244
en.wikipedia,Son_of_Saul,daily,2015-07-23,all-access,all-agents,270
en.wikipedia,Son_of_Saul,daily,2015-07-24,all-access,all-agents,291
en.wikipedia,Son_of_Saul,daily,2015-07-25,all-access,all-agents,326
en.wikipedia,Son_of_Saul,daily,2015-07-26,all-access,all-agents,362
en.wikipedia,Son_of_Saul,daily,2015-07-27,all-access,all-agents,345
en.wikipedia,Son_of_Saul,daily,2015-07-28,all-access,all-agents,385
en.wikipedia,Son_of_Saul,daily,2015-07-29,all-access,all-agents,381
en.wikipedia,Son_of_Saul,daily,2015-07-30,all-access,all-agents,293
en.wikipedia,Son_of_Saul,daily,2015-07-31,all-access,all-agents,257
en.wikipedia,Son_of_Saul,daily,2015-08-01,all-access,all-agents,239
en.wikipedia,Son_of_Saul,daily,2015-08-02,all-access,all-agents,290
en.wikipedia,Son_of_Saul,daily,2015-08-03,all-access,all-agents,257
en.wikipedia,Son_of_Saul,daily,2015-08-04,all-access,all-agents,264
en.wikipedia,Son_of_Saul,daily,2015-08-05,all-access,all-agents,260
en.wikipedia,Son_of_Saul,daily,2015-08-06,all-access,all-agents,249
en.wikipedia,Son_of_Saul,daily,2015-08-07,all-access,all-agents,241
en.wikipedia,Son_of_Saul,daily,2015-08-08,all-access,all-agents,217
en.wikipedia,Son_of_Saul,daily,2015-08-09,all-access,all-agents,251
en.wikipedia,Son_of_Saul,daily,2015-08-10,all-access,all-agents,192
en.wikipedia,Son_of_Saul,daily,2015-08-11,all-access,all-agents,219
en.wikipedia,Son_of_Saul,daily,2015-08-12,all-access,all-agents,240
en.wikipedia,Son_of_Saul,daily,2015-08-13,all-access,all-agents,249
en.wikipedia,Son_of_Saul,daily,2015-08-14,all-access,all-agents,282
en.wikipedia,Son_of_Saul,daily,2015-08-15,all-access,all-agents,276
en.wikipedia,Son_of_Saul,daily,2015-08-16,all-access,all-agents,272
en.wikipedia,Son_of_Saul,daily,2015-08-17,all-access,all-agents,308
en.wikipedia,Son_of_Saul,daily,2015-08-18,all-access,all-agents,301
en.wikipedia,Son_of_Saul,daily,2015-08-19,all-access,all-agents,297
en.wikipedia,Son_of_Saul,daily,2015-08-20,all-access,all-agents,352
en.wikipedia,Son_of_Saul,daily,2015-08-21,all-access,all-agents,332
en.wikipedia,Son_of_Saul,daily,2015-08-22,all-access,all-agents,336
en.wikipedia,Son_of_Saul,daily,2015-08-23,all-access,all-agents,348
en.wikipedia,Son_of_Saul,daily,2015-08-24,all-access,all-agents,325
en.wikipedia,Son_of_Saul,daily,2015-08-25,all-access,all-agents,277
en.wikipedia,Son_of_Saul,daily,2015-08-26,all-access,all-agents,303
en.wikipedia,Son_of_Saul,daily,2015-08-27,all-access,all-agents,341
en.wikipedia,Son_of_Saul,daily,2015-08-28,all-access,all-agents,343
en.wikipedia,Son_of_Saul,daily,2015-08-29,all-access,all-agents,339
en.wikipedia,Son_of_Saul,daily,2015-08-30,all-access,all-agents,332
en.wikipedia,Son_of_Saul,daily,2015-08-31,all-access,all-agents,354
en.wikipedia,Son_of_Saul,daily,2015-09-01,all-access,all-agents,435
en.wikipedia,Son_of_Saul,daily,2015-09-02,all-access,all-agents,511
en.wikipedia,Son_of_Saul,daily,2015-09-03,all-access,all-agents,459
en.wikipedia,Son_of_Saul,daily,2015-09-04,all-access,all-agents,359
en.wikipedia,Son_of_Saul,daily,2015-09-05,all-access,all-agents,355
en.wikipedia,Son_of_Saul,daily,2015-09-06,all-access,all-agents,430
en.wikipedia,Son_of_Saul,daily,2015-09-07,all-access,all-agents,512
en.wikipedia,Son_of_Saul,daily,2015-09-08,all-access,all-agents,408
en.wikipedia,Son_of_Saul,daily,2015-09-09,all-access,all-agents,415
en.wikipedia,Son_of_Saul,daily,2015-09-10,all-access,all-agents,568
en.wikipedia,Son_of_Saul,daily,2015-09-11,all-access,all-agents,588
en.wikipedia,Son_of_Saul,daily,2015-09-12,all-access,all-agents,436
en.wikipedia,Son_of_Saul,daily,2015-09-13,all-access,all-agents,413
en.wikipedia,Son_of_Saul,daily,2015-09-14,all-access,all-agents,445
en.wikipedia,Son_of_Saul,daily,2015-09-15,all-access,all-agents,418
en.wikipedia,Son_of_Saul,daily,2015-09-16,all-access,all-agents,386
en.wikipedia,Son_of_Saul,daily,2015-09-17,all-access,all-agents,389
en.wikipedia,Son_of_Saul,daily,2015-09-18,all-access,all-agents,421
en.wikipedia,Son_of_Saul,daily,2015-09-19,all-access,all-agents,439
en.wikipedia,Son_of_Saul,daily,2015-09-20,all-access,all-agents,498
en.wikipedia,Son_of_Saul,daily,2015-09-21,all-access,all-agents,383
en.wikipedia,Son_of_Saul,daily,2015-09-22,all-access,all-agents,477
en.wikipedia,Son_of_Saul,daily,2015-09-23,all-access,all-agents,390
en.wikipedia,Son_of_Saul,daily,2015-09-24,all-access,all-agents,566
en.wikipedia,Son_of_Saul,daily,2015-09-25,all-access,all-agents,529
en.wikipedia,Son_of_Saul,daily,2015-09-26,all-access,all-agents,356
en.wikipedia,Son_of_Saul,daily,2015-09-27,all-access,all-agents,419
en.wikipedia,Son_of_Saul,daily,2015-09-28,all-access,all-agents,435
en.wikipedia,Son_of_Saul,daily,2015-09-29,all-access,all-agents,528
en.wikipedia,Son_of_Saul,daily,2015-09-30,all-access,all-agents,386
en.wikipedia,Son_of_Saul,daily,2015-10-01,all-access,all-agents,350
en.wikipedia,Son_of_Saul,daily,2015-10-02,all-access,all-agents,347
