project,article,granularity,timestamp,access,agent,views
en.wikipedia,Spirited_Away,daily,2015-07-01,all-access,all-agents,3555
en.wikipedia,Spirited_Away,daily,2015-07-02,all-access,all-agents,3366
en.wikipedia,Spirited_Away,daily,2015-07-03,all-access,all-agents,3438
en.wikipedia,Spirited_Away,daily,2015-07-04,all-access,all-agents,3487
en.wikipedia,Spirited_Away,daily,2015-07-05,all-access,all-agents,3673
en.wikipedia,Spirited_Away,daily,2015-07-06,all-access,all-agents,3908
en.wikipedia,Spirited_Away,daily,2015-07-07,all-access,all-agents,4038
en.wikipedia,Spirited_Away,daily,2015-07-08,all-access,all-agents,3930
en.wikipedia,Spirited_Away,daily,2015-07-09,all-access,all-agents,3573
en.wikipedia,Spirited_Away,daily,2015-07-10,all-access,all-agents,3659
en.wikipedia,Spirited_Away,daily,2015-07-11,all-access,all-agents,3665
en.wikipedia,Spirited_Away,daily,2015-07-12,all-access,all-agents,3880
en.wikipedia,Spirited_Away,daily,2015-07-13,all-access,all-agents,4037
en.wikipedia,Spirited_Away,daily,2015-07-14,all-access,all-agents,3841
en.wikipedia,Spirited_Away,daily,2015-07-15,all-access,all-agents,3776
en.wikipedia,Spirited_Away,daily,2015-07-16,all-access,all-agents,3716
en.wikipedia,Spirited_Away,daily,2015-07-17,all-access,all-agents,3467
en.wikipedia,Spirited_Away,daily,2015-07-18,all-access,all-agents,3814
en.wikipedia,Spirited_Away,daily,2015-07-19,all-access,all-agents,4005
en.wikipedia,Spirited_Away,daily,2015-07-20,all-access,all-agents,4062
en.wikipedia,Spirited_Away,daily,2015-07-21,all-access,all-agents,3837
en.wikipedia,Spirited_Away,daily,2015-07-22,all-access,all-agents,3679
en.wikipedia,Spirited_Away,daily,2015-07-23,all-access,all-agents,3914
en.wikipedia,Spirited_Away,daily,2015-07-24,all-access,all-agents,3647
en.wikipedia,Spirited_Away,daily,2015-07-25,all-access,all-agents,3731
en.wikipedia,Spirited_Away,daily,2015-07-26,all-access,all-agents,4109
en.wikipedia,Spirited_Away,daily,2015-07-27,all-access,all-agents,3840
en.wikipedia,Spirited_Away,daily,2015-07-28,all-access,all-agents,4128
en.wikipedia,Spirited_Away,daily,2015-07-29,all-access,all-agents,4080
en.wikipedia,Spirited_Away,daily,2015-07-30,all-access,all-agents,7632
en.wikipedia,Spirited_Away,daily,2015-07-31,all-access,all-agents,4680
en.wikipedia,Spirited_Away,daily,2015-08-01,all-access,all-agents,4846
en.wikipedia,Spirited_Away,daily,2015-08-02,all-access,all-agents,5491
en.wikipedia,Spirited_Away,daily,2015-08-03,all-access,all-agents,4199
en.wikipedia,Spirited_Away,daily,2015-08-04,all-access,all-agents,4061
en.wikipedia,Spirited_Away,daily,2015-08-05,all-access,all-agents,3757
en.wikipedia,Spirited_Away,daily,2015-08-06,all-access,all-agents,3701
en.wikipedia,Spirited_Away,daily,2015-08-07,all-access,all-agents,3620
en.wikipedia,Spirited_Away,daily,2015-08-08,all-access,all-agents,3699
en.wikipedia,Spirited_Away,daily,2015-08-09,all-access,all-agents,4212
en.wikipedia,Spirited_Away,daily,2015-08-10,all-access,all-agents,3951
en.wikipedia,Spirited_Away,daily,2015-08-11,all-access,all-agents,3733
en.wikipedia,Spirited_Away,daily,2015-08-12,all-access,all-agents,5805
en.wikipedia,Spirited_Away,daily,2015-08-13,all-access,all-agents,3748
en.wikipedia,Spirited_Away,daily,2015-08-14,all-access,all-agents,3833
en.wikipedia,Spirited_Away,daily,2015-08-15,all-access,all-agents,3839
en.wikipedia,Spirited_Away,daily,2015-08-16,all-access,all-agents,4438
en.wikipedia,Spirited_Away,daily,2015-08-17,all-access,all-agents,6242
en.wikipedia,Spirited_Away,daily,2015-08-18,all-access,all-agents,4201
en.wikipedia,Spirited_Away,daily,2015-08-19,all-access,all-agents,3719
en.wikipedia,Spirited_Away,daily,2015-08-20,all-access,all-agents,3641
en.wikipedia,Spirited_Away,daily,2015-08-21,all-access,all-agents,3735
en.wikipedia,Spirited_Away,daily,2015-08-22,all-access,all-agents,3865
en.wikipedia,Spirited_Away,daily,2015-08-23,all-access,all-agents,4213
en.wikipedia,Spirited_Away,daily,2015-08-24,all-access,all-agents,4044
en.wikipedia,Spirited_Away,daily,2015-08-25,all-access,all-agents,3750
en.wikipedia,Spirited_Away,daily,2015-08-26,all-access,all-agents,3699
en.wikipedia,Spirited_Away,daily,2015-08-27,all-access,all-agents,3875
en.wikipedia,Spirited_Away,daily,2015-08-28,all-access,all-agents,3791
en.wikipedia,Spirited_Away,daily,2015-08-29,all-access,all-agents,3833
en.wikipedia,Spirited_Away,daily,2015-08-30,all-access,all-agents,4169
en.wikipedia,Spirited_Away,daily,2015-08-31,all-access,all-agents,3970
en.wikipedia,Spirited_Away,daily,2015-09-01,all-access,all-agents,3535
en.wikipedia,Spirited_Away,daily,2015-09-02,all-access,all-agents,3523
en.wikipedia,Spirited_Away,daily,2015-09-03,all-access,all-agents,3323
en.wikipedia,Spirited_Away,daily,2015-09-04,all-access,all-agents,3338
en.wikipedia,Spirited_Away,daily,2015-09-05,all-access,all-agents,3882
en.wikipedia,Spirited_Away,daily,2015-09-06,all-access,all-agents,4344
en.wikipedia,Spirited_Away,daily,2015-09-07,all-access,all-agents,4373
en.wikipedia,Spirited_Away,daily,2015-09-08,all-access,all-agents,3699
en.wikipedia,Spirited_Away,daily,2015-09-09,all-access,all-agents,3433
en.wikipedia,Spirited_Away,daily,2015-09-10,all-access,all-agents,3268
en.wikipedia,Spirited_Away,daily,2015-09-11,all-access,all-agents,3263
en.wikipedia,Spirited_Away,daily,2015-09-12,all-access,all-agents,3709
en.wikipedia,Spirited_Away,daily,2015-09-13,all-access,all-agents,4297
en.wikipedia,Spirited_Away,daily,2015-09-14,all-access,all-agents,3572
en.wikipedia,Spirited_Away,daily,2015-09-15,all-access,all-agents,3421
en.wikipedia,Spirited_Away,daily,2015-09-16,all-access,all-agents,3479
en.wikipedia,Spirited_Away,daily,2015-09-17,all-access,all-agents,3166
en.wikipedia,Spirited_Away,daily,2015-09-18,all-access,all-agents,3501
en.wikipedia,Spirited_Away,daily,2015-09-19,all-access,all-agents,3978
