project,article,granularity,timestamp,access,agent,views
en.wikipedia,Spring_Breakers,daily,2015-07-01,all-access,all-agents,2169
en.wikipedia,Spring_Breakers,daily,2015-07-02,all-access,all-agents,2176
en.wikipedia,Spring_Breakers,daily,2015-07-03,all-access,all-agents,2181
en.wikipedia,Spring_Breakers,daily,2015-07-04,all-access,all-agents,2173
en.wikipedia,Spring_Breakers,daily,2015-07-05,all-access,all-agents,2403
en.wikipedia,Spring_Breakers,daily,2015-07-06,all-access,all-agents,2537
en.wikipedia,Spring_Breakers,daily,2015-07-07,all-access,all-agents,2341
en.wikipedia,Spring_Breakers,daily,2015-07-08,all-access,all-agents,2209
en.wikipedia,Spring_Breakers,daily,2015-07-09,all-access,all-agents,2194
en.wikipedia,Spring_Breakers,daily,2015-07-10,all-access,all-agents,2146
en.wikipedia,Spring_Breakers,daily,2015-07-11,all-access,all-agents,2018
en.wikipedia,Spring_Breakers,daily,2015-07-12,all-access,all-agents,2174
en.wikipedia,Spring_Breakers,daily,2015-07-13,all-access,all-agents,2293
en.wikipedia,Spring_Breakers,daily,2015-07-14,all-access,all-agents,2110
en.wikipedia,Spring_Breakers,daily,2015-07-15,all-access,all-agents,2153
en.wikipedia,Spring_Breakers,daily,2015-07-16,all-access,all-agents,2212
en.wikipedia,Spring_Breakers,daily,2015-07-17,all-access,all-agents,2271
en.wikipedia,Spring_Breakers,daily,2015-07-18,all-access,all-agents,2150
en.wikipedia,Spring_Breakers,daily,2015-07-19,all-access,all-agents,2387
en.wikipedia,Spring_Breakers,daily,2015-07-20,all-access,all-agents,2464
en.wikipedia,Spring_Breakers,daily,2015-07-21,all-access,all-agents,2544
en.wikipedia,Spring_Breakers,daily,2015-07-22,all-access,all-agents,3002
en.wikipedia,Spring_Breakers,daily,2015-07-23,all-access,all-agents,2566
en.wikipedia,Spring_Breakers,daily,2015-07-24,all-access,all-agents,2852
en.wikipedia,Spring_Breakers,daily,2015-07-25,all-access,all-agents,2514
en.wikipedia,Spring_Breakers,daily,2015-07-26,all-access,all-agents,2720
en.wikipedia,Spring_Breakers,daily,2015-07-27,all-access,all-agents,2504
en.wikipedia,Spring_Breakers,daily,2015-07-28,all-access,all-agents,2740
en.wikipedia,Spring_Breakers,daily,2015-07-29,all-access,all-agents,2451
en.wikipedia,Spring_Breakers,daily,2015-07-30,all-access,all-agents,2533
en.wikipedia,Spring_Breakers,daily,2015-07-31,all-access,all-agents,2379
en.wikipedia,Spring_Breakers,daily,2015-08-01,all-access,all-agents,2214
en.wikipedia,Spring_Breakers,daily,2015-08-02,all-access,all-agents,2259
en.wikipedia,Spring_Breakers,daily,2015-08-03,all-access,all-agents,2700
en.wikipedia,Spring_Breakers,daily,2015-08-04,all-access,all-agents,2739
en.wikipedia,Spring_Breakers,daily,2015-08-05,all-access,all-agents,2916
en.wikipedia,Spring_Breakers,daily,2015-08-06,all-access,all-agents,2369
