project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-01,all-access,all-agents,4634
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-02,all-access,all-agents,5006
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-03,all-access,all-agents,4824
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-04,all-access,all-agents,5808
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-05,all-access,all-agents,6356
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-06,all-access,all-agents,5918
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-07,all-access,all-agents,6339
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-08,all-access,all-agents,5780
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-09,all-access,all-agents,6292
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-10,all-access,all-agents,5610
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-11,all-access,all-agents,7346
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-12,all-access,all-agents,7995
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-13,all-access,all-agents,7778
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-14,all-access,all-agents,5211
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-15,all-access,all-agents,5083
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-16,all-access,all-agents,5224
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-17,all-access,all-agents,5257
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-18,all-access,all-agents,6606
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-19,all-access,all-agents,7211
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-20,all-access,all-agents,5850
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-21,all-access,all-agents,5585
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-22,all-access,all-agents,5386
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-23,all-access,all-agents,5301
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-24,all-access,all-agents,5341
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-25,all-access,all-agents,8216
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-26,all-access,all-agents,9239
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-27,all-access,all-agents,7918
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-28,all-access,all-agents,5444
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-29,all-access,all-agents,5002
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-30,all-access,all-agents,4663
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-07-31,all-access,all-agents,5650
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-01,all-access,all-agents,5524
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-02,all-access,all-agents,6029
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-03,all-access,all-agents,5689
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-04,all-access,all-agents,5189
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-05,all-access,all-agents,4673
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-06,all-access,all-agents,5127
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-07,all-access,all-agents,5162
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-08,all-access,all-agents,6061
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-09,all-access,all-agents,6085
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-10,all-access,all-agents,4923
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-11,all-access,all-agents,4619
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-12,all-access,all-agents,5000
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-13,all-access,all-agents,4845
en.wikipedia,The_Grand_Budapest_Hotel,daily,2015-08-14,all-access,all-agents,5159
