project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-01,all-access,all-agents,1062
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-02,all-access,all-agents,1247
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-03,all-access,all-agents,1593
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-04,all-access,all-agents,1777
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-05,all-access,all-agents,1426
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-06,all-access,all-agents,1440
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-07,all-access,all-agents,1318
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-08,all-access,all-agents,1567
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-09,all-access,all-agents,1972
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-10,all-access,all-agents,1410
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-11,all-access,all-agents,1391
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-12,all-access,all-agents,2187
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-13,all-access,all-agents,1269
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-14,all-access,all-agents,1088
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-15,all-access,all-agents,1160
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-16,all-access,all-agents,1142
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-17,all-access,all-agents,1294
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-18,all-access,all-agents,1183
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-19,all-access,all-agents,1325
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-20,all-access,all-agents,1301
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-21,all-access,all-agents,1272
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-22,all-access,all-agents,1143
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-23,all-access,all-agents,1279
en.wikipedia,The_Royal_Tenenbaums,daily,2015-07-24,all-access,all-agents,1705
