project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Social_Network,daily,2015-07-01,all-access,all-agents,3033
en.wikipedia,The_Social_Network,daily,2015-07-02,all-access,all-agents,3018
en.wikipedia,The_Social_Network,daily,2015-07-03,all-access,all-agents,2773
en.wikipedia,The_Social_Network,daily,2015-07-04,all-access,all-agents,2810
en.wikipedia,The_Social_Network,daily,2015-07-05,all-access,all-agents,3178
en.wikipedia,The_Social_Network,daily,2015-07-06,all-access,all-agents,2917
en.wikipedia,The_Social_Network,daily,2015-07-07,all-access,all-agents,2688
en.wikipedia,The_Social_Network,daily,2015-07-08,all-access,all-agents,2811
en.wikipedia,The_Social_Network,daily,2015-07-09,all-access,all-agents,5543
en.wikipedia,The_Social_Network,daily,2015-07-10,all-access,all-agents,3880
en.wikipedia,The_Social_Network,daily,2015-07-11,all-access,all-agents,3124
en.wikipedia,The_Social_Network,daily,2015-07-12,all-access,all-agents,4100
en.wikipedia,The_Social_Network,daily,2015-07-13,all-access,all-agents,3861
en.wikipedia,The_Social_Network,daily,2015-07-14,all-access,all-agents,3400
en.wikipedia,The_Social_Network,daily,2015-07-15,all-access,all-agents,3395
en.wikipedia,The_Social_Network,daily,2015-07-16,all-access,all-agents,4415
en.wikipedia,The_Social_Network,daily,2015-07-17,all-access,all-agents,2775
en.wikipedia,The_Social_Network,daily,2015-07-18,all-access,all-agents,2733
en.wikipedia,The_Social_Network,daily,2015-07-19,all-access,all-agents,3093
en.wikipedia,The_Social_Network,daily,2015-07-20,all-access,all-agents,3207
en.wikipedia,The_Social_Network,daily,2015-07-21,all-access,all-agents,3056
en.wikipedia,The_Social_Network,daily,2015-07-22,all-access,all-agents,2759
en.wikipedia,The_Social_Network,daily,2015-07-23,all-access,all-agents,2691
en.wikipedia,The_Social_Network,daily,2015-07-24,all-access,all-agents,2539
en.wikipedia,The_Social_Network,daily,2015-07-25,all-access,all-agents,3141
en.wikipedia,The_Social_Network,daily,2015-07-26,all-access,all-agents,3173
en.wikipedia,The_Social_Network,daily,2015-07-27,all-access,all-agents,3049
en.wikipedia,The_Social_Network,daily,2015-07-28,all-access,all-agents,3127
en.wikipedia,The_Social_Network,daily,2015-07-29,all-access,all-agents,2926
en.wikipedia,The_Social_Network,daily,2015-07-30,all-access,all-agents,2892
en.wikipedia,The_Social_Network,daily,2015-07-31,all-access,all-agents,3671
en.wikipedia,The_Social_Network,daily,2015-08-01,all-access,all-agents,6283
en.wikipedia,The_Social_Network,daily,2015-08-02,all-access,all-agents,8119
en.wikipedia,The_Social_Network,daily,2015-08-03,all-access,all-agents,3543
en.wikipedia,The_Social_Network,daily,2015-08-04,all-access,all-agents,3224
en.wikipedia,The_Social_Network,daily,2015-08-05,all-access,all-agents,3397
en.wikipedia,The_Social_Network,daily,2015-08-06,all-access,all-agents,3192
en.wikipedia,The_Social_Network,daily,2015-08-07,all-access,all-agents,2837
en.wikipedia,The_Social_Network,daily,2015-08-08,all-access,all-agents,3618
en.wikipedia,The_Social_Network,daily,2015-08-09,all-access,all-agents,3157
en.wikipedia,The_Social_Network,daily,2015-08-10,all-access,all-agents,2946
en.wikipedia,The_Social_Network,daily,2015-08-11,all-access,all-agents,3575
en.wikipedia,The_Social_Network,daily,2015-08-12,all-access,all-agents,2978
en.wikipedia,The_Social_Network,daily,2015-08-13,all-access,all-agents,2995
en.wikipedia,The_Social_Network,daily,2015-08-14,all-access,all-agents,2985
en.wikipedia,The_Social_Network,daily,2015-08-15,all-access,all-agents,3718
en.wikipedia,The_Social_Network,daily,2015-08-16,all-access,all-agents,3403
en.wikipedia,The_Social_Network,daily,2015-08-17,all-access,all-agents,3539
en.wikipedia,The_Social_Network,daily,2015-08-18,all-access,all-agents,4573
en.wikipedia,The_Social_Network,daily,2015-08-19,all-access,all-agents,4429
en.wikipedia,The_Social_Network,daily,2015-08-20,all-access,all-agents,3236
en.wikipedia,The_Social_Network,daily,2015-08-21,all-access,all-agents,3017
en.wikipedia,The_Social_Network,daily,2015-08-22,all-access,all-agents,3191
en.wikipedia,The_Social_Network,daily,2015-08-23,all-access,all-agents,3464
en.wikipedia,The_Social_Network,daily,2015-08-24,all-access,all-agents,3151
en.wikipedia,The_Social_Network,daily,2015-08-25,all-access,all-agents,3089
en.wikipedia,The_Social_Network,daily,2015-08-26,all-access,all-agents,2985
en.wikipedia,The_Social_Network,daily,2015-08-27,all-access,all-agents,2933
en.wikipedia,The_Social_Network,daily,2015-08-28,all-access,all-agents,2932
en.wikipedia,The_Social_Network,daily,2015-08-29,all-access,all-agents,2910
en.wikipedia,The_Social_Network,daily,2015-08-30,all-access,all-agents,3340
en.wikipedia,The_Social_Network,daily,2015-08-31,all-access,all-agents,3405
en.wikipedia,The_Social_Network,daily,2015-09-01,all-access,all-agents,2841
en.wikipedia,The_Social_Network,daily,2015-09-02,all-access,all-agents,2913
en.wikipedia,The_Social_Network,daily,2015-09-03,all-access,all-agents,2773
en.wikipedia,The_Social_Network,daily,2015-09-04,all-access,all-agents,2847
en.wikipedia,The_Social_Network,daily,2015-09-05,all-access,all-agents,2984
en.wikipedia,The_Social_Network,daily,2015-09-06,all-access,all-agents,3622
en.wikipedia,The_Social_Network,daily,2015-09-07,all-access,all-agents,3736
en.wikipedia,The_Social_Network,daily,2015-09-08,all-access,all-agents,3703
en.wikipedia,The_Social_Network,daily,2015-09-09,all-access,all-agents,3247
en.wikipedia,The_Social_Network,daily,2015-09-10,all-access,all-agents,7287
en.wikipedia,The_Social_Network,daily,2015-09-11,all-access,all-agents,3359
en.wikipedia,The_Social_Network,daily,2015-09-12,all-access,all-agents,3032
en.wikipedia,The_Social_Network,daily,2015-09-13,all-access,all-agents,3551
en.wikipedia,The_Social_Network,daily,2015-09-14,all-access,all-agents,3056
en.wikipedia,The_Social_Network,daily,2015-09-15,all-access,all-agents,3282
en.wikipedia,The_Social_Network,daily,2015-09-16,all-access,all-agents,3406
en.wikipedia,The_Social_Network,daily,2015-09-17,all-access,all-agents,3304
en.wikipedia,The_Social_Network,daily,2015-09-18,all-access,all-agents,3210
en.wikipedia,The_Social_Network,daily,2015-09-19,all-access,all-agents,3313
en.wikipedia,The_Social_Network,daily,2015-09-20,all-access,all-agents,3638
en.wikipedia,The_Social_Network,daily,2015-09-21,all-access,all-agents,3090
