project,article,granularity,timestamp,access,agent,views
en.wikipedia,There_Will_Be_Blood,daily,2015-07-01,all-access,all-agents,2265
en.wikipedia,There_Will_Be_Blood,daily,2015-07-02,all-access,all-agents,2853
en.wikipedia,There_Will_Be_Blood,daily,2015-07-03,all-access,all-agents,2668
en.wikipedia,There_Will_Be_Blood,daily,2015-07-04,all-access,all-agents,2810
en.wikipedia,There_Will_Be_Blood,daily,2015-07-05,all-access,all-agents,3015
en.wikipedia,There_Will_Be_Blood,daily,2015-07-06,all-access,all-agents,2892
en.wikipedia,There_Will_Be_Blood,daily,2015-07-07,all-access,all-agents,3704
en.wikipedia,There_Will_Be_Blood,daily,2015-07-08,all-access,all-agents,3303
en.wikipedia,There_Will_Be_Blood,daily,2015-07-09,all-access,all-agents,2858
en.wikipedia,There_Will_Be_Blood,daily,2015-07-10,all-access,all-agents,3104
en.wikipedia,There_Will_Be_Blood,daily,2015-07-11,all-access,all-agents,3915
en.wikipedia,There_Will_Be_Blood,daily,2015-07-12,all-access,all-agents,3360
en.wikipedia,There_Will_Be_Blood,daily,2015-07-13,all-access,all-agents,3309
en.wikipedia,There_Will_Be_Blood,daily,2015-07-14,all-access,all-agents,2730
en.wikipedia,There_Will_Be_Blood,daily,2015-07-15,all-access,all-agents,2414
en.wikipedia,There_Will_Be_Blood,daily,2015-07-16,all-access,all-agents,2565
en.wikipedia,There_Will_Be_Blood,daily,2015-07-17,all-access,all-agents,2436
en.wikipedia,There_Will_Be_Blood,daily,2015-07-18,all-access,all-agents,2821
en.wikipedia,There_Will_Be_Blood,daily,2015-07-19,all-access,all-agents,3525
en.wikipedia,There_Will_Be_Blood,daily,2015-07-20,all-access,all-agents,2826
en.wikipedia,There_Will_Be_Blood,daily,2015-07-21,all-access,all-agents,2889
en.wikipedia,There_Will_Be_Blood,daily,2015-07-22,all-access,all-agents,3050
en.wikipedia,There_Will_Be_Blood,daily,2015-07-23,all-access,all-agents,2985
en.wikipedia,There_Will_Be_Blood,daily,2015-07-24,all-access,all-agents,2701
en.wikipedia,There_Will_Be_Blood,daily,2015-07-25,all-access,all-agents,2839
en.wikipedia,There_Will_Be_Blood,daily,2015-07-26,all-access,all-agents,3519
en.wikipedia,There_Will_Be_Blood,daily,2015-07-27,all-access,all-agents,2866
en.wikipedia,There_Will_Be_Blood,daily,2015-07-28,all-access,all-agents,2679
en.wikipedia,There_Will_Be_Blood,daily,2015-07-29,all-access,all-agents,3101
en.wikipedia,There_Will_Be_Blood,daily,2015-07-30,all-access,all-agents,3002
en.wikipedia,There_Will_Be_Blood,daily,2015-07-31,all-access,all-agents,2493
en.wikipedia,There_Will_Be_Blood,daily,2015-08-01,all-access,all-agents,2627
en.wikipedia,There_Will_Be_Blood,daily,2015-08-02,all-access,all-agents,3149
en.wikipedia,There_Will_Be_Blood,daily,2015-08-03,all-access,all-agents,2575
en.wikipedia,There_Will_Be_Blood,daily,2015-08-04,all-access,all-agents,2611
en.wikipedia,There_Will_Be_Blood,daily,2015-08-05,all-access,all-agents,2630
en.wikipedia,There_Will_Be_Blood,daily,2015-08-06,all-access,all-agents,2959
en.wikipedia,There_Will_Be_Blood,daily,2015-08-07,all-access,all-agents,2682
en.wikipedia,There_Will_Be_Blood,daily,2015-08-08,all-access,all-agents,3265
en.wikipedia,There_Will_Be_Blood,daily,2015-08-09,all-access,all-agents,6742
en.wikipedia,There_Will_Be_Blood,daily,2015-08-10,all-access,all-agents,2895
en.wikipedia,There_Will_Be_Blood,daily,2015-08-11,all-access,all-agents,2800
en.wikipedia,There_Will_Be_Blood,daily,2015-08-12,all-access,all-agents,2755
en.wikipedia,There_Will_Be_Blood,daily,2015-08-13,all-access,all-agents,2820
en.wikipedia,There_Will_Be_Blood,daily,2015-08-14,all-access,all-agents,3369
en.wikipedia,There_Will_Be_Blood,daily,2015-08-15,all-access,all-agents,2950
en.wikipedia,There_Will_Be_Blood,daily,2015-08-16,all-access,all-agents,3474
en.wikipedia,There_Will_Be_Blood,daily,2015-08-17,all-access,all-agents,3220
en.wikipedia,There_Will_Be_Blood,daily,2015-08-18,all-access,all-agents,2649
en.wikipedia,There_Will_Be_Blood,daily,2015-08-19,all-access,all-agents,2818
en.wikipedia,There_Will_Be_Blood,daily,2015-08-20,all-access,all-agents,3161
en.wikipedia,There_Will_Be_Blood,daily,2015-08-21,all-access,all-agents,3236
en.wikipedia,There_Will_Be_Blood,daily,2015-08-22,all-access,all-agents,5272
en.wikipedia,There_Will_Be_Blood,daily,2015-08-23,all-access,all-agents,3379
en.wikipedia,There_Will_Be_Blood,daily,2015-08-24,all-access,all-agents,3003
en.wikipedia,There_Will_Be_Blood,daily,2015-08-25,all-access,all-agents,2669
en.wikipedia,There_Will_Be_Blood,daily,2015-08-26,all-access,all-agents,2551
en.wikipedia,There_Will_Be_Blood,daily,2015-08-27,all-access,all-agents,2751
en.wikipedia,There_Will_Be_Blood,daily,2015-08-28,all-access,all-agents,3284
en.wikipedia,There_Will_Be_Blood,daily,2015-08-29,all-access,all-agents,3162
en.wikipedia,There_Will_Be_Blood,daily,2015-08-30,all-access,all-agents,6060
