project,article,granularity,timestamp,access,agent,views
en.wikipedia,Timbuktu,daily,2015-07-01,all-access,all-agents,2213
en.wikipedia,Timbuktu,daily,2015-07-02,all-access,all-agents,2365
en.wikipedia,Timbuktu,daily,2015-07-03,all-access,all-agents,2152
en.wikipedia,Timbuktu,daily,2015-07-04,all-access,all-agents,2205
en.wikipedia,Timbuktu,daily,2015-07-05,all-access,all-agents,2372
en.wikipedia,Timbuktu,daily,2015-07-06,all-access,all-agents,2271
en.wikipedia,Timbuktu,daily,2015-07-07,all-access,all-agents,2237
en.wikipedia,Timbuktu,daily,2015-07-08,all-access,all-agents,2360
en.wikipedia,Timbuktu,daily,2015-07-09,all-access,all-agents,2494
en.wikipedia,Timbuktu,daily,2015-07-10,all-access,all-agents,1996
en.wikipedia,Timbuktu,daily,2015-07-11,all-access,all-agents,2168
en.wikipedia,Timbuktu,daily,2015-07-12,all-access,all-agents,2765
en.wikipedia,Timbuktu,daily,2015-07-13,all-access,all-agents,2445
en.wikipedia,Timbuktu,daily,2015-07-14,all-access,all-agents,2196
en.wikipedia,Timbuktu,daily,2015-07-15,all-access,all-agents,2256
en.wikipedia,Timbuktu,daily,2015-07-16,all-access,all-agents,1943
en.wikipedia,Timbuktu,daily,2015-07-17,all-access,all-agents,1818
en.wikipedia,Timbuktu,daily,2015-07-18,all-access,all-agents,1924
en.wikipedia,Timbuktu,daily,2015-07-19,all-access,all-agents,3620
en.wikipedia,Timbuktu,daily,2015-07-20,all-access,all-agents,3358
en.wikipedia,Timbuktu,daily,2015-07-21,all-access,all-agents,2369
en.wikipedia,Timbuktu,daily,2015-07-22,all-access,all-agents,2267
en.wikipedia,Timbuktu,daily,2015-07-23,all-access,all-agents,2194
en.wikipedia,Timbuktu,daily,2015-07-24,all-access,all-agents,2095
en.wikipedia,Timbuktu,daily,2015-07-25,all-access,all-agents,2097
en.wikipedia,Timbuktu,daily,2015-07-26,all-access,all-agents,2102
en.wikipedia,Timbuktu,daily,2015-07-27,all-access,all-agents,2073
