project,article,granularity,timestamp,access,agent,views
en.wikipedia,WALL-E,daily,2015-07-01,all-access,all-agents,2493
en.wikipedia,WALL-E,daily,2015-07-02,all-access,all-agents,2194
en.wikipedia,WALL-E,daily,2015-07-03,all-access,all-agents,2267
en.wikipedia,WALL-E,daily,2015-07-04,all-access,all-agents,2123
en.wikipedia,WALL-E,daily,2015-07-05,all-access,all-agents,2345
en.wikipedia,WALL-E,daily,2015-07-06,all-access,all-agents,2665
en.wikipedia,WALL-E,daily,2015-07-07,all-access,all-agents,2407
en.wikipedia,WALL-E,daily,2015-07-08,all-access,all-agents,2385
en.wikipedia,WALL-E,daily,2015-07-09,all-access,all-agents,2201
en.wikipedia,WALL-E,daily,2015-07-10,all-access,all-agents,2078
en.wikipedia,WALL-E,daily,2015-07-11,all-access,all-agents,2123
en.wikipedia,WALL-E,daily,2015-07-12,all-access,all-agents,2271
en.wikipedia,WALL-E,daily,2015-07-13,all-access,all-agents,2346
en.wikipedia,WALL-E,daily,2015-07-14,all-access,all-agents,2006
en.wikipedia,WALL-E,daily,2015-07-15,all-access,all-agents,1996
en.wikipedia,WALL-E,daily,2015-07-16,all-access,all-agents,1924
en.wikipedia,WALL-E,daily,2015-07-17,all-access,all-agents,1868
en.wikipedia,WALL-E,daily,2015-07-18,all-access,all-agents,2057
en.wikipedia,WALL-E,daily,2015-07-19,all-access,all-agents,2287
en.wikipedia,WALL-E,daily,2015-07-20,all-access,all-agents,2187
en.wikipedia,WALL-E,daily,2015-07-21,all-access,all-agents,2311
en.wikipedia,WALL-E,daily,2015-07-22,all-access,all-agents,2169
en.wikipedia,WALL-E,daily,2015-07-23,all-access,all-agents,2064
en.wikipedia,WALL-E,daily,2015-07-24,all-access,all-agents,2092
en.wikipedia,WALL-E,daily,2015-07-25,all-access,all-agents,2165
en.wikipedia,WALL-E,daily,2015-07-26,all-access,all-agents,2383
en.wikipedia,WALL-E,daily,2015-07-27,all-access,all-agents,2935
en.wikipedia,WALL-E,daily,2015-07-28,all-access,all-agents,2141
en.wikipedia,WALL-E,daily,2015-07-29,all-access,all-agents,2630
en.wikipedia,WALL-E,daily,2015-07-30,all-access,all-agents,2250
en.wikipedia,WALL-E,daily,2015-07-31,all-access,all-agents,1949
en.wikipedia,WALL-E,daily,2015-08-01,all-access,all-agents,1863
en.wikipedia,WALL-E,daily,2015-08-02,all-access,all-agents,2042
en.wikipedia,WALL-E,daily,2015-08-03,all-access,all-agents,1876
en.wikipedia,WALL-E,daily,2015-08-04,all-access,all-agents,2014
en.wikipedia,WALL-E,daily,2015-08-05,all-access,all-agents,1828
en.wikipedia,WALL-E,daily,2015-08-06,all-access,all-agents,1929
en.wikipedia,WALL-E,daily,2015-08-07,all-access,all-agents,2074
en.wikipedia,WALL-E,daily,2015-08-08,all-access,all-agents,1970
en.wikipedia,WALL-E,daily,2015-08-09,all-access,all-agents,2131
en.wikipedia,WALL-E,daily,2015-08-10,all-access,all-agents,1931
