project,article,granularity,timestamp,access,agent,views
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-01,all-access,all-agents,3254
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-02,all-access,all-agents,3147
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-03,all-access,all-agents,3263
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-04,all-access,all-agents,3615
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-05,all-access,all-agents,6292
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-06,all-access,all-agents,3688
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-07,all-access,all-agents,3404
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-08,all-access,all-agents,3370
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-09,all-access,all-agents,3043
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-10,all-access,all-agents,3011
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-11,all-access,all-agents,3360
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-12,all-access,all-agents,3821
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-13,all-access,all-agents,3462
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-14,all-access,all-agents,3055
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-15,all-access,all-agents,3013
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-16,all-access,all-agents,2925
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-17,all-access,all-agents,3015
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-18,all-access,all-agents,3183
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-19,all-access,all-agents,3529
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-20,all-access,all-agents,3042
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-21,all-access,all-agents,2952
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-22,all-access,all-agents,3026
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-23,all-access,all-agents,2805
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-24,all-access,all-agents,2846
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-25,all-access,all-agents,3527
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-26,all-access,all-agents,3778
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-27,all-access,all-agents,3463
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-28,all-access,all-agents,2951
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-29,all-access,all-agents,3061
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-30,all-access,all-agents,3277
en.wikipedia,Zero_Dark_Thirty,daily,2015-07-31,all-access,all-agents,2879
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-01,all-access,all-agents,3327
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-02,all-access,all-agents,3702
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-03,all-access,all-agents,3215
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-04,all-access,all-agents,6202
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-05,all-access,all-agents,3357
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-06,all-access,all-agents,3014
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-07,all-access,all-agents,3032
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-08,all-access,all-agents,3674
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-09,all-access,all-agents,4061
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-10,all-access,all-agents,3393
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-11,all-access,all-agents,3275
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-12,all-access,all-agents,3367
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-13,all-access,all-agents,3174
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-14,all-access,all-agents,3283
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-15,all-access,all-agents,4042
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-16,all-access,all-agents,28802
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-17,all-access,all-agents,11479
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-18,all-access,all-agents,5802
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-19,all-access,all-agents,4544
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-20,all-access,all-agents,7583
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-21,all-access,all-agents,4819
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-22,all-access,all-agents,4339
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-23,all-access,all-agents,4706
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-24,all-access,all-agents,4505
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-25,all-access,all-agents,4202
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-26,all-access,all-agents,3104
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-27,all-access,all-agents,2889
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-28,all-access,all-agents,3050
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-29,all-access,all-agents,3482
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-30,all-access,all-agents,4245
en.wikipedia,Zero_Dark_Thirty,daily,2015-08-31,all-access,all-agents,3886
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-01,all-access,all-agents,3515
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-02,all-access,all-agents,3221
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-03,all-access,all-agents,3179
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-04,all-access,all-agents,3820
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-05,all-access,all-agents,14957
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-06,all-access,all-agents,10218
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-07,all-access,all-agents,5350
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-08,all-access,all-agents,4081
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-09,all-access,all-agents,3744
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-10,all-access,all-agents,4479
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-11,all-access,all-agents,18886
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-12,all-access,all-agents,18021
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-13,all-access,all-agents,6693
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-14,all-access,all-agents,4619
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-15,all-access,all-agents,5998
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-16,all-access,all-agents,3457
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-17,all-access,all-agents,3305
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-18,all-access,all-agents,7518
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-19,all-access,all-agents,4203
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-20,all-access,all-agents,4185
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-21,all-access,all-agents,3392
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-22,all-access,all-agents,3164
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-23,all-access,all-agents,2798
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-24,all-access,all-agents,3115
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-25,all-access,all-agents,3255
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-26,all-access,all-agents,3387
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-27,all-access,all-agents,3804
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-28,all-access,all-agents,3359
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-29,all-access,all-agents,3411
en.wikipedia,Zero_Dark_Thirty,daily,2015-09-30,all-access,all-agents,2872
en.wikipedia,Zero_Dark_Thirty,daily,2015-10-01,all-access,all-agents,2755
en.wikipedia,Zero_Dark_Thirty,daily,2015-10-02,all-access,all-agents,3283
en.wikipedia,Zero_Dark_Thirty,daily,2015-10-03,all-access,all-agents,3723
en.wikipedia,Zero_Dark_Thirty,daily,2015-10-04,all-access,all-agents,4118
en.wikipedia,Zero_Dark_Thirty,daily,2015-10-05,all-access,all-agents,3566
en.wikipedia,Zero_Dark_Thirty,daily,2015-10-06,all-access,all-agents,3241
en.wikipedia,Zero_Dark_Thirty,daily,2015-10-07,all-access,all-agents,5441
en.wikipedia,Zero_Dark_Thirty,daily,2015-10-08,all-access,all-agents,3109
