project,article,granularity,timestamp,access,agent,views
en.wikipedia,Zodiac,daily,2015-07-01,all-access,all-agents,6986
en.wikipedia,Zodiac,daily,2015-07-02,all-access,all-agents,9170
en.wikipedia,Zodiac,daily,2015-07-03,all-access,all-agents,7302
en.wikipedia,Zodiac,daily,2015-07-04,all-access,all-agents,6618
en.wikipedia,Zodiac,daily,2015-07-05,all-access,all-agents,6860
en.wikipedia,Zodiac,daily,2015-07-06,all-access,all-agents,6925
en.wikipedia,Zodiac,daily,2015-07-07,all-access,all-agents,6807
en.wikipedia,Zodiac,daily,2015-07-08,all-access,all-agents,7064
en.wikipedia,Zodiac,daily,2015-07-09,all-access,all-agents,6708
en.wikipedia,Zodiac,daily,2015-07-10,all-access,all-agents,6410
en.wikipedia,Zodiac,daily,2015-07-11,all-access,all-agents,6500
en.wikipedia,Zodiac,daily,2015-07-12,all-access,all-agents,7123
en.wikipedia,Zodiac,daily,2015-07-13,all-access,all-agents,7962
en.wikipedia,Zodiac,daily,2015-07-14,all-access,all-agents,7471
en.wikipedia,Zodiac,daily,2015-07-15,all-access,all-agents,7387
en.wikipedia,Zodiac,daily,2015-07-16,all-access,all-agents,8165
en.wikipedia,Zodiac,daily,2015-07-17,all-access,all-agents,7365
en.wikipedia,Zodiac,daily,2015-07-18,all-access,all-agents,6530
en.wikipedia,Zodiac,daily,2015-07-19,all-access,all-agents,7403
en.wikipedia,Zodiac,daily,2015-07-20,all-access,all-agents,8307
en.wikipedia,Zodiac,daily,2015-07-21,all-access,all-agents,8961
en.wikipedia,Zodiac,daily,2015-07-22,all-access,all-agents,7648
en.wikipedia,Zodiac,daily,2015-07-23,all-access,all-agents,7513
en.wikipedia,Zodiac,daily,2015-07-24,all-access,all-agents,7343
en.wikipedia,Zodiac,daily,2015-07-25,all-access,all-agents,7365
en.wikipedia,Zodiac,daily,2015-07-26,all-access,all-agents,7270
en.wikipedia,Zodiac,daily,2015-07-27,all-access,all-agents,7113
en.wikipedia,Zodiac,daily,2015-07-28,all-access,all-agents,7663
en.wikipedia,Zodiac,daily,2015-07-29,all-access,all-agents,7416
en.wikipedia,Zodiac,daily,2015-07-30,all-access,all-agents,7027
en.wikipedia,Zodiac,daily,2015-07-31,all-access,all-agents,6645
en.wikipedia,Zodiac,daily,2015-08-01,all-access,all-agents,6525
en.wikipedia,Zodiac,daily,2015-08-02,all-access,all-agents,7090
en.wikipedia,Zodiac,daily,2015-08-03,all-access,all-agents,6922
en.wikipedia,Zodiac,daily,2015-08-04,all-access,all-agents,7108
en.wikipedia,Zodiac,daily,2015-08-05,all-access,all-agents,6966
en.wikipedia,Zodiac,daily,2015-08-06,all-access,all-agents,7320
en.wikipedia,Zodiac,daily,2015-08-07,all-access,all-agents,7198
en.wikipedia,Zodiac,daily,2015-08-08,all-access,all-agents,7122
en.wikipedia,Zodiac,daily,2015-08-09,all-access,all-agents,7044
en.wikipedia,Zodiac,daily,2015-08-10,all-access,all-agents,6338
en.wikipedia,Zodiac,daily,2015-08-11,all-access,all-agents,6469
en.wikipedia,Zodiac,daily,2015-08-12,all-access,all-agents,6797
en.wikipedia,Zodiac,daily,2015-08-13,all-access,all-agents,7014
en.wikipedia,Zodiac,daily,2015-08-14,all-access,all-agents,6552
en.wikipedia,Zodiac,daily,2015-08-15,all-access,all-agents,6936
en.wikipedia,Zodiac,daily,2015-08-16,all-access,all-agents,7185
en.wikipedia,Zodiac,daily,2015-08-17,all-access,all-agents,7033
en.wikipedia,Zodiac,daily,2015-08-18,all-access,all-agents,7037
en.wikipedia,Zodiac,daily,2015-08-19,all-access,all-agents,6945
en.wikipedia,Zodiac,daily,2015-08-20,all-access,all-agents,6950
en.wikipedia,Zodiac,daily,2015-08-21,all-access,all-agents,7013
en.wikipedia,Zodiac,daily,2015-08-22,all-access,all-agents,6929
en.wikipedia,Zodiac,daily,2015-08-23,all-access,all-agents,7401
en.wikipedia,Zodiac,daily,2015-08-24,all-access,all-agents,7470
en.wikipedia,Zodiac,daily,2015-08-25,all-access,all-agents,7043
en.wikipedia,Zodiac,daily,2015-08-26,all-access,all-agents,6921
en.wikipedia,Zodiac,daily,2015-08-27,all-access,all-agents,6816
en.wikipedia,Zodiac,daily,2015-08-28,all-access,all-agents,6704
en.wikipedia,Zodiac,daily,2015-08-29,all-access,all-agents,6451
en.wikipedia,Zodiac,daily,2015-08-30,all-access,all-agents,7011
en.wikipedia,Zodiac,daily,2015-08-31,all-access,all-agents,6931
en.wikipedia,Zodiac,daily,2015-09-01,all-access,all-agents,6965
en.wikipedia,Zodiac,daily,2015-09-02,all-access,all-agents,6933
en.wikipedia,Zodiac,daily,2015-09-03,all-access,all-agents,7026
en.wikipedia,Zodiac,daily,2015-09-04,all-access,all-agents,6893
en.wikipedia,Zodiac,daily,2015-09-05,all-access,all-agents,6856
en.wikipedia,Zodiac,daily,2015-09-06,all-access,all-agents,7056
en.wikipedia,Zodiac,daily,2015-09-07,all-access,all-agents,7200
en.wikipedia,Zodiac,daily,2015-09-08,all-access,all-agents,6661
en.wikipedia,Zodiac,daily,2015-09-09,all-access,all-agents,6558
en.wikipedia,Zodiac,daily,2015-09-10,all-access,all-agents,7015
en.wikipedia,Zodiac,daily,2015-09-11,all-access,all-agents,6418
en.wikipedia,Zodiac,daily,2015-09-12,all-access,all-agents,6394
en.wikipedia,Zodiac,daily,2015-09-13,all-access,all-agents,6730
en.wikipedia,Zodiac,daily,2015-09-14,all-access,all-agents,7094
en.wikipedia,Zodiac,daily,2015-09-15,all-access,all-agents,7018
en.wikipedia,Zodiac,daily,2015-09-16,all-access,all-agents,6869
en.wikipedia,Zodiac,daily,2015-09-17,all-access,all-agents,6899
en.wikipedia,Zodiac,daily,2015-09-18,all-access,all-agents,6635
en.wikipedia,Zodiac,daily,2015-09-19,all-access,all-agents,6032
