No.,Title,Director,Country,Year
1,Mulholland Drive,David Lynch,"United States, France",2001
2,In the Mood for Love,Wong Kar-wai,"Hong Kong, France",2000
3,There Will Be Blood,Paul Thomas Anderson,United States,2007
4,Spirited Away,Hayao Miyazaki,Japan,2001
5,Boyhood,Richard Linklater,United States,2014
6,Eternal Sunshine of the Spotless Mind,Michel Gondry,United States,2004
7,The Tree of Life,Terrence Malick,United States,2011
8,Yi Yi,Edward Yang,"Taiwan, Japan",2000
9,A Separation,Asghar Farhadi,Iran,2011
10,No Country for Old Men,Joel Coen and Ethan Coen,United States,2007
11,Inside Llewyn Davis,Joel Coen and Ethan Coen,"United States, France",2013
12,Zodiac,David Fincher,United States,2007
13,Children of Men,Alfonso Cuarón,"United Kingdom, United States",2006
14,The Act of Killing,Joshua Oppenheimer,"Norway, Denmark, United Kingdom",2012
15,"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,Romania,2007
16,Holy Motors,Leos Carax,"France, Germany",2012
17,Pan's Labyrinth,Guillermo del Toro,"Spain, Mexico",2006
18,The White Ribbon,Michael Haneke,"France, Austria, Germany, Italy",2009
19,Mad Max: Fury Road,George Miller,Australia,2015
20,"Synecdoche, New York",Charlie Kaufman,United States,2008
21,The Grand Budapest Hotel,Wes Anderson,United States,2014
22,Lost in Translation,Sofia Coppola,United States,2003
23,Caché,Michael Haneke,"France, Austria, Germany, Italy",2005
24,The Master,Paul Thomas Anderson,United States,2012
25,Memento,Christopher Nolan,United States,2001
26,25th Hour,Spike Lee,United States,2002
27,The Social Network,David Fincher,United States,2010
28,Talk to Her,Pedro Almodóvar,Spain,2002
29,WALL-E,Andrew Stanton,United States,2008
30,Oldboy,Park Chan-wook,South Korea,2003
31,Margaret,Kenneth Lonergan,United States,2011
32,The Lives of Others,Florian Henckel von Donnersmarck,Germany,2006
33,The Dark Knight,Christopher Nolan,United States,2008
34,Son of Saul,László Nemes,Hungary,2015
35,"Crouching Tiger, Hidden Dragon",Ang Lee,"Taiwan, China, Hong Kong, United States",2000
36,Timbuktu,Abderrahmane Sissako,"Mauritania, France",2014
37,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,Thailand,2010
