project,article,granularity,timestamp,access,agent,views
en.wikipedia,7_Rings,daily,2019-01-01,all-access,all-agents,1
en.wikipedia,7_Rings,daily,2019-01-02,all-access,all-agents,1
en.wikipedia,7_Rings,daily,2019-01-03,all-access,all-agents,3
en.wikipedia,7_Rings,daily,2019-01-04,all-access,all-agents,8
en.wikipedia,7_Rings,daily,2019-01-05,all-access,all-agents,2
en.wikipedia,7_Rings,daily,2019-01-06,all-access,all-agents,3
en.wikipedia,7_Rings,daily,2019-01-07,all-access,all-agents,2
en.wikipedia,7_Rings,daily,2019-01-08,all-access,all-agents,5
en.wikipedia,7_Rings,daily,2019-01-09,all-access,all-agents,8
en.wikipedia,7_Rings,daily,2019-01-10,all-access,all-agents,871
en.wikipedia,7_Rings,daily,2019-01-11,all-access,all-agents,2698
en.wikipedia,7_Rings,daily,2019-01-12,all-access,all-agents,2064
en.wikipedia,7_Rings,daily,2019-01-13,all-access,all-agents,1990
en.wikipedia,7_Rings,daily,2019-01-14,all-access,all-agents,2238
en.wikipedia,7_Rings,daily,2019-01-15,all-access,all-agents,2260
en.wikipedia,7_Rings,daily,2019-01-16,all-access,all-agents,1823
en.wikipedia,7_Rings,daily,2019-01-17,all-access,all-agents,2774
en.wikipedia,7_Rings,daily,2019-01-18,all-access,all-agents,27675
en.wikipedia,7_Rings,daily,2019-01-19,all-access,all-agents,23891
en.wikipedia,7_Rings,daily,2019-01-20,all-access,all-agents,15697
en.wikipedia,7_Rings,daily,2019-01-21,all-access,all-agents,12165
en.wikipedia,7_Rings,daily,2019-01-22,all-access,all-agents,10400
en.wikipedia,7_Rings,daily,2019-01-23,all-access,all-agents,11421
en.wikipedia,7_Rings,daily,2019-01-24,all-access,all-agents,9209
en.wikipedia,7_Rings,daily,2019-01-25,all-access,all-agents,11247
en.wikipedia,7_Rings,daily,2019-01-26,all-access,all-agents,10584
en.wikipedia,7_Rings,daily,2019-01-27,all-access,all-agents,9217
en.wikipedia,7_Rings,daily,2019-01-28,all-access,all-agents,12349
en.wikipedia,7_Rings,daily,2019-01-29,all-access,all-agents,10537
en.wikipedia,7_Rings,daily,2019-01-30,all-access,all-agents,9296
en.wikipedia,7_Rings,daily,2019-01-31,all-access,all-agents,9267
en.wikipedia,7_Rings,daily,2019-02-01,all-access,all-agents,10840
en.wikipedia,7_Rings,daily,2019-02-02,all-access,all-agents,9202
en.wikipedia,7_Rings,daily,2019-02-03,all-access,all-agents,8381
en.wikipedia,7_Rings,daily,2019-02-04,all-access,all-agents,7433
en.wikipedia,7_Rings,daily,2019-02-05,all-access,all-agents,6828
en.wikipedia,7_Rings,daily,2019-02-06,all-access,all-agents,7399
en.wikipedia,7_Rings,daily,2019-02-07,all-access,all-agents,8837
en.wikipedia,7_Rings,daily,2019-02-08,all-access,all-agents,17670
en.wikipedia,7_Rings,daily,2019-02-09,all-access,all-agents,14034
en.wikipedia,7_Rings,daily,2019-02-10,all-access,all-agents,11004
en.wikipedia,7_Rings,daily,2019-02-11,all-access,all-agents,10506
en.wikipedia,7_Rings,daily,2019-02-12,all-access,all-agents,7911
en.wikipedia,7_Rings,daily,2019-02-13,all-access,all-agents,7531
en.wikipedia,7_Rings,daily,2019-02-14,all-access,all-agents,6671
en.wikipedia,7_Rings,daily,2019-02-15,all-access,all-agents,7390
en.wikipedia,7_Rings,daily,2019-02-16,all-access,all-agents,7240
en.wikipedia,7_Rings,daily,2019-02-17,all-access,all-agents,6399
en.wikipedia,7_Rings,daily,2019-02-18,all-access,all-agents,6331
en.wikipedia,7_Rings,daily,2019-02-19,all-access,all-agents,6689
en.wikipedia,7_Rings,daily,2019-02-20,all-access,all-agents,6957
en.wikipedia,7_Rings,daily,2019-02-21,all-access,all-agents,5764
en.wikipedia,7_Rings,daily,2019-02-22,all-access,all-agents,5406
en.wikipedia,7_Rings,daily,2019-02-23,all-access,all-agents,5246
en.wikipedia,7_Rings,daily,2019-02-24,all-access,all-agents,4923
en.wikipedia,7_Rings,daily,2019-02-25,all-access,all-agents,4353
en.wikipedia,7_Rings,daily,2019-02-26,all-access,all-agents,4398
en.wikipedia,7_Rings,daily,2019-02-27,all-access,all-agents,4109
en.wikipedia,7_Rings,daily,2019-02-28,all-access,all-agents,3694
en.wikipedia,7_Rings,daily,2019-03-01,all-access,all-agents,4079
en.wikipedia,7_Rings,daily,2019-03-02,all-access,all-agents,4896
en.wikipedia,7_Rings,daily,2019-03-03,all-access,all-agents,4197
en.wikipedia,7_Rings,daily,2019-03-04,all-access,all-agents,3832
en.wikipedia,7_Rings,daily,2019-03-05,all-access,all-agents,3599
en.wikipedia,7_Rings,daily,2019-03-06,all-access,all-agents,3432
en.wikipedia,7_Rings,daily,2019-03-07,all-access,all-agents,3311
en.wikipedia,7_Rings,daily,2019-03-08,all-access,all-agents,3629
en.wikipedia,7_Rings,daily,2019-03-09,all-access,all-agents,3954
en.wikipedia,7_Rings,daily,2019-03-10,all-access,all-agents,3940
en.wikipedia,7_Rings,daily,2019-03-11,all-access,all-agents,3994
en.wikipedia,7_Rings,daily,2019-03-12,all-access,all-agents,3595
en.wikipedia,7_Rings,daily,2019-03-13,all-access,all-agents,3366
en.wikipedia,7_Rings,daily,2019-03-14,all-access,all-agents,3312
en.wikipedia,7_Rings,daily,2019-03-15,all-access,all-agents,3573
en.wikipedia,7_Rings,daily,2019-03-16,all-access,all-agents,3582
en.wikipedia,7_Rings,daily,2019-03-17,all-access,all-agents,3671
en.wikipedia,7_Rings,daily,2019-03-18,all-access,all-agents,3647
en.wikipedia,7_Rings,daily,2019-03-19,all-access,all-agents,4354
en.wikipedia,7_Rings,daily,2019-03-20,all-access,all-agents,5009
