project,article,granularity,timestamp,access,agent,views
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-01,all-access,all-agents,198
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-02,all-access,all-agents,266
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-03,all-access,all-agents,202
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-04,all-access,all-agents,266
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-05,all-access,all-agents,262
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-06,all-access,all-agents,212
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-07,all-access,all-agents,252
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-08,all-access,all-agents,193
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-09,all-access,all-agents,212
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-10,all-access,all-agents,230
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-11,all-access,all-agents,206
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-12,all-access,all-agents,239
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-13,all-access,all-agents,243
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-14,all-access,all-agents,236
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-15,all-access,all-agents,205
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-16,all-access,all-agents,212
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-17,all-access,all-agents,236
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-18,all-access,all-agents,275
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-19,all-access,all-agents,253
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-20,all-access,all-agents,235
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-21,all-access,all-agents,215
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-22,all-access,all-agents,217
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-23,all-access,all-agents,205
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-24,all-access,all-agents,188
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-25,all-access,all-agents,257
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-26,all-access,all-agents,242
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-27,all-access,all-agents,235
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-28,all-access,all-agents,240
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-29,all-access,all-agents,247
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-30,all-access,all-agents,233
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-07-31,all-access,all-agents,306
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-08-01,all-access,all-agents,275
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-08-02,all-access,all-agents,212
en.wikipedia,All_I_Want_for_Christmas_Is_You,daily,2015-08-03,all-access,all-agents,234
