project,article,granularity,timestamp,access,agent,views
en.wikipedia,Blurred_Lines,daily,2015-07-01,all-access,all-agents,1657
en.wikipedia,Blurred_Lines,daily,2015-07-02,all-access,all-agents,2013
en.wikipedia,Blurred_Lines,daily,2015-07-03,all-access,all-agents,2130
en.wikipedia,Blurred_Lines,daily,2015-07-04,all-access,all-agents,1749
en.wikipedia,Blurred_Lines,daily,2015-07-05,all-access,all-agents,1642
en.wikipedia,Blurred_Lines,daily,2015-07-06,all-access,all-agents,1589
en.wikipedia,Blurred_Lines,daily,2015-07-07,all-access,all-agents,1481
en.wikipedia,Blurred_Lines,daily,2015-07-08,all-access,all-agents,1462
en.wikipedia,Blurred_Lines,daily,2015-07-09,all-access,all-agents,1533
en.wikipedia,Blurred_Lines,daily,2015-07-10,all-access,all-agents,1566
en.wikipedia,Blurred_Lines,daily,2015-07-11,all-access,all-agents,1659
en.wikipedia,Blurred_Lines,daily,2015-07-12,all-access,all-agents,1542
en.wikipedia,Blurred_Lines,daily,2015-07-13,all-access,all-agents,1539
en.wikipedia,Blurred_Lines,daily,2015-07-14,all-access,all-agents,1613
en.wikipedia,Blurred_Lines,daily,2015-07-15,all-access,all-agents,2338
en.wikipedia,Blurred_Lines,daily,2015-07-16,all-access,all-agents,2737
en.wikipedia,Blurred_Lines,daily,2015-07-17,all-access,all-agents,1693
en.wikipedia,Blurred_Lines,daily,2015-07-18,all-access,all-agents,1562
en.wikipedia,Blurred_Lines,daily,2015-07-19,all-access,all-agents,1592
en.wikipedia,Blurred_Lines,daily,2015-07-20,all-access,all-agents,1541
en.wikipedia,Blurred_Lines,daily,2015-07-21,all-access,all-agents,1511
en.wikipedia,Blurred_Lines,daily,2015-07-22,all-access,all-agents,1504
en.wikipedia,Blurred_Lines,daily,2015-07-23,all-access,all-agents,1415
en.wikipedia,Blurred_Lines,daily,2015-07-24,all-access,all-agents,1530
en.wikipedia,Blurred_Lines,daily,2015-07-25,all-access,all-agents,1581
en.wikipedia,Blurred_Lines,daily,2015-07-26,all-access,all-agents,1612
en.wikipedia,Blurred_Lines,daily,2015-07-27,all-access,all-agents,1448
en.wikipedia,Blurred_Lines,daily,2015-07-28,all-access,all-agents,1418
en.wikipedia,Blurred_Lines,daily,2015-07-29,all-access,all-agents,1491
en.wikipedia,Blurred_Lines,daily,2015-07-30,all-access,all-agents,1369
en.wikipedia,Blurred_Lines,daily,2015-07-31,all-access,all-agents,1448
en.wikipedia,Blurred_Lines,daily,2015-08-01,all-access,all-agents,1518
en.wikipedia,Blurred_Lines,daily,2015-08-02,all-access,all-agents,1779
en.wikipedia,Blurred_Lines,daily,2015-08-03,all-access,all-agents,1515
en.wikipedia,Blurred_Lines,daily,2015-08-04,all-access,all-agents,1745
en.wikipedia,Blurred_Lines,daily,2015-08-05,all-access,all-agents,1657
en.wikipedia,Blurred_Lines,daily,2015-08-06,all-access,all-agents,1802
en.wikipedia,Blurred_Lines,daily,2015-08-07,all-access,all-agents,1457
en.wikipedia,Blurred_Lines,daily,2015-08-08,all-access,all-agents,1555
en.wikipedia,Blurred_Lines,daily,2015-08-09,all-access,all-agents,1585
en.wikipedia,Blurred_Lines,daily,2015-08-10,all-access,all-agents,1382
en.wikipedia,Blurred_Lines,daily,2015-08-11,all-access,all-agents,1531
en.wikipedia,Blurred_Lines,daily,2015-08-12,all-access,all-agents,1782
en.wikipedia,Blurred_Lines,daily,2015-08-13,all-access,all-agents,1579
en.wikipedia,Blurred_Lines,daily,2015-08-14,all-access,all-agents,1839
en.wikipedia,Blurred_Lines,daily,2015-08-15,all-access,all-agents,2119
en.wikipedia,Blurred_Lines,daily,2015-08-16,all-access,all-agents,1948
en.wikipedia,Blurred_Lines,daily,2015-08-17,all-access,all-agents,1877
en.wikipedia,Blurred_Lines,daily,2015-08-18,all-access,all-agents,2126
en.wikipedia,Blurred_Lines,daily,2015-08-19,all-access,all-agents,1847
en.wikipedia,Blurred_Lines,daily,2015-08-20,all-access,all-agents,1797
en.wikipedia,Blurred_Lines,daily,2015-08-21,all-access,all-agents,1937
en.wikipedia,Blurred_Lines,daily,2015-08-22,all-access,all-agents,1830
en.wikipedia,Blurred_Lines,daily,2015-08-23,all-access,all-agents,2018
en.wikipedia,Blurred_Lines,daily,2015-08-24,all-access,all-agents,1768
en.wikipedia,Blurred_Lines,daily,2015-08-25,all-access,all-agents,1590
en.wikipedia,Blurred_Lines,daily,2015-08-26,all-access,all-agents,1692
en.wikipedia,Blurred_Lines,daily,2015-08-27,all-access,all-agents,1759
en.wikipedia,Blurred_Lines,daily,2015-08-28,all-access,all-agents,1850
en.wikipedia,Blurred_Lines,daily,2015-08-29,all-access,all-agents,1875
en.wikipedia,Blurred_Lines,daily,2015-08-30,all-access,all-agents,1862
en.wikipedia,Blurred_Lines,daily,2015-08-31,all-access,all-agents,2591
en.wikipedia,Blurred_Lines,daily,2015-09-01,all-access,all-agents,1838
en.wikipedia,Blurred_Lines,daily,2015-09-02,all-access,all-agents,1647
en.wikipedia,Blurred_Lines,daily,2015-09-03,all-access,all-agents,1584
en.wikipedia,Blurred_Lines,daily,2015-09-04,all-access,all-agents,2576
en.wikipedia,Blurred_Lines,daily,2015-09-05,all-access,all-agents,5761
en.wikipedia,Blurred_Lines,daily,2015-09-06,all-access,all-agents,3503
en.wikipedia,Blurred_Lines,daily,2015-09-07,all-access,all-agents,2307
en.wikipedia,Blurred_Lines,daily,2015-09-08,all-access,all-agents,1847
en.wikipedia,Blurred_Lines,daily,2015-09-09,all-access,all-agents,1500
en.wikipedia,Blurred_Lines,daily,2015-09-10,all-access,all-agents,1596
en.wikipedia,Blurred_Lines,daily,2015-09-11,all-access,all-agents,1522
en.wikipedia,Blurred_Lines,daily,2015-09-12,all-access,all-agents,1496
en.wikipedia,Blurred_Lines,daily,2015-09-13,all-access,all-agents,1475
en.wikipedia,Blurred_Lines,daily,2015-09-14,all-access,all-agents,1465
en.wikipedia,Blurred_Lines,daily,2015-09-15,all-access,all-agents,1215
en.wikipedia,Blurred_Lines,daily,2015-09-16,all-access,all-agents,1156
en.wikipedia,Blurred_Lines,daily,2015-09-17,all-access,all-agents,1270
en.wikipedia,Blurred_Lines,daily,2015-09-18,all-access,all-agents,1380
en.wikipedia,Blurred_Lines,daily,2015-09-19,all-access,all-agents,1393
en.wikipedia,Blurred_Lines,daily,2015-09-20,all-access,all-agents,1425
en.wikipedia,Blurred_Lines,daily,2015-09-21,all-access,all-agents,1183
en.wikipedia,Blurred_Lines,daily,2015-09-22,all-access,all-agents,1312
en.wikipedia,Blurred_Lines,daily,2015-09-23,all-access,all-agents,1492
en.wikipedia,Blurred_Lines,daily,2015-09-24,all-access,all-agents,1501
en.wikipedia,Blurred_Lines,daily,2015-09-25,all-access,all-agents,1387
en.wikipedia,Blurred_Lines,daily,2015-09-26,all-access,all-agents,1338
en.wikipedia,Blurred_Lines,daily,2015-09-27,all-access,all-agents,1545
en.wikipedia,Blurred_Lines,daily,2015-09-28,all-access,all-agents,1348
en.wikipedia,Blurred_Lines,daily,2015-09-29,all-access,all-agents,1266
en.wikipedia,Blurred_Lines,daily,2015-09-30,all-access,all-agents,1333
en.wikipedia,Blurred_Lines,daily,2015-10-01,all-access,all-agents,1233
en.wikipedia,Blurred_Lines,daily,2015-10-02,all-access,all-agents,1264
en.wikipedia,Blurred_Lines,daily,2015-10-03,all-access,all-agents,1416
en.wikipedia,Blurred_Lines,daily,2015-10-04,all-access,all-agents,1518
en.wikipedia,Blurred_Lines,daily,2015-10-05,all-access,all-agents,1281
en.wikipedia,Blurred_Lines,daily,2015-10-06,all-access,all-agents,1355
en.wikipedia,Blurred_Lines,daily,2015-10-07,all-access,all-agents,1217
en.wikipedia,Blurred_Lines,daily,2015-10-08,all-access,all-agents,1177
en.wikipedia,Blurred_Lines,daily,2015-10-09,all-access,all-agents,1168
en.wikipedia,Blurred_Lines,daily,2015-10-10,all-access,all-agents,1211
en.wikipedia,Blurred_Lines,daily,2015-10-11,all-access,all-agents,1327
en.wikipedia,Blurred_Lines,daily,2015-10-12,all-access,all-agents,1132
en.wikipedia,Blurred_Lines,daily,2015-10-13,all-access,all-agents,1272
en.wikipedia,Blurred_Lines,daily,2015-10-14,all-access,all-agents,1272
en.wikipedia,Blurred_Lines,daily,2015-10-15,all-access,all-agents,1819
en.wikipedia,Blurred_Lines,daily,2015-10-16,all-access,all-agents,1290
en.wikipedia,Blurred_Lines,daily,2015-10-17,all-access,all-agents,1285
