project,article,granularity,timestamp,access,agent,views
en.wikipedia,Call_Me_Maybe,daily,2015-07-01,all-access,all-agents,854
en.wikipedia,Call_Me_Maybe,daily,2015-07-02,all-access,all-agents,749
en.wikipedia,Call_Me_Maybe,daily,2015-07-03,all-access,all-agents,748
en.wikipedia,Call_Me_Maybe,daily,2015-07-04,all-access,all-agents,779
en.wikipedia,Call_Me_Maybe,daily,2015-07-05,all-access,all-agents,800
en.wikipedia,Call_Me_Maybe,daily,2015-07-06,all-access,all-agents,758
en.wikipedia,Call_Me_Maybe,daily,2015-07-07,all-access,all-agents,775
en.wikipedia,Call_Me_Maybe,daily,2015-07-08,all-access,all-agents,852
en.wikipedia,Call_Me_Maybe,daily,2015-07-09,all-access,all-agents,769
en.wikipedia,Call_Me_Maybe,daily,2015-07-10,all-access,all-agents,724
en.wikipedia,Call_Me_Maybe,daily,2015-07-11,all-access,all-agents,714
en.wikipedia,Call_Me_Maybe,daily,2015-07-12,all-access,all-agents,839
en.wikipedia,Call_Me_Maybe,daily,2015-07-13,all-access,all-agents,744
en.wikipedia,Call_Me_Maybe,daily,2015-07-14,all-access,all-agents,790
en.wikipedia,Call_Me_Maybe,daily,2015-07-15,all-access,all-agents,758
en.wikipedia,Call_Me_Maybe,daily,2015-07-16,all-access,all-agents,746
en.wikipedia,Call_Me_Maybe,daily,2015-07-17,all-access,all-agents,777
en.wikipedia,Call_Me_Maybe,daily,2015-07-18,all-access,all-agents,846
en.wikipedia,Call_Me_Maybe,daily,2015-07-19,all-access,all-agents,792
en.wikipedia,Call_Me_Maybe,daily,2015-07-20,all-access,all-agents,757
en.wikipedia,Call_Me_Maybe,daily,2015-07-21,all-access,all-agents,768
en.wikipedia,Call_Me_Maybe,daily,2015-07-22,all-access,all-agents,715
en.wikipedia,Call_Me_Maybe,daily,2015-07-23,all-access,all-agents,778
en.wikipedia,Call_Me_Maybe,daily,2015-07-24,all-access,all-agents,773
en.wikipedia,Call_Me_Maybe,daily,2015-07-25,all-access,all-agents,1301
en.wikipedia,Call_Me_Maybe,daily,2015-07-26,all-access,all-agents,769
en.wikipedia,Call_Me_Maybe,daily,2015-07-27,all-access,all-agents,775
en.wikipedia,Call_Me_Maybe,daily,2015-07-28,all-access,all-agents,735
en.wikipedia,Call_Me_Maybe,daily,2015-07-29,all-access,all-agents,782
en.wikipedia,Call_Me_Maybe,daily,2015-07-30,all-access,all-agents,726
en.wikipedia,Call_Me_Maybe,daily,2015-07-31,all-access,all-agents,947
en.wikipedia,Call_Me_Maybe,daily,2015-08-01,all-access,all-agents,894
en.wikipedia,Call_Me_Maybe,daily,2015-08-02,all-access,all-agents,871
en.wikipedia,Call_Me_Maybe,daily,2015-08-03,all-access,all-agents,797
en.wikipedia,Call_Me_Maybe,daily,2015-08-04,all-access,all-agents,741
en.wikipedia,Call_Me_Maybe,daily,2015-08-05,all-access,all-agents,632
en.wikipedia,Call_Me_Maybe,daily,2015-08-06,all-access,all-agents,738
en.wikipedia,Call_Me_Maybe,daily,2015-08-07,all-access,all-agents,783
en.wikipedia,Call_Me_Maybe,daily,2015-08-08,all-access,all-agents,756
en.wikipedia,Call_Me_Maybe,daily,2015-08-09,all-access,all-agents,767
en.wikipedia,Call_Me_Maybe,daily,2015-08-10,all-access,all-agents,681
en.wikipedia,Call_Me_Maybe,daily,2015-08-11,all-access,all-agents,713
en.wikipedia,Call_Me_Maybe,daily,2015-08-12,all-access,all-agents,737
en.wikipedia,Call_Me_Maybe,daily,2015-08-13,all-access,all-agents,656
en.wikipedia,Call_Me_Maybe,daily,2015-08-14,all-access,all-agents,766
en.wikipedia,Call_Me_Maybe,daily,2015-08-15,all-access,all-agents,810
en.wikipedia,Call_Me_Maybe,daily,2015-08-16,all-access,all-agents,810
en.wikipedia,Call_Me_Maybe,daily,2015-08-17,all-access,all-agents,786
en.wikipedia,Call_Me_Maybe,daily,2015-08-18,all-access,all-agents,845
en.wikipedia,Call_Me_Maybe,daily,2015-08-19,all-access,all-agents,766
en.wikipedia,Call_Me_Maybe,daily,2015-08-20,all-access,all-agents,913
