project,article,granularity,timestamp,access,agent,views
en.wikipedia,Dance_Monkey,daily,2019-05-18,all-access,all-agents,19
en.wikipedia,Dance_Monkey,daily,2019-05-19,all-access,all-agents,42
en.wikipedia,Dance_Monkey,daily,2019-05-20,all-access,all-agents,28
en.wikipedia,Dance_Monkey,daily,2019-05-21,all-access,all-agents,22
en.wikipedia,Dance_Monkey,daily,2019-05-22,all-access,all-agents,21
en.wikipedia,Dance_Monkey,daily,2019-05-23,all-access,all-agents,29
en.wikipedia,Dance_Monkey,daily,2019-05-24,all-access,all-agents,33
en.wikipedia,Dance_Monkey,daily,2019-05-25,all-access,all-agents,35
en.wikipedia,Dance_Monkey,daily,2019-05-26,all-access,all-agents,23
en.wikipedia,Dance_Monkey,daily,2019-05-27,all-access,all-agents,23
en.wikipedia,Dance_Monkey,daily,2019-05-28,all-access,all-agents,34
en.wikipedia,Dance_Monkey,daily,2019-05-29,all-access,all-agents,37
en.wikipedia,Dance_Monkey,daily,2019-05-30,all-access,all-agents,28
en.wikipedia,Dance_Monkey,daily,2019-05-31,all-access,all-agents,28
en.wikipedia,Dance_Monkey,daily,2019-06-01,all-access,all-agents,31
en.wikipedia,Dance_Monkey,daily,2019-06-02,all-access,all-agents,27
en.wikipedia,Dance_Monkey,daily,2019-06-03,all-access,all-agents,18
en.wikipedia,Dance_Monkey,daily,2019-06-04,all-access,all-agents,17
en.wikipedia,Dance_Monkey,daily,2019-06-05,all-access,all-agents,25
en.wikipedia,Dance_Monkey,daily,2019-06-06,all-access,all-agents,34
en.wikipedia,Dance_Monkey,daily,2019-06-07,all-access,all-agents,41
en.wikipedia,Dance_Monkey,daily,2019-06-08,all-access,all-agents,42
en.wikipedia,Dance_Monkey,daily,2019-06-09,all-access,all-agents,42
en.wikipedia,Dance_Monkey,daily,2019-06-10,all-access,all-agents,47
en.wikipedia,Dance_Monkey,daily,2019-06-11,all-access,all-agents,49
en.wikipedia,Dance_Monkey,daily,2019-06-12,all-access,all-agents,58
en.wikipedia,Dance_Monkey,daily,2019-06-13,all-access,all-agents,45
en.wikipedia,Dance_Monkey,daily,2019-06-14,all-access,all-agents,54
en.wikipedia,Dance_Monkey,daily,2019-06-15,all-access,all-agents,81
en.wikipedia,Dance_Monkey,daily,2019-06-16,all-access,all-agents,67
en.wikipedia,Dance_Monkey,daily,2019-06-17,all-access,all-agents,68
en.wikipedia,Dance_Monkey,daily,2019-06-18,all-access,all-agents,53
en.wikipedia,Dance_Monkey,daily,2019-06-19,all-access,all-agents,55
en.wikipedia,Dance_Monkey,daily,2019-06-20,all-access,all-agents,72
en.wikipedia,Dance_Monkey,daily,2019-06-21,all-access,all-agents,73
en.wikipedia,Dance_Monkey,daily,2019-06-22,all-access,all-agents,77
en.wikipedia,Dance_Monkey,daily,2019-06-23,all-access,all-agents,65
en.wikipedia,Dance_Monkey,daily,2019-06-24,all-access,all-agents,54
en.wikipedia,Dance_Monkey,daily,2019-06-25,all-access,all-agents,62
en.wikipedia,Dance_Monkey,daily,2019-06-26,all-access,all-agents,55
en.wikipedia,Dance_Monkey,daily,2019-06-27,all-access,all-agents,56
en.wikipedia,Dance_Monkey,daily,2019-06-28,all-access,all-agents,81
en.wikipedia,Dance_Monkey,daily,2019-06-29,all-access,all-agents,107
en.wikipedia,Dance_Monkey,daily,2019-06-30,all-access,all-agents,98
en.wikipedia,Dance_Monkey,daily,2019-07-01,all-access,all-agents,65
en.wikipedia,Dance_Monkey,daily,2019-07-02,all-access,all-agents,95
en.wikipedia,Dance_Monkey,daily,2019-07-03,all-access,all-agents,95
en.wikipedia,Dance_Monkey,daily,2019-07-04,all-access,all-agents,107
en.wikipedia,Dance_Monkey,daily,2019-07-05,all-access,all-agents,128
en.wikipedia,Dance_Monkey,daily,2019-07-06,all-access,all-agents,140
en.wikipedia,Dance_Monkey,daily,2019-07-07,all-access,all-agents,115
en.wikipedia,Dance_Monkey,daily,2019-07-08,all-access,all-agents,94
en.wikipedia,Dance_Monkey,daily,2019-07-09,all-access,all-agents,110
en.wikipedia,Dance_Monkey,daily,2019-07-10,all-access,all-agents,95
en.wikipedia,Dance_Monkey,daily,2019-07-11,all-access,all-agents,109
en.wikipedia,Dance_Monkey,daily,2019-07-12,all-access,all-agents,160
en.wikipedia,Dance_Monkey,daily,2019-07-13,all-access,all-agents,168
en.wikipedia,Dance_Monkey,daily,2019-07-14,all-access,all-agents,149
en.wikipedia,Dance_Monkey,daily,2019-07-15,all-access,all-agents,140
en.wikipedia,Dance_Monkey,daily,2019-07-16,all-access,all-agents,192
en.wikipedia,Dance_Monkey,daily,2019-07-17,all-access,all-agents,168
en.wikipedia,Dance_Monkey,daily,2019-07-18,all-access,all-agents,180
en.wikipedia,Dance_Monkey,daily,2019-07-19,all-access,all-agents,354
en.wikipedia,Dance_Monkey,daily,2019-07-20,all-access,all-agents,398
en.wikipedia,Dance_Monkey,daily,2019-07-21,all-access,all-agents,313
en.wikipedia,Dance_Monkey,daily,2019-07-22,all-access,all-agents,354
en.wikipedia,Dance_Monkey,daily,2019-07-23,all-access,all-agents,386
en.wikipedia,Dance_Monkey,daily,2019-07-24,all-access,all-agents,364
en.wikipedia,Dance_Monkey,daily,2019-07-25,all-access,all-agents,391
en.wikipedia,Dance_Monkey,daily,2019-07-26,all-access,all-agents,421
en.wikipedia,Dance_Monkey,daily,2019-07-27,all-access,all-agents,593
en.wikipedia,Dance_Monkey,daily,2019-07-28,all-access,all-agents,519
en.wikipedia,Dance_Monkey,daily,2019-07-29,all-access,all-agents,571
en.wikipedia,Dance_Monkey,daily,2019-07-30,all-access,all-agents,518
en.wikipedia,Dance_Monkey,daily,2019-07-31,all-access,all-agents,530
en.wikipedia,Dance_Monkey,daily,2019-08-01,all-access,all-agents,540
en.wikipedia,Dance_Monkey,daily,2019-08-02,all-access,all-agents,675
en.wikipedia,Dance_Monkey,daily,2019-08-03,all-access,all-agents,942
en.wikipedia,Dance_Monkey,daily,2019-08-04,all-access,all-agents,809
en.wikipedia,Dance_Monkey,daily,2019-08-05,all-access,all-agents,724
en.wikipedia,Dance_Monkey,daily,2019-08-06,all-access,all-agents,813
en.wikipedia,Dance_Monkey,daily,2019-08-07,all-access,all-agents,733
en.wikipedia,Dance_Monkey,daily,2019-08-08,all-access,all-agents,745
en.wikipedia,Dance_Monkey,daily,2019-08-09,all-access,all-agents,914
en.wikipedia,Dance_Monkey,daily,2019-08-10,all-access,all-agents,1098
en.wikipedia,Dance_Monkey,daily,2019-08-11,all-access,all-agents,914
en.wikipedia,Dance_Monkey,daily,2019-08-12,all-access,all-agents,939
en.wikipedia,Dance_Monkey,daily,2019-08-13,all-access,all-agents,815
en.wikipedia,Dance_Monkey,daily,2019-08-14,all-access,all-agents,990
en.wikipedia,Dance_Monkey,daily,2019-08-15,all-access,all-agents,1003
en.wikipedia,Dance_Monkey,daily,2019-08-16,all-access,all-agents,1095
en.wikipedia,Dance_Monkey,daily,2019-08-17,all-access,all-agents,1269
en.wikipedia,Dance_Monkey,daily,2019-08-18,all-access,all-agents,1124
en.wikipedia,Dance_Monkey,daily,2019-08-19,all-access,all-agents,1037
en.wikipedia,Dance_Monkey,daily,2019-08-20,all-access,all-agents,1168
en.wikipedia,Dance_Monkey,daily,2019-08-21,all-access,all-agents,1223
en.wikipedia,Dance_Monkey,daily,2019-08-22,all-access,all-agents,1166
en.wikipedia,Dance_Monkey,daily,2019-08-23,all-access,all-agents,1407
en.wikipedia,Dance_Monkey,daily,2019-08-24,all-access,all-agents,1329
en.wikipedia,Dance_Monkey,daily,2019-08-25,all-access,all-agents,1318
en.wikipedia,Dance_Monkey,daily,2019-08-26,all-access,all-agents,1328
en.wikipedia,Dance_Monkey,daily,2019-08-27,all-access,all-agents,1439
en.wikipedia,Dance_Monkey,daily,2019-08-28,all-access,all-agents,1332
en.wikipedia,Dance_Monkey,daily,2019-08-29,all-access,all-agents,1657
en.wikipedia,Dance_Monkey,daily,2019-08-30,all-access,all-agents,2416
en.wikipedia,Dance_Monkey,daily,2019-08-31,all-access,all-agents,2176
en.wikipedia,Dance_Monkey,daily,2019-09-01,all-access,all-agents,2046
en.wikipedia,Dance_Monkey,daily,2019-09-02,all-access,all-agents,2257
en.wikipedia,Dance_Monkey,daily,2019-09-03,all-access,all-agents,2222
en.wikipedia,Dance_Monkey,daily,2019-09-04,all-access,all-agents,2202
en.wikipedia,Dance_Monkey,daily,2019-09-05,all-access,all-agents,2372
en.wikipedia,Dance_Monkey,daily,2019-09-06,all-access,all-agents,2160
en.wikipedia,Dance_Monkey,daily,2019-09-07,all-access,all-agents,2412
en.wikipedia,Dance_Monkey,daily,2019-09-08,all-access,all-agents,2357
en.wikipedia,Dance_Monkey,daily,2019-09-09,all-access,all-agents,1987
en.wikipedia,Dance_Monkey,daily,2019-09-10,all-access,all-agents,2137
en.wikipedia,Dance_Monkey,daily,2019-09-11,all-access,all-agents,2333
en.wikipedia,Dance_Monkey,daily,2019-09-12,all-access,all-agents,2436
en.wikipedia,Dance_Monkey,daily,2019-09-13,all-access,all-agents,2828
