project,article,granularity,timestamp,access,agent,views
en.wikipedia,Despacito,daily,2017-02-01,all-access,all-agents,487
en.wikipedia,Despacito,daily,2017-02-02,all-access,all-agents,515
en.wikipedia,Despacito,daily,2017-02-03,all-access,all-agents,752
en.wikipedia,Despacito,daily,2017-02-04,all-access,all-agents,338
en.wikipedia,Despacito,daily,2017-02-05,all-access,all-agents,220
en.wikipedia,Despacito,daily,2017-02-06,all-access,all-agents,289
en.wikipedia,Despacito,daily,2017-02-07,all-access,all-agents,318
en.wikipedia,Despacito,daily,2017-02-08,all-access,all-agents,220
en.wikipedia,Despacito,daily,2017-02-09,all-access,all-agents,213
en.wikipedia,Despacito,daily,2017-02-10,all-access,all-agents,403
en.wikipedia,Despacito,daily,2017-02-11,all-access,all-agents,205
en.wikipedia,Despacito,daily,2017-02-12,all-access,all-agents,419
en.wikipedia,Despacito,daily,2017-02-13,all-access,all-agents,283
en.wikipedia,Despacito,daily,2017-02-14,all-access,all-agents,338
en.wikipedia,Despacito,daily,2017-02-15,all-access,all-agents,231
en.wikipedia,Despacito,daily,2017-02-16,all-access,all-agents,286
en.wikipedia,Despacito,daily,2017-02-17,all-access,all-agents,419
en.wikipedia,Despacito,daily,2017-02-18,all-access,all-agents,335
en.wikipedia,Despacito,daily,2017-02-19,all-access,all-agents,285
en.wikipedia,Despacito,daily,2017-02-20,all-access,all-agents,335
en.wikipedia,Despacito,daily,2017-02-21,all-access,all-agents,335
en.wikipedia,Despacito,daily,2017-02-22,all-access,all-agents,376
en.wikipedia,Despacito,daily,2017-02-23,all-access,all-agents,354
en.wikipedia,Despacito,daily,2017-02-24,all-access,all-agents,497
en.wikipedia,Despacito,daily,2017-02-25,all-access,all-agents,281
en.wikipedia,Despacito,daily,2017-02-26,all-access,all-agents,481
en.wikipedia,Despacito,daily,2017-02-27,all-access,all-agents,389
en.wikipedia,Despacito,daily,2017-02-28,all-access,all-agents,364
en.wikipedia,Despacito,daily,2017-03-01,all-access,all-agents,440
en.wikipedia,Despacito,daily,2017-03-02,all-access,all-agents,427
en.wikipedia,Despacito,daily,2017-03-03,all-access,all-agents,564
en.wikipedia,Despacito,daily,2017-03-04,all-access,all-agents,665
en.wikipedia,Despacito,daily,2017-03-05,all-access,all-agents,613
en.wikipedia,Despacito,daily,2017-03-06,all-access,all-agents,732
en.wikipedia,Despacito,daily,2017-03-07,all-access,all-agents,716
en.wikipedia,Despacito,daily,2017-03-08,all-access,all-agents,598
en.wikipedia,Despacito,daily,2017-03-09,all-access,all-agents,576
en.wikipedia,Despacito,daily,2017-03-10,all-access,all-agents,784
en.wikipedia,Despacito,daily,2017-03-11,all-access,all-agents,649
en.wikipedia,Despacito,daily,2017-03-12,all-access,all-agents,665
en.wikipedia,Despacito,daily,2017-03-13,all-access,all-agents,675
en.wikipedia,Despacito,daily,2017-03-14,all-access,all-agents,772
en.wikipedia,Despacito,daily,2017-03-15,all-access,all-agents,767
en.wikipedia,Despacito,daily,2017-03-16,all-access,all-agents,741
en.wikipedia,Despacito,daily,2017-03-17,all-access,all-agents,1130
en.wikipedia,Despacito,daily,2017-03-18,all-access,all-agents,840
en.wikipedia,Despacito,daily,2017-03-19,all-access,all-agents,949
en.wikipedia,Despacito,daily,2017-03-20,all-access,all-agents,939
en.wikipedia,Despacito,daily,2017-03-21,all-access,all-agents,870
en.wikipedia,Despacito,daily,2017-03-22,all-access,all-agents,996
en.wikipedia,Despacito,daily,2017-03-23,all-access,all-agents,801
en.wikipedia,Despacito,daily,2017-03-24,all-access,all-agents,1224
en.wikipedia,Despacito,daily,2017-03-25,all-access,all-agents,949
en.wikipedia,Despacito,daily,2017-03-26,all-access,all-agents,983
en.wikipedia,Despacito,daily,2017-03-27,all-access,all-agents,914
en.wikipedia,Despacito,daily,2017-03-28,all-access,all-agents,817
en.wikipedia,Despacito,daily,2017-03-29,all-access,all-agents,784
en.wikipedia,Despacito,daily,2017-03-30,all-access,all-agents,1234
en.wikipedia,Despacito,daily,2017-03-31,all-access,all-agents,1548
en.wikipedia,Despacito,daily,2017-04-01,all-access,all-agents,1465
en.wikipedia,Despacito,daily,2017-04-02,all-access,all-agents,1408
en.wikipedia,Despacito,daily,2017-04-03,all-access,all-agents,1309
en.wikipedia,Despacito,daily,2017-04-04,all-access,all-agents,1391
en.wikipedia,Despacito,daily,2017-04-05,all-access,all-agents,1357
en.wikipedia,Despacito,daily,2017-04-06,all-access,all-agents,1437
en.wikipedia,Despacito,daily,2017-04-07,all-access,all-agents,1647
en.wikipedia,Despacito,daily,2017-04-08,all-access,all-agents,1523
en.wikipedia,Despacito,daily,2017-04-09,all-access,all-agents,1664
en.wikipedia,Despacito,daily,2017-04-10,all-access,all-agents,1655
en.wikipedia,Despacito,daily,2017-04-11,all-access,all-agents,1782
en.wikipedia,Despacito,daily,2017-04-12,all-access,all-agents,1838
en.wikipedia,Despacito,daily,2017-04-13,all-access,all-agents,1876
en.wikipedia,Despacito,daily,2017-04-14,all-access,all-agents,2187
en.wikipedia,Despacito,daily,2017-04-15,all-access,all-agents,2143
en.wikipedia,Despacito,daily,2017-04-16,all-access,all-agents,2229
en.wikipedia,Despacito,daily,2017-04-17,all-access,all-agents,5389
en.wikipedia,Despacito,daily,2017-04-18,all-access,all-agents,6044
en.wikipedia,Despacito,daily,2017-04-19,all-access,all-agents,5610
en.wikipedia,Despacito,daily,2017-04-20,all-access,all-agents,6283
en.wikipedia,Despacito,daily,2017-04-21,all-access,all-agents,6592
en.wikipedia,Despacito,daily,2017-04-22,all-access,all-agents,7925
en.wikipedia,Despacito,daily,2017-04-23,all-access,all-agents,7307
en.wikipedia,Despacito,daily,2017-04-24,all-access,all-agents,7555
en.wikipedia,Despacito,daily,2017-04-25,all-access,all-agents,8490
en.wikipedia,Despacito,daily,2017-04-26,all-access,all-agents,8007
en.wikipedia,Despacito,daily,2017-04-27,all-access,all-agents,8288
en.wikipedia,Despacito,daily,2017-04-28,all-access,all-agents,11081
en.wikipedia,Despacito,daily,2017-04-29,all-access,all-agents,9390
en.wikipedia,Despacito,daily,2017-04-30,all-access,all-agents,9735
en.wikipedia,Despacito,daily,2017-05-01,all-access,all-agents,9980
en.wikipedia,Despacito,daily,2017-05-02,all-access,all-agents,10130
en.wikipedia,Despacito,daily,2017-05-03,all-access,all-agents,9410
en.wikipedia,Despacito,daily,2017-05-04,all-access,all-agents,9783
en.wikipedia,Despacito,daily,2017-05-05,all-access,all-agents,10627
en.wikipedia,Despacito,daily,2017-05-06,all-access,all-agents,11551
en.wikipedia,Despacito,daily,2017-05-07,all-access,all-agents,11852
en.wikipedia,Despacito,daily,2017-05-08,all-access,all-agents,11886
en.wikipedia,Despacito,daily,2017-05-09,all-access,all-agents,11453
