project,article,granularity,timestamp,access,agent,views
en.wikipedia,Girls_Like_You,daily,2018-01-01,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-02,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-03,all-access,all-agents,4
en.wikipedia,Girls_Like_You,daily,2018-01-04,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-08,all-access,all-agents,2
en.wikipedia,Girls_Like_You,daily,2018-01-10,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-11,all-access,all-agents,6
en.wikipedia,Girls_Like_You,daily,2018-01-12,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-15,all-access,all-agents,5
en.wikipedia,Girls_Like_You,daily,2018-01-16,all-access,all-agents,4
en.wikipedia,Girls_Like_You,daily,2018-01-17,all-access,all-agents,2
en.wikipedia,Girls_Like_You,daily,2018-01-18,all-access,all-agents,5
en.wikipedia,Girls_Like_You,daily,2018-01-20,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-22,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-23,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-25,all-access,all-agents,2
en.wikipedia,Girls_Like_You,daily,2018-01-27,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-29,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-01-30,all-access,all-agents,3
en.wikipedia,Girls_Like_You,daily,2018-01-31,all-access,all-agents,3
en.wikipedia,Girls_Like_You,daily,2018-02-01,all-access,all-agents,2
en.wikipedia,Girls_Like_You,daily,2018-02-02,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-05,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-06,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-07,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-08,all-access,all-agents,3
en.wikipedia,Girls_Like_You,daily,2018-02-13,all-access,all-agents,3
en.wikipedia,Girls_Like_You,daily,2018-02-14,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-15,all-access,all-agents,6
en.wikipedia,Girls_Like_You,daily,2018-02-16,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-17,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-18,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-19,all-access,all-agents,3
en.wikipedia,Girls_Like_You,daily,2018-02-20,all-access,all-agents,7
en.wikipedia,Girls_Like_You,daily,2018-02-22,all-access,all-agents,2
en.wikipedia,Girls_Like_You,daily,2018-02-23,all-access,all-agents,3
en.wikipedia,Girls_Like_You,daily,2018-02-25,all-access,all-agents,1
en.wikipedia,Girls_Like_You,daily,2018-02-26,all-access,all-agents,2
en.wikipedia,Girls_Like_You,daily,2018-02-27,all-access,all-agents,2
