project,article,granularity,timestamp,access,agent,views
en.wikipedia,Havana,daily,2017-01-01,all-access,all-agents,2089
en.wikipedia,Havana,daily,2017-01-02,all-access,all-agents,1936
en.wikipedia,Havana,daily,2017-01-03,all-access,all-agents,2177
en.wikipedia,Havana,daily,2017-01-04,all-access,all-agents,1962
en.wikipedia,Havana,daily,2017-01-05,all-access,all-agents,1911
en.wikipedia,Havana,daily,2017-01-06,all-access,all-agents,1866
en.wikipedia,Havana,daily,2017-01-07,all-access,all-agents,1749
en.wikipedia,Havana,daily,2017-01-08,all-access,all-agents,1883
en.wikipedia,Havana,daily,2017-01-09,all-access,all-agents,1829
en.wikipedia,Havana,daily,2017-01-10,all-access,all-agents,1683
en.wikipedia,Havana,daily,2017-01-11,all-access,all-agents,1912
en.wikipedia,Havana,daily,2017-01-12,all-access,all-agents,1766
en.wikipedia,Havana,daily,2017-01-13,all-access,all-agents,1755
en.wikipedia,Havana,daily,2017-01-14,all-access,all-agents,1646
en.wikipedia,Havana,daily,2017-01-15,all-access,all-agents,1800
en.wikipedia,Havana,daily,2017-01-16,all-access,all-agents,1863
en.wikipedia,Havana,daily,2017-01-17,all-access,all-agents,1827
en.wikipedia,Havana,daily,2017-01-18,all-access,all-agents,1903
en.wikipedia,Havana,daily,2017-01-19,all-access,all-agents,1767
en.wikipedia,Havana,daily,2017-01-20,all-access,all-agents,1501
en.wikipedia,Havana,daily,2017-01-21,all-access,all-agents,1398
en.wikipedia,Havana,daily,2017-01-22,all-access,all-agents,1574
en.wikipedia,Havana,daily,2017-01-23,all-access,all-agents,1778
en.wikipedia,Havana,daily,2017-01-24,all-access,all-agents,1724
en.wikipedia,Havana,daily,2017-01-25,all-access,all-agents,1671
en.wikipedia,Havana,daily,2017-01-26,all-access,all-agents,1652
en.wikipedia,Havana,daily,2017-01-27,all-access,all-agents,1506
en.wikipedia,Havana,daily,2017-01-28,all-access,all-agents,1435
en.wikipedia,Havana,daily,2017-01-29,all-access,all-agents,1584
en.wikipedia,Havana,daily,2017-01-30,all-access,all-agents,1828
en.wikipedia,Havana,daily,2017-01-31,all-access,all-agents,1922
en.wikipedia,Havana,daily,2017-02-01,all-access,all-agents,1918
en.wikipedia,Havana,daily,2017-02-02,all-access,all-agents,1775
en.wikipedia,Havana,daily,2017-02-03,all-access,all-agents,1620
en.wikipedia,Havana,daily,2017-02-04,all-access,all-agents,1444
en.wikipedia,Havana,daily,2017-02-05,all-access,all-agents,1786
en.wikipedia,Havana,daily,2017-02-06,all-access,all-agents,1835
en.wikipedia,Havana,daily,2017-02-07,all-access,all-agents,1744
en.wikipedia,Havana,daily,2017-02-08,all-access,all-agents,1651
en.wikipedia,Havana,daily,2017-02-09,all-access,all-agents,1663
en.wikipedia,Havana,daily,2017-02-10,all-access,all-agents,1522
en.wikipedia,Havana,daily,2017-02-11,all-access,all-agents,1335
en.wikipedia,Havana,daily,2017-02-12,all-access,all-agents,1704
en.wikipedia,Havana,daily,2017-02-13,all-access,all-agents,1816
en.wikipedia,Havana,daily,2017-02-14,all-access,all-agents,1667
en.wikipedia,Havana,daily,2017-02-15,all-access,all-agents,2686
en.wikipedia,Havana,daily,2017-02-16,all-access,all-agents,1775
en.wikipedia,Havana,daily,2017-02-17,all-access,all-agents,1599
en.wikipedia,Havana,daily,2017-02-18,all-access,all-agents,1547
en.wikipedia,Havana,daily,2017-02-19,all-access,all-agents,1670
en.wikipedia,Havana,daily,2017-02-20,all-access,all-agents,1710
en.wikipedia,Havana,daily,2017-02-21,all-access,all-agents,1854
en.wikipedia,Havana,daily,2017-02-22,all-access,all-agents,1861
en.wikipedia,Havana,daily,2017-02-23,all-access,all-agents,1814
en.wikipedia,Havana,daily,2017-02-24,all-access,all-agents,1633
en.wikipedia,Havana,daily,2017-02-25,all-access,all-agents,1584
en.wikipedia,Havana,daily,2017-02-26,all-access,all-agents,1903
en.wikipedia,Havana,daily,2017-02-27,all-access,all-agents,2277
en.wikipedia,Havana,daily,2017-02-28,all-access,all-agents,2079
en.wikipedia,Havana,daily,2017-03-01,all-access,all-agents,2084
en.wikipedia,Havana,daily,2017-03-02,all-access,all-agents,1796
en.wikipedia,Havana,daily,2017-03-03,all-access,all-agents,1704
en.wikipedia,Havana,daily,2017-03-04,all-access,all-agents,1549
en.wikipedia,Havana,daily,2017-03-05,all-access,all-agents,1686
en.wikipedia,Havana,daily,2017-03-06,all-access,all-agents,1940
en.wikipedia,Havana,daily,2017-03-07,all-access,all-agents,1829
en.wikipedia,Havana,daily,2017-03-08,all-access,all-agents,1754
en.wikipedia,Havana,daily,2017-03-09,all-access,all-agents,1746
en.wikipedia,Havana,daily,2017-03-10,all-access,all-agents,1757
en.wikipedia,Havana,daily,2017-03-11,all-access,all-agents,1546
en.wikipedia,Havana,daily,2017-03-12,all-access,all-agents,1724
en.wikipedia,Havana,daily,2017-03-13,all-access,all-agents,1873
en.wikipedia,Havana,daily,2017-03-14,all-access,all-agents,2012
en.wikipedia,Havana,daily,2017-03-15,all-access,all-agents,1859
en.wikipedia,Havana,daily,2017-03-16,all-access,all-agents,1674
en.wikipedia,Havana,daily,2017-03-17,all-access,all-agents,1710
en.wikipedia,Havana,daily,2017-03-18,all-access,all-agents,1490
en.wikipedia,Havana,daily,2017-03-19,all-access,all-agents,1579
en.wikipedia,Havana,daily,2017-03-20,all-access,all-agents,1954
en.wikipedia,Havana,daily,2017-03-21,all-access,all-agents,1821
en.wikipedia,Havana,daily,2017-03-22,all-access,all-agents,1928
en.wikipedia,Havana,daily,2017-03-23,all-access,all-agents,1743
en.wikipedia,Havana,daily,2017-03-24,all-access,all-agents,1633
en.wikipedia,Havana,daily,2017-03-25,all-access,all-agents,1434
en.wikipedia,Havana,daily,2017-03-26,all-access,all-agents,1645
en.wikipedia,Havana,daily,2017-03-27,all-access,all-agents,1773
en.wikipedia,Havana,daily,2017-03-28,all-access,all-agents,1818
en.wikipedia,Havana,daily,2017-03-29,all-access,all-agents,2382
en.wikipedia,Havana,daily,2017-03-30,all-access,all-agents,1621
en.wikipedia,Havana,daily,2017-03-31,all-access,all-agents,1602
en.wikipedia,Havana,daily,2017-04-01,all-access,all-agents,1397
en.wikipedia,Havana,daily,2017-04-02,all-access,all-agents,1583
en.wikipedia,Havana,daily,2017-04-03,all-access,all-agents,1657
en.wikipedia,Havana,daily,2017-04-04,all-access,all-agents,1657
en.wikipedia,Havana,daily,2017-04-05,all-access,all-agents,1641
en.wikipedia,Havana,daily,2017-04-06,all-access,all-agents,1747
en.wikipedia,Havana,daily,2017-04-07,all-access,all-agents,1556
en.wikipedia,Havana,daily,2017-04-08,all-access,all-agents,1387
en.wikipedia,Havana,daily,2017-04-09,all-access,all-agents,1557
en.wikipedia,Havana,daily,2017-04-10,all-access,all-agents,1742
en.wikipedia,Havana,daily,2017-04-11,all-access,all-agents,1790
en.wikipedia,Havana,daily,2017-04-12,all-access,all-agents,1846
en.wikipedia,Havana,daily,2017-04-13,all-access,all-agents,1762
en.wikipedia,Havana,daily,2017-04-14,all-access,all-agents,1917
en.wikipedia,Havana,daily,2017-04-15,all-access,all-agents,2435
