project,article,granularity,timestamp,access,agent,views
en.wikipedia,Hello,daily,2015-07-01,all-access,all-agents,2093
en.wikipedia,Hello,daily,2015-07-02,all-access,all-agents,2536
en.wikipedia,Hello,daily,2015-07-03,all-access,all-agents,2422
en.wikipedia,Hello,daily,2015-07-04,all-access,all-agents,2159
en.wikipedia,Hello,daily,2015-07-05,all-access,all-agents,2221
en.wikipedia,Hello,daily,2015-07-06,all-access,all-agents,2575
en.wikipedia,Hello,daily,2015-07-07,all-access,all-agents,2873
en.wikipedia,Hello,daily,2015-07-08,all-access,all-agents,2319
en.wikipedia,Hello,daily,2015-07-09,all-access,all-agents,2322
en.wikipedia,Hello,daily,2015-07-10,all-access,all-agents,2357
en.wikipedia,Hello,daily,2015-07-11,all-access,all-agents,2293
en.wikipedia,Hello,daily,2015-07-12,all-access,all-agents,2378
en.wikipedia,Hello,daily,2015-07-13,all-access,all-agents,2373
en.wikipedia,Hello,daily,2015-07-14,all-access,all-agents,2515
en.wikipedia,Hello,daily,2015-07-15,all-access,all-agents,2757
en.wikipedia,Hello,daily,2015-07-16,all-access,all-agents,2599
en.wikipedia,Hello,daily,2015-07-17,all-access,all-agents,2542
en.wikipedia,Hello,daily,2015-07-18,all-access,all-agents,2572
en.wikipedia,Hello,daily,2015-07-19,all-access,all-agents,2405
en.wikipedia,Hello,daily,2015-07-20,all-access,all-agents,2735
en.wikipedia,Hello,daily,2015-07-21,all-access,all-agents,2880
en.wikipedia,Hello,daily,2015-07-22,all-access,all-agents,3090
en.wikipedia,Hello,daily,2015-07-23,all-access,all-agents,3383
en.wikipedia,Hello,daily,2015-07-24,all-access,all-agents,3040
en.wikipedia,Hello,daily,2015-07-25,all-access,all-agents,2784
en.wikipedia,Hello,daily,2015-07-26,all-access,all-agents,2791
en.wikipedia,Hello,daily,2015-07-27,all-access,all-agents,4418
en.wikipedia,Hello,daily,2015-07-28,all-access,all-agents,5602
en.wikipedia,Hello,daily,2015-07-29,all-access,all-agents,4086
en.wikipedia,Hello,daily,2015-07-30,all-access,all-agents,3589
en.wikipedia,Hello,daily,2015-07-31,all-access,all-agents,3553
en.wikipedia,Hello,daily,2015-08-01,all-access,all-agents,2925
en.wikipedia,Hello,daily,2015-08-02,all-access,all-agents,2671
en.wikipedia,Hello,daily,2015-08-03,all-access,all-agents,2825
en.wikipedia,Hello,daily,2015-08-04,all-access,all-agents,2888
en.wikipedia,Hello,daily,2015-08-05,all-access,all-agents,2935
en.wikipedia,Hello,daily,2015-08-06,all-access,all-agents,2870
en.wikipedia,Hello,daily,2015-08-07,all-access,all-agents,2654
en.wikipedia,Hello,daily,2015-08-08,all-access,all-agents,2510
en.wikipedia,Hello,daily,2015-08-09,all-access,all-agents,2434
en.wikipedia,Hello,daily,2015-08-10,all-access,all-agents,2635
en.wikipedia,Hello,daily,2015-08-11,all-access,all-agents,2644
en.wikipedia,Hello,daily,2015-08-12,all-access,all-agents,2859
en.wikipedia,Hello,daily,2015-08-13,all-access,all-agents,2819
en.wikipedia,Hello,daily,2015-08-14,all-access,all-agents,2745
en.wikipedia,Hello,daily,2015-08-15,all-access,all-agents,3012
en.wikipedia,Hello,daily,2015-08-16,all-access,all-agents,3414
en.wikipedia,Hello,daily,2015-08-17,all-access,all-agents,3112
en.wikipedia,Hello,daily,2015-08-18,all-access,all-agents,2977
en.wikipedia,Hello,daily,2015-08-19,all-access,all-agents,2838
en.wikipedia,Hello,daily,2015-08-20,all-access,all-agents,2789
en.wikipedia,Hello,daily,2015-08-21,all-access,all-agents,2672
en.wikipedia,Hello,daily,2015-08-22,all-access,all-agents,2490
en.wikipedia,Hello,daily,2015-08-23,all-access,all-agents,2426
en.wikipedia,Hello,daily,2015-08-24,all-access,all-agents,2805
en.wikipedia,Hello,daily,2015-08-25,all-access,all-agents,2653
en.wikipedia,Hello,daily,2015-08-26,all-access,all-agents,2649
en.wikipedia,Hello,daily,2015-08-27,all-access,all-agents,2724
en.wikipedia,Hello,daily,2015-08-28,all-access,all-agents,2545
en.wikipedia,Hello,daily,2015-08-29,all-access,all-agents,2268
en.wikipedia,Hello,daily,2015-08-30,all-access,all-agents,2605
en.wikipedia,Hello,daily,2015-08-31,all-access,all-agents,2466
en.wikipedia,Hello,daily,2015-09-01,all-access,all-agents,2692
en.wikipedia,Hello,daily,2015-09-02,all-access,all-agents,3400
en.wikipedia,Hello,daily,2015-09-03,all-access,all-agents,3424
en.wikipedia,Hello,daily,2015-09-04,all-access,all-agents,3824
en.wikipedia,Hello,daily,2015-09-05,all-access,all-agents,3697
en.wikipedia,Hello,daily,2015-09-06,all-access,all-agents,3190
en.wikipedia,Hello,daily,2015-09-07,all-access,all-agents,3166
en.wikipedia,Hello,daily,2015-09-08,all-access,all-agents,3696
en.wikipedia,Hello,daily,2015-09-09,all-access,all-agents,3901
en.wikipedia,Hello,daily,2015-09-10,all-access,all-agents,3993
en.wikipedia,Hello,daily,2015-09-11,all-access,all-agents,3833
en.wikipedia,Hello,daily,2015-09-12,all-access,all-agents,3908
