project,article,granularity,timestamp,access,agent,views
en.wikipedia,Lean_On,daily,2015-07-01,all-access,all-agents,5185
en.wikipedia,Lean_On,daily,2015-07-02,all-access,all-agents,4985
en.wikipedia,Lean_On,daily,2015-07-03,all-access,all-agents,5004
en.wikipedia,Lean_On,daily,2015-07-04,all-access,all-agents,5264
en.wikipedia,Lean_On,daily,2015-07-05,all-access,all-agents,5437
en.wikipedia,Lean_On,daily,2015-07-06,all-access,all-agents,5800
en.wikipedia,Lean_On,daily,2015-07-07,all-access,all-agents,5455
en.wikipedia,Lean_On,daily,2015-07-08,all-access,all-agents,5221
en.wikipedia,Lean_On,daily,2015-07-09,all-access,all-agents,5368
en.wikipedia,Lean_On,daily,2015-07-10,all-access,all-agents,5371
en.wikipedia,Lean_On,daily,2015-07-11,all-access,all-agents,5281
en.wikipedia,Lean_On,daily,2015-07-12,all-access,all-agents,5172
en.wikipedia,Lean_On,daily,2015-07-13,all-access,all-agents,4983
en.wikipedia,Lean_On,daily,2015-07-14,all-access,all-agents,4796
en.wikipedia,Lean_On,daily,2015-07-15,all-access,all-agents,4794
en.wikipedia,Lean_On,daily,2015-07-16,all-access,all-agents,4687
en.wikipedia,Lean_On,daily,2015-07-17,all-access,all-agents,4694
en.wikipedia,Lean_On,daily,2015-07-18,all-access,all-agents,4819
en.wikipedia,Lean_On,daily,2015-07-19,all-access,all-agents,4932
en.wikipedia,Lean_On,daily,2015-07-20,all-access,all-agents,4878
en.wikipedia,Lean_On,daily,2015-07-21,all-access,all-agents,4905
en.wikipedia,Lean_On,daily,2015-07-22,all-access,all-agents,4598
en.wikipedia,Lean_On,daily,2015-07-23,all-access,all-agents,4869
en.wikipedia,Lean_On,daily,2015-07-24,all-access,all-agents,5006
en.wikipedia,Lean_On,daily,2015-07-25,all-access,all-agents,5338
en.wikipedia,Lean_On,daily,2015-07-26,all-access,all-agents,5327
en.wikipedia,Lean_On,daily,2015-07-27,all-access,all-agents,5068
en.wikipedia,Lean_On,daily,2015-07-28,all-access,all-agents,5298
en.wikipedia,Lean_On,daily,2015-07-29,all-access,all-agents,5162
en.wikipedia,Lean_On,daily,2015-07-30,all-access,all-agents,5494
en.wikipedia,Lean_On,daily,2015-07-31,all-access,all-agents,5541
en.wikipedia,Lean_On,daily,2015-08-01,all-access,all-agents,5392
en.wikipedia,Lean_On,daily,2015-08-02,all-access,all-agents,5692
en.wikipedia,Lean_On,daily,2015-08-03,all-access,all-agents,5085
en.wikipedia,Lean_On,daily,2015-08-04,all-access,all-agents,5403
en.wikipedia,Lean_On,daily,2015-08-05,all-access,all-agents,5100
en.wikipedia,Lean_On,daily,2015-08-06,all-access,all-agents,5055
en.wikipedia,Lean_On,daily,2015-08-07,all-access,all-agents,5302
en.wikipedia,Lean_On,daily,2015-08-08,all-access,all-agents,5072
en.wikipedia,Lean_On,daily,2015-08-09,all-access,all-agents,5745
en.wikipedia,Lean_On,daily,2015-08-10,all-access,all-agents,5461
en.wikipedia,Lean_On,daily,2015-08-11,all-access,all-agents,4961
en.wikipedia,Lean_On,daily,2015-08-12,all-access,all-agents,4668
en.wikipedia,Lean_On,daily,2015-08-13,all-access,all-agents,4827
en.wikipedia,Lean_On,daily,2015-08-14,all-access,all-agents,5173
en.wikipedia,Lean_On,daily,2015-08-15,all-access,all-agents,5484
en.wikipedia,Lean_On,daily,2015-08-16,all-access,all-agents,5480
en.wikipedia,Lean_On,daily,2015-08-17,all-access,all-agents,5093
en.wikipedia,Lean_On,daily,2015-08-18,all-access,all-agents,5147
en.wikipedia,Lean_On,daily,2015-08-19,all-access,all-agents,4916
en.wikipedia,Lean_On,daily,2015-08-20,all-access,all-agents,4851
en.wikipedia,Lean_On,daily,2015-08-21,all-access,all-agents,5138
en.wikipedia,Lean_On,daily,2015-08-22,all-access,all-agents,5083
en.wikipedia,Lean_On,daily,2015-08-23,all-access,all-agents,5169
en.wikipedia,Lean_On,daily,2015-08-24,all-access,all-agents,4799
en.wikipedia,Lean_On,daily,2015-08-25,all-access,all-agents,4724
en.wikipedia,Lean_On,daily,2015-08-26,all-access,all-agents,4549
en.wikipedia,Lean_On,daily,2015-08-27,all-access,all-agents,4305
en.wikipedia,Lean_On,daily,2015-08-28,all-access,all-agents,4423
en.wikipedia,Lean_On,daily,2015-08-29,all-access,all-agents,4738
en.wikipedia,Lean_On,daily,2015-08-30,all-access,all-agents,4725
en.wikipedia,Lean_On,daily,2015-08-31,all-access,all-agents,4544
en.wikipedia,Lean_On,daily,2015-09-01,all-access,all-agents,4028
en.wikipedia,Lean_On,daily,2015-09-02,all-access,all-agents,4029
en.wikipedia,Lean_On,daily,2015-09-03,all-access,all-agents,4202
en.wikipedia,Lean_On,daily,2015-09-04,all-access,all-agents,4247
en.wikipedia,Lean_On,daily,2015-09-05,all-access,all-agents,4685
en.wikipedia,Lean_On,daily,2015-09-06,all-access,all-agents,4547
en.wikipedia,Lean_On,daily,2015-09-07,all-access,all-agents,4295
en.wikipedia,Lean_On,daily,2015-09-08,all-access,all-agents,4082
en.wikipedia,Lean_On,daily,2015-09-09,all-access,all-agents,3994
en.wikipedia,Lean_On,daily,2015-09-10,all-access,all-agents,3994
en.wikipedia,Lean_On,daily,2015-09-11,all-access,all-agents,3935
en.wikipedia,Lean_On,daily,2015-09-12,all-access,all-agents,4397
en.wikipedia,Lean_On,daily,2015-09-13,all-access,all-agents,4536
en.wikipedia,Lean_On,daily,2015-09-14,all-access,all-agents,3846
en.wikipedia,Lean_On,daily,2015-09-15,all-access,all-agents,3735
en.wikipedia,Lean_On,daily,2015-09-16,all-access,all-agents,3748
en.wikipedia,Lean_On,daily,2015-09-17,all-access,all-agents,3615
en.wikipedia,Lean_On,daily,2015-09-18,all-access,all-agents,3661
en.wikipedia,Lean_On,daily,2015-09-19,all-access,all-agents,4115
en.wikipedia,Lean_On,daily,2015-09-20,all-access,all-agents,3977
en.wikipedia,Lean_On,daily,2015-09-21,all-access,all-agents,3446
en.wikipedia,Lean_On,daily,2015-09-22,all-access,all-agents,3563
en.wikipedia,Lean_On,daily,2015-09-23,all-access,all-agents,3598
en.wikipedia,Lean_On,daily,2015-09-24,all-access,all-agents,3391
en.wikipedia,Lean_On,daily,2015-09-25,all-access,all-agents,3806
en.wikipedia,Lean_On,daily,2015-09-26,all-access,all-agents,3870
en.wikipedia,Lean_On,daily,2015-09-27,all-access,all-agents,3877
en.wikipedia,Lean_On,daily,2015-09-28,all-access,all-agents,3526
en.wikipedia,Lean_On,daily,2015-09-29,all-access,all-agents,3434
en.wikipedia,Lean_On,daily,2015-09-30,all-access,all-agents,3469
en.wikipedia,Lean_On,daily,2015-10-01,all-access,all-agents,3221
en.wikipedia,Lean_On,daily,2015-10-02,all-access,all-agents,3478
en.wikipedia,Lean_On,daily,2015-10-03,all-access,all-agents,3746
en.wikipedia,Lean_On,daily,2015-10-04,all-access,all-agents,3629
en.wikipedia,Lean_On,daily,2015-10-05,all-access,all-agents,3101
en.wikipedia,Lean_On,daily,2015-10-06,all-access,all-agents,3102
en.wikipedia,Lean_On,daily,2015-10-07,all-access,all-agents,2991
en.wikipedia,Lean_On,daily,2015-10-08,all-access,all-agents,3059
en.wikipedia,Lean_On,daily,2015-10-09,all-access,all-agents,3312
en.wikipedia,Lean_On,daily,2015-10-10,all-access,all-agents,3501
en.wikipedia,Lean_On,daily,2015-10-11,all-access,all-agents,3419
en.wikipedia,Lean_On,daily,2015-10-12,all-access,all-agents,3121
en.wikipedia,Lean_On,daily,2015-10-13,all-access,all-agents,3378
en.wikipedia,Lean_On,daily,2015-10-14,all-access,all-agents,3319
en.wikipedia,Lean_On,daily,2015-10-15,all-access,all-agents,3622
en.wikipedia,Lean_On,daily,2015-10-16,all-access,all-agents,4157
en.wikipedia,Lean_On,daily,2015-10-17,all-access,all-agents,3971
en.wikipedia,Lean_On,daily,2015-10-18,all-access,all-agents,4727
en.wikipedia,Lean_On,daily,2015-10-19,all-access,all-agents,4140
en.wikipedia,Lean_On,daily,2015-10-20,all-access,all-agents,3871
en.wikipedia,Lean_On,daily,2015-10-21,all-access,all-agents,3785
en.wikipedia,Lean_On,daily,2015-10-22,all-access,all-agents,3597
en.wikipedia,Lean_On,daily,2015-10-23,all-access,all-agents,3913
en.wikipedia,Lean_On,daily,2015-10-24,all-access,all-agents,3851
en.wikipedia,Lean_On,daily,2015-10-25,all-access,all-agents,4366
en.wikipedia,Lean_On,daily,2015-10-26,all-access,all-agents,4130
en.wikipedia,Lean_On,daily,2015-10-27,all-access,all-agents,4112
en.wikipedia,Lean_On,daily,2015-10-28,all-access,all-agents,4298
en.wikipedia,Lean_On,daily,2015-10-29,all-access,all-agents,3827
en.wikipedia,Lean_On,daily,2015-10-30,all-access,all-agents,4157
en.wikipedia,Lean_On,daily,2015-10-31,all-access,all-agents,4203
en.wikipedia,Lean_On,daily,2015-11-01,all-access,all-agents,4188
en.wikipedia,Lean_On,daily,2015-11-02,all-access,all-agents,4045
en.wikipedia,Lean_On,daily,2015-11-03,all-access,all-agents,4204
en.wikipedia,Lean_On,daily,2015-11-04,all-access,all-agents,3999
