project,article,granularity,timestamp,access,agent,views
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-01,all-access,all-agents,1832
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-02,all-access,all-agents,1904
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-03,all-access,all-agents,2158
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-04,all-access,all-agents,2071
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-05,all-access,all-agents,2252
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-06,all-access,all-agents,1931
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-07,all-access,all-agents,1885
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-08,all-access,all-agents,1999
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-09,all-access,all-agents,1939
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-10,all-access,all-agents,1884
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-11,all-access,all-agents,2047
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-12,all-access,all-agents,1909
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-13,all-access,all-agents,1988
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-14,all-access,all-agents,1740
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-15,all-access,all-agents,1691
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-16,all-access,all-agents,1748
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-17,all-access,all-agents,1676
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-18,all-access,all-agents,1846
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-19,all-access,all-agents,1855
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-20,all-access,all-agents,1887
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-21,all-access,all-agents,1850
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-22,all-access,all-agents,1918
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-23,all-access,all-agents,1875
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-24,all-access,all-agents,1874
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-25,all-access,all-agents,1911
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-26,all-access,all-agents,1881
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-27,all-access,all-agents,1732
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-28,all-access,all-agents,1740
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-29,all-access,all-agents,1759
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-30,all-access,all-agents,1811
en.wikipedia,Love_Me_like_You_Do,daily,2015-07-31,all-access,all-agents,1800
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-01,all-access,all-agents,1748
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-02,all-access,all-agents,1768
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-03,all-access,all-agents,1527
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-04,all-access,all-agents,1765
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-05,all-access,all-agents,1696
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-06,all-access,all-agents,1807
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-07,all-access,all-agents,1743
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-08,all-access,all-agents,1737
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-09,all-access,all-agents,1869
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-10,all-access,all-agents,1665
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-11,all-access,all-agents,1663
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-12,all-access,all-agents,1642
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-13,all-access,all-agents,1601
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-14,all-access,all-agents,1588
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-15,all-access,all-agents,1727
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-16,all-access,all-agents,1641
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-17,all-access,all-agents,1564
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-18,all-access,all-agents,1519
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-19,all-access,all-agents,1641
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-20,all-access,all-agents,1366
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-21,all-access,all-agents,1570
en.wikipedia,Love_Me_like_You_Do,daily,2015-08-22,all-access,all-agents,1700
