project,article,granularity,timestamp,access,agent,views
en.wikipedia,Love_Yourself,daily,2015-07-01,all-access,all-agents,2
en.wikipedia,Love_Yourself,daily,2015-07-02,all-access,all-agents,5
en.wikipedia,Love_Yourself,daily,2015-07-03,all-access,all-agents,11
en.wikipedia,Love_Yourself,daily,2015-07-04,all-access,all-agents,5
en.wikipedia,Love_Yourself,daily,2015-07-05,all-access,all-agents,6
en.wikipedia,Love_Yourself,daily,2015-07-06,all-access,all-agents,4
en.wikipedia,Love_Yourself,daily,2015-07-07,all-access,all-agents,4
en.wikipedia,Love_Yourself,daily,2015-07-08,all-access,all-agents,6
en.wikipedia,Love_Yourself,daily,2015-07-09,all-access,all-agents,5
en.wikipedia,Love_Yourself,daily,2015-07-10,all-access,all-agents,1
en.wikipedia,Love_Yourself,daily,2015-07-11,all-access,all-agents,8
en.wikipedia,Love_Yourself,daily,2015-07-12,all-access,all-agents,9
en.wikipedia,Love_Yourself,daily,2015-07-13,all-access,all-agents,2
en.wikipedia,Love_Yourself,daily,2015-07-14,all-access,all-agents,4
en.wikipedia,Love_Yourself,daily,2015-07-15,all-access,all-agents,4
en.wikipedia,Love_Yourself,daily,2015-07-16,all-access,all-agents,8
en.wikipedia,Love_Yourself,daily,2015-07-17,all-access,all-agents,2
en.wikipedia,Love_Yourself,daily,2015-07-18,all-access,all-agents,6
en.wikipedia,Love_Yourself,daily,2015-07-19,all-access,all-agents,2
en.wikipedia,Love_Yourself,daily,2015-07-20,all-access,all-agents,4
en.wikipedia,Love_Yourself,daily,2015-07-21,all-access,all-agents,8
en.wikipedia,Love_Yourself,daily,2015-07-22,all-access,all-agents,3
en.wikipedia,Love_Yourself,daily,2015-07-23,all-access,all-agents,3
en.wikipedia,Love_Yourself,daily,2015-07-24,all-access,all-agents,6
en.wikipedia,Love_Yourself,daily,2015-07-25,all-access,all-agents,3
en.wikipedia,Love_Yourself,daily,2015-07-26,all-access,all-agents,4
en.wikipedia,Love_Yourself,daily,2015-07-27,all-access,all-agents,3
en.wikipedia,Love_Yourself,daily,2015-07-28,all-access,all-agents,3
en.wikipedia,Love_Yourself,daily,2015-07-29,all-access,all-agents,3
