project,article,granularity,timestamp,access,agent,views
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-01,all-access,all-agents,903
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-02,all-access,all-agents,955
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-03,all-access,all-agents,878
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-04,all-access,all-agents,923
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-05,all-access,all-agents,1007
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-06,all-access,all-agents,921
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-07,all-access,all-agents,849
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-08,all-access,all-agents,855
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-09,all-access,all-agents,843
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-10,all-access,all-agents,846
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-11,all-access,all-agents,840
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-12,all-access,all-agents,902
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-13,all-access,all-agents,880
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-14,all-access,all-agents,906
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-15,all-access,all-agents,790
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-16,all-access,all-agents,816
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-17,all-access,all-agents,902
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-18,all-access,all-agents,848
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-19,all-access,all-agents,859
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-20,all-access,all-agents,866
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-21,all-access,all-agents,892
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-22,all-access,all-agents,722
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-23,all-access,all-agents,745
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-24,all-access,all-agents,747
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-25,all-access,all-agents,842
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-26,all-access,all-agents,902
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-27,all-access,all-agents,846
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-28,all-access,all-agents,828
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-29,all-access,all-agents,829
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-30,all-access,all-agents,802
en.wikipedia,My_Heart_Will_Go_On,daily,2015-07-31,all-access,all-agents,809
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-01,all-access,all-agents,823
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-02,all-access,all-agents,766
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-03,all-access,all-agents,629
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-04,all-access,all-agents,718
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-05,all-access,all-agents,667
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-06,all-access,all-agents,729
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-07,all-access,all-agents,759
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-08,all-access,all-agents,766
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-09,all-access,all-agents,947
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-10,all-access,all-agents,717
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-11,all-access,all-agents,779
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-12,all-access,all-agents,774
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-13,all-access,all-agents,674
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-14,all-access,all-agents,748
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-15,all-access,all-agents,843
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-16,all-access,all-agents,907
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-17,all-access,all-agents,815
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-18,all-access,all-agents,843
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-19,all-access,all-agents,819
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-20,all-access,all-agents,791
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-21,all-access,all-agents,801
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-22,all-access,all-agents,886
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-23,all-access,all-agents,808
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-24,all-access,all-agents,861
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-25,all-access,all-agents,1014
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-26,all-access,all-agents,830
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-27,all-access,all-agents,796
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-28,all-access,all-agents,836
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-29,all-access,all-agents,880
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-30,all-access,all-agents,860
en.wikipedia,My_Heart_Will_Go_On,daily,2015-08-31,all-access,all-agents,797
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-01,all-access,all-agents,800
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-02,all-access,all-agents,781
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-03,all-access,all-agents,740
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-04,all-access,all-agents,701
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-05,all-access,all-agents,782
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-06,all-access,all-agents,806
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-07,all-access,all-agents,1188
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-08,all-access,all-agents,919
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-09,all-access,all-agents,757
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-10,all-access,all-agents,964
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-11,all-access,all-agents,734
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-12,all-access,all-agents,855
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-13,all-access,all-agents,887
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-14,all-access,all-agents,740
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-15,all-access,all-agents,738
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-16,all-access,all-agents,780
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-17,all-access,all-agents,882
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-18,all-access,all-agents,874
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-19,all-access,all-agents,932
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-20,all-access,all-agents,958
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-21,all-access,all-agents,736
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-22,all-access,all-agents,824
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-23,all-access,all-agents,825
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-24,all-access,all-agents,928
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-25,all-access,all-agents,826
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-26,all-access,all-agents,825
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-27,all-access,all-agents,856
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-28,all-access,all-agents,748
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-29,all-access,all-agents,816
en.wikipedia,My_Heart_Will_Go_On,daily,2015-09-30,all-access,all-agents,777
en.wikipedia,My_Heart_Will_Go_On,daily,2015-10-01,all-access,all-agents,775
en.wikipedia,My_Heart_Will_Go_On,daily,2015-10-02,all-access,all-agents,818
en.wikipedia,My_Heart_Will_Go_On,daily,2015-10-03,all-access,all-agents,816
en.wikipedia,My_Heart_Will_Go_On,daily,2015-10-04,all-access,all-agents,915
