project,article,granularity,timestamp,access,agent,views
en.wikipedia,Needed_Me,daily,2016-01-28,all-access,all-agents,8
en.wikipedia,Needed_Me,daily,2016-01-30,all-access,all-agents,5
en.wikipedia,Needed_Me,daily,2016-02-01,all-access,all-agents,1
en.wikipedia,Needed_Me,daily,2016-02-02,all-access,all-agents,1
en.wikipedia,Needed_Me,daily,2016-02-04,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-06,all-access,all-agents,2
en.wikipedia,Needed_Me,daily,2016-02-07,all-access,all-agents,1
en.wikipedia,Needed_Me,daily,2016-02-08,all-access,all-agents,2
en.wikipedia,Needed_Me,daily,2016-02-09,all-access,all-agents,9
en.wikipedia,Needed_Me,daily,2016-02-10,all-access,all-agents,5
en.wikipedia,Needed_Me,daily,2016-02-11,all-access,all-agents,7
en.wikipedia,Needed_Me,daily,2016-02-12,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-13,all-access,all-agents,9
en.wikipedia,Needed_Me,daily,2016-02-14,all-access,all-agents,8
en.wikipedia,Needed_Me,daily,2016-02-15,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-16,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-17,all-access,all-agents,3
en.wikipedia,Needed_Me,daily,2016-02-18,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-19,all-access,all-agents,6
en.wikipedia,Needed_Me,daily,2016-02-20,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-21,all-access,all-agents,7
en.wikipedia,Needed_Me,daily,2016-02-22,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-23,all-access,all-agents,13
en.wikipedia,Needed_Me,daily,2016-02-24,all-access,all-agents,9
en.wikipedia,Needed_Me,daily,2016-02-25,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-26,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-02-27,all-access,all-agents,8
en.wikipedia,Needed_Me,daily,2016-02-28,all-access,all-agents,9
en.wikipedia,Needed_Me,daily,2016-02-29,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-03-01,all-access,all-agents,10
en.wikipedia,Needed_Me,daily,2016-03-02,all-access,all-agents,8
en.wikipedia,Needed_Me,daily,2016-03-03,all-access,all-agents,2
en.wikipedia,Needed_Me,daily,2016-03-04,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-03-05,all-access,all-agents,8
en.wikipedia,Needed_Me,daily,2016-03-06,all-access,all-agents,5
en.wikipedia,Needed_Me,daily,2016-03-07,all-access,all-agents,1
en.wikipedia,Needed_Me,daily,2016-03-08,all-access,all-agents,10
en.wikipedia,Needed_Me,daily,2016-03-09,all-access,all-agents,5
en.wikipedia,Needed_Me,daily,2016-03-10,all-access,all-agents,2
en.wikipedia,Needed_Me,daily,2016-03-11,all-access,all-agents,5
en.wikipedia,Needed_Me,daily,2016-03-12,all-access,all-agents,4
en.wikipedia,Needed_Me,daily,2016-03-13,all-access,all-agents,6
en.wikipedia,Needed_Me,daily,2016-03-14,all-access,all-agents,3
en.wikipedia,Needed_Me,daily,2016-03-15,all-access,all-agents,4
