project,article,granularity,timestamp,access,agent,views
en.wikipedia,Old_Town_Road,daily,2019-03-20,all-access,all-agents,31
en.wikipedia,Old_Town_Road,daily,2019-03-21,all-access,all-agents,24
en.wikipedia,Old_Town_Road,daily,2019-03-22,all-access,all-agents,37
en.wikipedia,Old_Town_Road,daily,2019-03-23,all-access,all-agents,23
en.wikipedia,Old_Town_Road,daily,2019-03-24,all-access,all-agents,34
en.wikipedia,Old_Town_Road,daily,2019-03-25,all-access,all-agents,57
en.wikipedia,Old_Town_Road,daily,2019-03-26,all-access,all-agents,53
en.wikipedia,Old_Town_Road,daily,2019-03-27,all-access,all-agents,278
en.wikipedia,Old_Town_Road,daily,2019-03-28,all-access,all-agents,2634
en.wikipedia,Old_Town_Road,daily,2019-03-29,all-access,all-agents,3939
en.wikipedia,Old_Town_Road,daily,2019-03-30,all-access,all-agents,2942
en.wikipedia,Old_Town_Road,daily,2019-03-31,all-access,all-agents,4276
en.wikipedia,Old_Town_Road,daily,2019-04-01,all-access,all-agents,4634
en.wikipedia,Old_Town_Road,daily,2019-04-02,all-access,all-agents,4239
en.wikipedia,Old_Town_Road,daily,2019-04-03,all-access,all-agents,4617
en.wikipedia,Old_Town_Road,daily,2019-04-04,all-access,all-agents,4922
en.wikipedia,Old_Town_Road,daily,2019-04-05,all-access,all-agents,23821
en.wikipedia,Old_Town_Road,daily,2019-04-06,all-access,all-agents,35695
en.wikipedia,Old_Town_Road,daily,2019-04-07,all-access,all-agents,28438
en.wikipedia,Old_Town_Road,daily,2019-04-08,all-access,all-agents,26879
en.wikipedia,Old_Town_Road,daily,2019-04-09,all-access,all-agents,36479
en.wikipedia,Old_Town_Road,daily,2019-04-10,all-access,all-agents,26658
en.wikipedia,Old_Town_Road,daily,2019-04-11,all-access,all-agents,20160
en.wikipedia,Old_Town_Road,daily,2019-04-12,all-access,all-agents,19792
en.wikipedia,Old_Town_Road,daily,2019-04-13,all-access,all-agents,16009
en.wikipedia,Old_Town_Road,daily,2019-04-14,all-access,all-agents,13301
en.wikipedia,Old_Town_Road,daily,2019-04-15,all-access,all-agents,14365
en.wikipedia,Old_Town_Road,daily,2019-04-16,all-access,all-agents,14418
en.wikipedia,Old_Town_Road,daily,2019-04-17,all-access,all-agents,12945
en.wikipedia,Old_Town_Road,daily,2019-04-18,all-access,all-agents,15216
en.wikipedia,Old_Town_Road,daily,2019-04-19,all-access,all-agents,16958
en.wikipedia,Old_Town_Road,daily,2019-04-20,all-access,all-agents,15864
en.wikipedia,Old_Town_Road,daily,2019-04-21,all-access,all-agents,14486
en.wikipedia,Old_Town_Road,daily,2019-04-22,all-access,all-agents,14072
en.wikipedia,Old_Town_Road,daily,2019-04-23,all-access,all-agents,15074
en.wikipedia,Old_Town_Road,daily,2019-04-24,all-access,all-agents,15490
en.wikipedia,Old_Town_Road,daily,2019-04-25,all-access,all-agents,13934
en.wikipedia,Old_Town_Road,daily,2019-04-26,all-access,all-agents,14928
en.wikipedia,Old_Town_Road,daily,2019-04-27,all-access,all-agents,14709
en.wikipedia,Old_Town_Road,daily,2019-04-28,all-access,all-agents,13389
en.wikipedia,Old_Town_Road,daily,2019-04-29,all-access,all-agents,13623
en.wikipedia,Old_Town_Road,daily,2019-04-30,all-access,all-agents,15591
en.wikipedia,Old_Town_Road,daily,2019-05-01,all-access,all-agents,15047
en.wikipedia,Old_Town_Road,daily,2019-05-02,all-access,all-agents,15176
en.wikipedia,Old_Town_Road,daily,2019-05-03,all-access,all-agents,15139
en.wikipedia,Old_Town_Road,daily,2019-05-04,all-access,all-agents,18841
en.wikipedia,Old_Town_Road,daily,2019-05-05,all-access,all-agents,17883
en.wikipedia,Old_Town_Road,daily,2019-05-06,all-access,all-agents,15786
en.wikipedia,Old_Town_Road,daily,2019-05-07,all-access,all-agents,15356
en.wikipedia,Old_Town_Road,daily,2019-05-08,all-access,all-agents,15660
en.wikipedia,Old_Town_Road,daily,2019-05-09,all-access,all-agents,15744
en.wikipedia,Old_Town_Road,daily,2019-05-10,all-access,all-agents,17686
en.wikipedia,Old_Town_Road,daily,2019-05-11,all-access,all-agents,19284
en.wikipedia,Old_Town_Road,daily,2019-05-12,all-access,all-agents,18445
en.wikipedia,Old_Town_Road,daily,2019-05-13,all-access,all-agents,15469
en.wikipedia,Old_Town_Road,daily,2019-05-14,all-access,all-agents,16734
en.wikipedia,Old_Town_Road,daily,2019-05-15,all-access,all-agents,16717
en.wikipedia,Old_Town_Road,daily,2019-05-16,all-access,all-agents,15681
en.wikipedia,Old_Town_Road,daily,2019-05-17,all-access,all-agents,22042
en.wikipedia,Old_Town_Road,daily,2019-05-18,all-access,all-agents,30886
en.wikipedia,Old_Town_Road,daily,2019-05-19,all-access,all-agents,33702
en.wikipedia,Old_Town_Road,daily,2019-05-20,all-access,all-agents,25914
en.wikipedia,Old_Town_Road,daily,2019-05-21,all-access,all-agents,23141
en.wikipedia,Old_Town_Road,daily,2019-05-22,all-access,all-agents,24629
en.wikipedia,Old_Town_Road,daily,2019-05-23,all-access,all-agents,23848
en.wikipedia,Old_Town_Road,daily,2019-05-24,all-access,all-agents,24548
en.wikipedia,Old_Town_Road,daily,2019-05-25,all-access,all-agents,24172
en.wikipedia,Old_Town_Road,daily,2019-05-26,all-access,all-agents,22499
en.wikipedia,Old_Town_Road,daily,2019-05-27,all-access,all-agents,21210
en.wikipedia,Old_Town_Road,daily,2019-05-28,all-access,all-agents,21403
en.wikipedia,Old_Town_Road,daily,2019-05-29,all-access,all-agents,20151
en.wikipedia,Old_Town_Road,daily,2019-05-30,all-access,all-agents,35187
en.wikipedia,Old_Town_Road,daily,2019-05-31,all-access,all-agents,37691
en.wikipedia,Old_Town_Road,daily,2019-06-01,all-access,all-agents,31748
en.wikipedia,Old_Town_Road,daily,2019-06-02,all-access,all-agents,28572
en.wikipedia,Old_Town_Road,daily,2019-06-03,all-access,all-agents,24540
en.wikipedia,Old_Town_Road,daily,2019-06-04,all-access,all-agents,22374
en.wikipedia,Old_Town_Road,daily,2019-06-05,all-access,all-agents,21228
en.wikipedia,Old_Town_Road,daily,2019-06-06,all-access,all-agents,22044
en.wikipedia,Old_Town_Road,daily,2019-06-07,all-access,all-agents,21901
en.wikipedia,Old_Town_Road,daily,2019-06-08,all-access,all-agents,24323
en.wikipedia,Old_Town_Road,daily,2019-06-09,all-access,all-agents,24604
en.wikipedia,Old_Town_Road,daily,2019-06-10,all-access,all-agents,21213
en.wikipedia,Old_Town_Road,daily,2019-06-11,all-access,all-agents,21048
en.wikipedia,Old_Town_Road,daily,2019-06-12,all-access,all-agents,19400
en.wikipedia,Old_Town_Road,daily,2019-06-13,all-access,all-agents,18373
en.wikipedia,Old_Town_Road,daily,2019-06-14,all-access,all-agents,20917
en.wikipedia,Old_Town_Road,daily,2019-06-15,all-access,all-agents,22670
en.wikipedia,Old_Town_Road,daily,2019-06-16,all-access,all-agents,21591
en.wikipedia,Old_Town_Road,daily,2019-06-17,all-access,all-agents,17432
en.wikipedia,Old_Town_Road,daily,2019-06-18,all-access,all-agents,16199
en.wikipedia,Old_Town_Road,daily,2019-06-19,all-access,all-agents,15736
en.wikipedia,Old_Town_Road,daily,2019-06-20,all-access,all-agents,17429
en.wikipedia,Old_Town_Road,daily,2019-06-21,all-access,all-agents,21890
en.wikipedia,Old_Town_Road,daily,2019-06-22,all-access,all-agents,21446
en.wikipedia,Old_Town_Road,daily,2019-06-23,all-access,all-agents,19983
en.wikipedia,Old_Town_Road,daily,2019-06-24,all-access,all-agents,26357
en.wikipedia,Old_Town_Road,daily,2019-06-25,all-access,all-agents,22708
en.wikipedia,Old_Town_Road,daily,2019-06-26,all-access,all-agents,18956
en.wikipedia,Old_Town_Road,daily,2019-06-27,all-access,all-agents,17729
en.wikipedia,Old_Town_Road,daily,2019-06-28,all-access,all-agents,17742
en.wikipedia,Old_Town_Road,daily,2019-06-29,all-access,all-agents,19393
en.wikipedia,Old_Town_Road,daily,2019-06-30,all-access,all-agents,22283
en.wikipedia,Old_Town_Road,daily,2019-07-01,all-access,all-agents,40293
en.wikipedia,Old_Town_Road,daily,2019-07-02,all-access,all-agents,35881
en.wikipedia,Old_Town_Road,daily,2019-07-03,all-access,all-agents,30378
en.wikipedia,Old_Town_Road,daily,2019-07-04,all-access,all-agents,25720
en.wikipedia,Old_Town_Road,daily,2019-07-05,all-access,all-agents,22654
en.wikipedia,Old_Town_Road,daily,2019-07-06,all-access,all-agents,21236
en.wikipedia,Old_Town_Road,daily,2019-07-07,all-access,all-agents,19939
en.wikipedia,Old_Town_Road,daily,2019-07-08,all-access,all-agents,17366
en.wikipedia,Old_Town_Road,daily,2019-07-09,all-access,all-agents,16489
en.wikipedia,Old_Town_Road,daily,2019-07-10,all-access,all-agents,15485
en.wikipedia,Old_Town_Road,daily,2019-07-11,all-access,all-agents,15226
en.wikipedia,Old_Town_Road,daily,2019-07-12,all-access,all-agents,23395
en.wikipedia,Old_Town_Road,daily,2019-07-13,all-access,all-agents,27304
en.wikipedia,Old_Town_Road,daily,2019-07-14,all-access,all-agents,20758
en.wikipedia,Old_Town_Road,daily,2019-07-15,all-access,all-agents,18693
en.wikipedia,Old_Town_Road,daily,2019-07-16,all-access,all-agents,17862
en.wikipedia,Old_Town_Road,daily,2019-07-17,all-access,all-agents,19371
en.wikipedia,Old_Town_Road,daily,2019-07-18,all-access,all-agents,20350
en.wikipedia,Old_Town_Road,daily,2019-07-19,all-access,all-agents,19369
en.wikipedia,Old_Town_Road,daily,2019-07-20,all-access,all-agents,18579
en.wikipedia,Old_Town_Road,daily,2019-07-21,all-access,all-agents,17068
en.wikipedia,Old_Town_Road,daily,2019-07-22,all-access,all-agents,17227
en.wikipedia,Old_Town_Road,daily,2019-07-23,all-access,all-agents,20860
en.wikipedia,Old_Town_Road,daily,2019-07-24,all-access,all-agents,16936
en.wikipedia,Old_Town_Road,daily,2019-07-25,all-access,all-agents,27058
en.wikipedia,Old_Town_Road,daily,2019-07-26,all-access,all-agents,23735
