project,article,granularity,timestamp,access,agent,views
en.wikipedia,One_Dance,daily,2016-04-05,all-access,all-agents,2046
en.wikipedia,One_Dance,daily,2016-04-06,all-access,all-agents,638
en.wikipedia,One_Dance,daily,2016-04-07,all-access,all-agents,414
en.wikipedia,One_Dance,daily,2016-04-08,all-access,all-agents,605
en.wikipedia,One_Dance,daily,2016-04-09,all-access,all-agents,2572
en.wikipedia,One_Dance,daily,2016-04-10,all-access,all-agents,4407
en.wikipedia,One_Dance,daily,2016-04-11,all-access,all-agents,3326
en.wikipedia,One_Dance,daily,2016-04-12,all-access,all-agents,3766
en.wikipedia,One_Dance,daily,2016-04-13,all-access,all-agents,3842
en.wikipedia,One_Dance,daily,2016-04-14,all-access,all-agents,4060
en.wikipedia,One_Dance,daily,2016-04-15,all-access,all-agents,5590
en.wikipedia,One_Dance,daily,2016-04-16,all-access,all-agents,5961
en.wikipedia,One_Dance,daily,2016-04-17,all-access,all-agents,6587
en.wikipedia,One_Dance,daily,2016-04-18,all-access,all-agents,7355
en.wikipedia,One_Dance,daily,2016-04-19,all-access,all-agents,5638
en.wikipedia,One_Dance,daily,2016-04-20,all-access,all-agents,6848
en.wikipedia,One_Dance,daily,2016-04-21,all-access,all-agents,6399
en.wikipedia,One_Dance,daily,2016-04-22,all-access,all-agents,6232
en.wikipedia,One_Dance,daily,2016-04-23,all-access,all-agents,5782
en.wikipedia,One_Dance,daily,2016-04-24,all-access,all-agents,6085
en.wikipedia,One_Dance,daily,2016-04-25,all-access,all-agents,8287
en.wikipedia,One_Dance,daily,2016-04-26,all-access,all-agents,8005
en.wikipedia,One_Dance,daily,2016-04-27,all-access,all-agents,7676
en.wikipedia,One_Dance,daily,2016-04-28,all-access,all-agents,8252
en.wikipedia,One_Dance,daily,2016-04-29,all-access,all-agents,15120
en.wikipedia,One_Dance,daily,2016-04-30,all-access,all-agents,10541
en.wikipedia,One_Dance,daily,2016-05-01,all-access,all-agents,8810
en.wikipedia,One_Dance,daily,2016-05-02,all-access,all-agents,9425
en.wikipedia,One_Dance,daily,2016-05-03,all-access,all-agents,7859
en.wikipedia,One_Dance,daily,2016-05-04,all-access,all-agents,6832
en.wikipedia,One_Dance,daily,2016-05-05,all-access,all-agents,6394
en.wikipedia,One_Dance,daily,2016-05-06,all-access,all-agents,6860
en.wikipedia,One_Dance,daily,2016-05-07,all-access,all-agents,6318
en.wikipedia,One_Dance,daily,2016-05-08,all-access,all-agents,6016
en.wikipedia,One_Dance,daily,2016-05-09,all-access,all-agents,8950
en.wikipedia,One_Dance,daily,2016-05-10,all-access,all-agents,10052
en.wikipedia,One_Dance,daily,2016-05-11,all-access,all-agents,7812
en.wikipedia,One_Dance,daily,2016-05-12,all-access,all-agents,7127
en.wikipedia,One_Dance,daily,2016-05-13,all-access,all-agents,7262
en.wikipedia,One_Dance,daily,2016-05-14,all-access,all-agents,6701
en.wikipedia,One_Dance,daily,2016-05-15,all-access,all-agents,7781
en.wikipedia,One_Dance,daily,2016-05-16,all-access,all-agents,6993
en.wikipedia,One_Dance,daily,2016-05-17,all-access,all-agents,5897
en.wikipedia,One_Dance,daily,2016-05-18,all-access,all-agents,5215
en.wikipedia,One_Dance,daily,2016-05-19,all-access,all-agents,5254
en.wikipedia,One_Dance,daily,2016-05-20,all-access,all-agents,5334
en.wikipedia,One_Dance,daily,2016-05-21,all-access,all-agents,5415
en.wikipedia,One_Dance,daily,2016-05-22,all-access,all-agents,5078
en.wikipedia,One_Dance,daily,2016-05-23,all-access,all-agents,5016
en.wikipedia,One_Dance,daily,2016-05-24,all-access,all-agents,5071
en.wikipedia,One_Dance,daily,2016-05-25,all-access,all-agents,4909
en.wikipedia,One_Dance,daily,2016-05-26,all-access,all-agents,4679
en.wikipedia,One_Dance,daily,2016-05-27,all-access,all-agents,4969
en.wikipedia,One_Dance,daily,2016-05-28,all-access,all-agents,4830
