project,article,granularity,timestamp,access,agent,views
en.wikipedia,Right_Round,daily,2015-07-01,all-access,all-agents,306
en.wikipedia,Right_Round,daily,2015-07-02,all-access,all-agents,289
en.wikipedia,Right_Round,daily,2015-07-03,all-access,all-agents,371
en.wikipedia,Right_Round,daily,2015-07-04,all-access,all-agents,377
en.wikipedia,Right_Round,daily,2015-07-05,all-access,all-agents,365
en.wikipedia,Right_Round,daily,2015-07-06,all-access,all-agents,398
en.wikipedia,Right_Round,daily,2015-07-07,all-access,all-agents,307
en.wikipedia,Right_Round,daily,2015-07-08,all-access,all-agents,332
en.wikipedia,Right_Round,daily,2015-07-09,all-access,all-agents,307
en.wikipedia,Right_Round,daily,2015-07-10,all-access,all-agents,324
en.wikipedia,Right_Round,daily,2015-07-11,all-access,all-agents,321
en.wikipedia,Right_Round,daily,2015-07-12,all-access,all-agents,313
en.wikipedia,Right_Round,daily,2015-07-13,all-access,all-agents,341
en.wikipedia,Right_Round,daily,2015-07-14,all-access,all-agents,320
en.wikipedia,Right_Round,daily,2015-07-15,all-access,all-agents,311
en.wikipedia,Right_Round,daily,2015-07-16,all-access,all-agents,314
en.wikipedia,Right_Round,daily,2015-07-17,all-access,all-agents,294
en.wikipedia,Right_Round,daily,2015-07-18,all-access,all-agents,390
en.wikipedia,Right_Round,daily,2015-07-19,all-access,all-agents,359
en.wikipedia,Right_Round,daily,2015-07-20,all-access,all-agents,307
en.wikipedia,Right_Round,daily,2015-07-21,all-access,all-agents,268
en.wikipedia,Right_Round,daily,2015-07-22,all-access,all-agents,257
en.wikipedia,Right_Round,daily,2015-07-23,all-access,all-agents,343
en.wikipedia,Right_Round,daily,2015-07-24,all-access,all-agents,319
en.wikipedia,Right_Round,daily,2015-07-25,all-access,all-agents,483
en.wikipedia,Right_Round,daily,2015-07-26,all-access,all-agents,349
en.wikipedia,Right_Round,daily,2015-07-27,all-access,all-agents,331
en.wikipedia,Right_Round,daily,2015-07-28,all-access,all-agents,305
en.wikipedia,Right_Round,daily,2015-07-29,all-access,all-agents,322
en.wikipedia,Right_Round,daily,2015-07-30,all-access,all-agents,303
en.wikipedia,Right_Round,daily,2015-07-31,all-access,all-agents,331
en.wikipedia,Right_Round,daily,2015-08-01,all-access,all-agents,332
en.wikipedia,Right_Round,daily,2015-08-02,all-access,all-agents,333
en.wikipedia,Right_Round,daily,2015-08-03,all-access,all-agents,276
en.wikipedia,Right_Round,daily,2015-08-04,all-access,all-agents,275
en.wikipedia,Right_Round,daily,2015-08-05,all-access,all-agents,346
