project,article,granularity,timestamp,access,agent,views
en.wikipedia,Silent_Night,daily,2015-07-01,all-access,all-agents,255
en.wikipedia,Silent_Night,daily,2015-07-02,all-access,all-agents,234
en.wikipedia,Silent_Night,daily,2015-07-03,all-access,all-agents,209
en.wikipedia,Silent_Night,daily,2015-07-04,all-access,all-agents,190
en.wikipedia,Silent_Night,daily,2015-07-05,all-access,all-agents,233
en.wikipedia,Silent_Night,daily,2015-07-06,all-access,all-agents,219
en.wikipedia,Silent_Night,daily,2015-07-07,all-access,all-agents,217
en.wikipedia,Silent_Night,daily,2015-07-08,all-access,all-agents,211
en.wikipedia,Silent_Night,daily,2015-07-09,all-access,all-agents,206
en.wikipedia,Silent_Night,daily,2015-07-10,all-access,all-agents,186
en.wikipedia,Silent_Night,daily,2015-07-11,all-access,all-agents,212
en.wikipedia,Silent_Night,daily,2015-07-12,all-access,all-agents,231
en.wikipedia,Silent_Night,daily,2015-07-13,all-access,all-agents,304
en.wikipedia,Silent_Night,daily,2015-07-14,all-access,all-agents,239
en.wikipedia,Silent_Night,daily,2015-07-15,all-access,all-agents,303
en.wikipedia,Silent_Night,daily,2015-07-16,all-access,all-agents,276
en.wikipedia,Silent_Night,daily,2015-07-17,all-access,all-agents,244
en.wikipedia,Silent_Night,daily,2015-07-18,all-access,all-agents,230
en.wikipedia,Silent_Night,daily,2015-07-19,all-access,all-agents,242
en.wikipedia,Silent_Night,daily,2015-07-20,all-access,all-agents,261
en.wikipedia,Silent_Night,daily,2015-07-21,all-access,all-agents,210
en.wikipedia,Silent_Night,daily,2015-07-22,all-access,all-agents,226
en.wikipedia,Silent_Night,daily,2015-07-23,all-access,all-agents,222
en.wikipedia,Silent_Night,daily,2015-07-24,all-access,all-agents,239
en.wikipedia,Silent_Night,daily,2015-07-25,all-access,all-agents,245
en.wikipedia,Silent_Night,daily,2015-07-26,all-access,all-agents,224
en.wikipedia,Silent_Night,daily,2015-07-27,all-access,all-agents,244
en.wikipedia,Silent_Night,daily,2015-07-28,all-access,all-agents,189
en.wikipedia,Silent_Night,daily,2015-07-29,all-access,all-agents,253
en.wikipedia,Silent_Night,daily,2015-07-30,all-access,all-agents,869
en.wikipedia,Silent_Night,daily,2015-07-31,all-access,all-agents,217
en.wikipedia,Silent_Night,daily,2015-08-01,all-access,all-agents,203
en.wikipedia,Silent_Night,daily,2015-08-02,all-access,all-agents,222
en.wikipedia,Silent_Night,daily,2015-08-03,all-access,all-agents,199
en.wikipedia,Silent_Night,daily,2015-08-04,all-access,all-agents,232
en.wikipedia,Silent_Night,daily,2015-08-05,all-access,all-agents,251
en.wikipedia,Silent_Night,daily,2015-08-06,all-access,all-agents,204
en.wikipedia,Silent_Night,daily,2015-08-07,all-access,all-agents,293
en.wikipedia,Silent_Night,daily,2015-08-08,all-access,all-agents,244
en.wikipedia,Silent_Night,daily,2015-08-09,all-access,all-agents,266
