project,article,granularity,timestamp,access,agent,views
en.wikipedia,Something_Just_Like_This,daily,2017-02-22,all-access,all-agents,3619
en.wikipedia,Something_Just_Like_This,daily,2017-02-23,all-access,all-agents,14908
en.wikipedia,Something_Just_Like_This,daily,2017-02-24,all-access,all-agents,8947
en.wikipedia,Something_Just_Like_This,daily,2017-02-25,all-access,all-agents,7664
en.wikipedia,Something_Just_Like_This,daily,2017-02-26,all-access,all-agents,6875
en.wikipedia,Something_Just_Like_This,daily,2017-02-27,all-access,all-agents,5554
en.wikipedia,Something_Just_Like_This,daily,2017-02-28,all-access,all-agents,5192
en.wikipedia,Something_Just_Like_This,daily,2017-03-01,all-access,all-agents,4607
en.wikipedia,Something_Just_Like_This,daily,2017-03-02,all-access,all-agents,5588
en.wikipedia,Something_Just_Like_This,daily,2017-03-03,all-access,all-agents,5841
en.wikipedia,Something_Just_Like_This,daily,2017-03-04,all-access,all-agents,4861
en.wikipedia,Something_Just_Like_This,daily,2017-03-05,all-access,all-agents,4572
en.wikipedia,Something_Just_Like_This,daily,2017-03-06,all-access,all-agents,5771
en.wikipedia,Something_Just_Like_This,daily,2017-03-07,all-access,all-agents,4917
en.wikipedia,Something_Just_Like_This,daily,2017-03-08,all-access,all-agents,3960
en.wikipedia,Something_Just_Like_This,daily,2017-03-09,all-access,all-agents,3814
en.wikipedia,Something_Just_Like_This,daily,2017-03-10,all-access,all-agents,3677
en.wikipedia,Something_Just_Like_This,daily,2017-03-11,all-access,all-agents,3649
en.wikipedia,Something_Just_Like_This,daily,2017-03-12,all-access,all-agents,3794
en.wikipedia,Something_Just_Like_This,daily,2017-03-13,all-access,all-agents,3478
en.wikipedia,Something_Just_Like_This,daily,2017-03-14,all-access,all-agents,3744
en.wikipedia,Something_Just_Like_This,daily,2017-03-15,all-access,all-agents,3281
en.wikipedia,Something_Just_Like_This,daily,2017-03-16,all-access,all-agents,2872
en.wikipedia,Something_Just_Like_This,daily,2017-03-17,all-access,all-agents,3015
en.wikipedia,Something_Just_Like_This,daily,2017-03-18,all-access,all-agents,3272
en.wikipedia,Something_Just_Like_This,daily,2017-03-19,all-access,all-agents,3305
en.wikipedia,Something_Just_Like_This,daily,2017-03-20,all-access,all-agents,3131
en.wikipedia,Something_Just_Like_This,daily,2017-03-21,all-access,all-agents,3302
en.wikipedia,Something_Just_Like_This,daily,2017-03-22,all-access,all-agents,2651
en.wikipedia,Something_Just_Like_This,daily,2017-03-23,all-access,all-agents,2842
en.wikipedia,Something_Just_Like_This,daily,2017-03-24,all-access,all-agents,2667
en.wikipedia,Something_Just_Like_This,daily,2017-03-25,all-access,all-agents,2797
en.wikipedia,Something_Just_Like_This,daily,2017-03-26,all-access,all-agents,3066
en.wikipedia,Something_Just_Like_This,daily,2017-03-27,all-access,all-agents,3206
en.wikipedia,Something_Just_Like_This,daily,2017-03-28,all-access,all-agents,3427
en.wikipedia,Something_Just_Like_This,daily,2017-03-29,all-access,all-agents,2892
en.wikipedia,Something_Just_Like_This,daily,2017-03-30,all-access,all-agents,2783
en.wikipedia,Something_Just_Like_This,daily,2017-03-31,all-access,all-agents,3111
en.wikipedia,Something_Just_Like_This,daily,2017-04-01,all-access,all-agents,3467
en.wikipedia,Something_Just_Like_This,daily,2017-04-02,all-access,all-agents,3383
en.wikipedia,Something_Just_Like_This,daily,2017-04-03,all-access,all-agents,3265
en.wikipedia,Something_Just_Like_This,daily,2017-04-04,all-access,all-agents,3498
en.wikipedia,Something_Just_Like_This,daily,2017-04-05,all-access,all-agents,3148
en.wikipedia,Something_Just_Like_This,daily,2017-04-06,all-access,all-agents,3260
en.wikipedia,Something_Just_Like_This,daily,2017-04-07,all-access,all-agents,4303
en.wikipedia,Something_Just_Like_This,daily,2017-04-08,all-access,all-agents,3956
en.wikipedia,Something_Just_Like_This,daily,2017-04-09,all-access,all-agents,4151
en.wikipedia,Something_Just_Like_This,daily,2017-04-10,all-access,all-agents,3693
en.wikipedia,Something_Just_Like_This,daily,2017-04-11,all-access,all-agents,3412
en.wikipedia,Something_Just_Like_This,daily,2017-04-12,all-access,all-agents,3219
en.wikipedia,Something_Just_Like_This,daily,2017-04-13,all-access,all-agents,3307
en.wikipedia,Something_Just_Like_This,daily,2017-04-14,all-access,all-agents,3443
en.wikipedia,Something_Just_Like_This,daily,2017-04-15,all-access,all-agents,3128
en.wikipedia,Something_Just_Like_This,daily,2017-04-16,all-access,all-agents,3138
en.wikipedia,Something_Just_Like_This,daily,2017-04-17,all-access,all-agents,3087
en.wikipedia,Something_Just_Like_This,daily,2017-04-18,all-access,all-agents,3088
en.wikipedia,Something_Just_Like_This,daily,2017-04-19,all-access,all-agents,2944
en.wikipedia,Something_Just_Like_This,daily,2017-04-20,all-access,all-agents,2850
