project,article,granularity,timestamp,access,agent,views
en.wikipedia,Sugar,daily,2015-07-01,all-access,all-agents,3036
en.wikipedia,Sugar,daily,2015-07-02,all-access,all-agents,3145
en.wikipedia,Sugar,daily,2015-07-03,all-access,all-agents,2680
en.wikipedia,Sugar,daily,2015-07-04,all-access,all-agents,2580
en.wikipedia,Sugar,daily,2015-07-05,all-access,all-agents,2715
en.wikipedia,Sugar,daily,2015-07-06,all-access,all-agents,2989
en.wikipedia,Sugar,daily,2015-07-07,all-access,all-agents,3283
en.wikipedia,Sugar,daily,2015-07-08,all-access,all-agents,3026
en.wikipedia,Sugar,daily,2015-07-09,all-access,all-agents,2977
en.wikipedia,Sugar,daily,2015-07-10,all-access,all-agents,2830
en.wikipedia,Sugar,daily,2015-07-11,all-access,all-agents,2538
en.wikipedia,Sugar,daily,2015-07-12,all-access,all-agents,2872
en.wikipedia,Sugar,daily,2015-07-13,all-access,all-agents,3183
en.wikipedia,Sugar,daily,2015-07-14,all-access,all-agents,3046
en.wikipedia,Sugar,daily,2015-07-15,all-access,all-agents,3099
en.wikipedia,Sugar,daily,2015-07-16,all-access,all-agents,2972
en.wikipedia,Sugar,daily,2015-07-17,all-access,all-agents,2968
en.wikipedia,Sugar,daily,2015-07-18,all-access,all-agents,2951
en.wikipedia,Sugar,daily,2015-07-19,all-access,all-agents,2907
en.wikipedia,Sugar,daily,2015-07-20,all-access,all-agents,3190
en.wikipedia,Sugar,daily,2015-07-21,all-access,all-agents,3207
en.wikipedia,Sugar,daily,2015-07-22,all-access,all-agents,3246
en.wikipedia,Sugar,daily,2015-07-23,all-access,all-agents,3118
en.wikipedia,Sugar,daily,2015-07-24,all-access,all-agents,2842
en.wikipedia,Sugar,daily,2015-07-25,all-access,all-agents,3245
en.wikipedia,Sugar,daily,2015-07-26,all-access,all-agents,2974
en.wikipedia,Sugar,daily,2015-07-27,all-access,all-agents,3283
en.wikipedia,Sugar,daily,2015-07-28,all-access,all-agents,3538
en.wikipedia,Sugar,daily,2015-07-29,all-access,all-agents,3391
en.wikipedia,Sugar,daily,2015-07-30,all-access,all-agents,3277
en.wikipedia,Sugar,daily,2015-07-31,all-access,all-agents,2984
en.wikipedia,Sugar,daily,2015-08-01,all-access,all-agents,2779
en.wikipedia,Sugar,daily,2015-08-02,all-access,all-agents,2852
