project,article,granularity,timestamp,access,agent,views
en.wikipedia,Tik_Tok,daily,2015-07-01,all-access,all-agents,292
en.wikipedia,Tik_Tok,daily,2015-07-02,all-access,all-agents,297
en.wikipedia,Tik_Tok,daily,2015-07-03,all-access,all-agents,280
en.wikipedia,Tik_Tok,daily,2015-07-04,all-access,all-agents,295
en.wikipedia,Tik_Tok,daily,2015-07-05,all-access,all-agents,324
en.wikipedia,Tik_Tok,daily,2015-07-06,all-access,all-agents,323
en.wikipedia,Tik_Tok,daily,2015-07-07,all-access,all-agents,279
en.wikipedia,Tik_Tok,daily,2015-07-08,all-access,all-agents,542
en.wikipedia,Tik_Tok,daily,2015-07-09,all-access,all-agents,298
en.wikipedia,Tik_Tok,daily,2015-07-10,all-access,all-agents,323
en.wikipedia,Tik_Tok,daily,2015-07-11,all-access,all-agents,282
en.wikipedia,Tik_Tok,daily,2015-07-12,all-access,all-agents,277
en.wikipedia,Tik_Tok,daily,2015-07-13,all-access,all-agents,322
en.wikipedia,Tik_Tok,daily,2015-07-14,all-access,all-agents,276
en.wikipedia,Tik_Tok,daily,2015-07-15,all-access,all-agents,316
en.wikipedia,Tik_Tok,daily,2015-07-16,all-access,all-agents,247
en.wikipedia,Tik_Tok,daily,2015-07-17,all-access,all-agents,305
en.wikipedia,Tik_Tok,daily,2015-07-18,all-access,all-agents,325
en.wikipedia,Tik_Tok,daily,2015-07-19,all-access,all-agents,287
en.wikipedia,Tik_Tok,daily,2015-07-20,all-access,all-agents,315
en.wikipedia,Tik_Tok,daily,2015-07-21,all-access,all-agents,276
en.wikipedia,Tik_Tok,daily,2015-07-22,all-access,all-agents,279
en.wikipedia,Tik_Tok,daily,2015-07-23,all-access,all-agents,319
en.wikipedia,Tik_Tok,daily,2015-07-24,all-access,all-agents,263
en.wikipedia,Tik_Tok,daily,2015-07-25,all-access,all-agents,289
en.wikipedia,Tik_Tok,daily,2015-07-26,all-access,all-agents,262
en.wikipedia,Tik_Tok,daily,2015-07-27,all-access,all-agents,313
en.wikipedia,Tik_Tok,daily,2015-07-28,all-access,all-agents,273
en.wikipedia,Tik_Tok,daily,2015-07-29,all-access,all-agents,262
en.wikipedia,Tik_Tok,daily,2015-07-30,all-access,all-agents,279
en.wikipedia,Tik_Tok,daily,2015-07-31,all-access,all-agents,282
en.wikipedia,Tik_Tok,daily,2015-08-01,all-access,all-agents,281
en.wikipedia,Tik_Tok,daily,2015-08-02,all-access,all-agents,266
en.wikipedia,Tik_Tok,daily,2015-08-03,all-access,all-agents,243
en.wikipedia,Tik_Tok,daily,2015-08-04,all-access,all-agents,289
