project,article,granularity,timestamp,access,agent,views
en.wikipedia,Uptown_Funk,daily,2015-07-01,all-access,all-agents,4881
en.wikipedia,Uptown_Funk,daily,2015-07-02,all-access,all-agents,4466
en.wikipedia,Uptown_Funk,daily,2015-07-03,all-access,all-agents,5047
en.wikipedia,Uptown_Funk,daily,2015-07-04,all-access,all-agents,5314
en.wikipedia,Uptown_Funk,daily,2015-07-05,all-access,all-agents,5568
en.wikipedia,Uptown_Funk,daily,2015-07-06,all-access,all-agents,4284
en.wikipedia,Uptown_Funk,daily,2015-07-07,all-access,all-agents,4080
en.wikipedia,Uptown_Funk,daily,2015-07-08,all-access,all-agents,4387
en.wikipedia,Uptown_Funk,daily,2015-07-09,all-access,all-agents,4231
en.wikipedia,Uptown_Funk,daily,2015-07-10,all-access,all-agents,4542
en.wikipedia,Uptown_Funk,daily,2015-07-11,all-access,all-agents,4668
en.wikipedia,Uptown_Funk,daily,2015-07-12,all-access,all-agents,4542
en.wikipedia,Uptown_Funk,daily,2015-07-13,all-access,all-agents,4081
en.wikipedia,Uptown_Funk,daily,2015-07-14,all-access,all-agents,3780
en.wikipedia,Uptown_Funk,daily,2015-07-15,all-access,all-agents,3866
en.wikipedia,Uptown_Funk,daily,2015-07-16,all-access,all-agents,3764
en.wikipedia,Uptown_Funk,daily,2015-07-17,all-access,all-agents,3944
en.wikipedia,Uptown_Funk,daily,2015-07-18,all-access,all-agents,4539
en.wikipedia,Uptown_Funk,daily,2015-07-19,all-access,all-agents,4433
en.wikipedia,Uptown_Funk,daily,2015-07-20,all-access,all-agents,3764
en.wikipedia,Uptown_Funk,daily,2015-07-21,all-access,all-agents,3802
en.wikipedia,Uptown_Funk,daily,2015-07-22,all-access,all-agents,4461
en.wikipedia,Uptown_Funk,daily,2015-07-23,all-access,all-agents,4131
en.wikipedia,Uptown_Funk,daily,2015-07-24,all-access,all-agents,4337
en.wikipedia,Uptown_Funk,daily,2015-07-25,all-access,all-agents,4460
en.wikipedia,Uptown_Funk,daily,2015-07-26,all-access,all-agents,4257
en.wikipedia,Uptown_Funk,daily,2015-07-27,all-access,all-agents,3676
en.wikipedia,Uptown_Funk,daily,2015-07-28,all-access,all-agents,3635
en.wikipedia,Uptown_Funk,daily,2015-07-29,all-access,all-agents,3520
en.wikipedia,Uptown_Funk,daily,2015-07-30,all-access,all-agents,3522
en.wikipedia,Uptown_Funk,daily,2015-07-31,all-access,all-agents,3793
en.wikipedia,Uptown_Funk,daily,2015-08-01,all-access,all-agents,4180
en.wikipedia,Uptown_Funk,daily,2015-08-02,all-access,all-agents,3954
en.wikipedia,Uptown_Funk,daily,2015-08-03,all-access,all-agents,3486
en.wikipedia,Uptown_Funk,daily,2015-08-04,all-access,all-agents,3921
en.wikipedia,Uptown_Funk,daily,2015-08-05,all-access,all-agents,3711
en.wikipedia,Uptown_Funk,daily,2015-08-06,all-access,all-agents,3436
en.wikipedia,Uptown_Funk,daily,2015-08-07,all-access,all-agents,3233
en.wikipedia,Uptown_Funk,daily,2015-08-08,all-access,all-agents,3658
en.wikipedia,Uptown_Funk,daily,2015-08-09,all-access,all-agents,3757
en.wikipedia,Uptown_Funk,daily,2015-08-10,all-access,all-agents,3041
en.wikipedia,Uptown_Funk,daily,2015-08-11,all-access,all-agents,3107
en.wikipedia,Uptown_Funk,daily,2015-08-12,all-access,all-agents,3228
en.wikipedia,Uptown_Funk,daily,2015-08-13,all-access,all-agents,3272
en.wikipedia,Uptown_Funk,daily,2015-08-14,all-access,all-agents,3601
en.wikipedia,Uptown_Funk,daily,2015-08-15,all-access,all-agents,3510
en.wikipedia,Uptown_Funk,daily,2015-08-16,all-access,all-agents,4018
en.wikipedia,Uptown_Funk,daily,2015-08-17,all-access,all-agents,3135
en.wikipedia,Uptown_Funk,daily,2015-08-18,all-access,all-agents,3117
en.wikipedia,Uptown_Funk,daily,2015-08-19,all-access,all-agents,3179
en.wikipedia,Uptown_Funk,daily,2015-08-20,all-access,all-agents,3006
en.wikipedia,Uptown_Funk,daily,2015-08-21,all-access,all-agents,3395
en.wikipedia,Uptown_Funk,daily,2015-08-22,all-access,all-agents,3464
en.wikipedia,Uptown_Funk,daily,2015-08-23,all-access,all-agents,3510
en.wikipedia,Uptown_Funk,daily,2015-08-24,all-access,all-agents,3011
en.wikipedia,Uptown_Funk,daily,2015-08-25,all-access,all-agents,2898
en.wikipedia,Uptown_Funk,daily,2015-08-26,all-access,all-agents,2852
en.wikipedia,Uptown_Funk,daily,2015-08-27,all-access,all-agents,2982
en.wikipedia,Uptown_Funk,daily,2015-08-28,all-access,all-agents,3222
en.wikipedia,Uptown_Funk,daily,2015-08-29,all-access,all-agents,3831
en.wikipedia,Uptown_Funk,daily,2015-08-30,all-access,all-agents,4297
en.wikipedia,Uptown_Funk,daily,2015-08-31,all-access,all-agents,6419
en.wikipedia,Uptown_Funk,daily,2015-09-01,all-access,all-agents,3415
en.wikipedia,Uptown_Funk,daily,2015-09-02,all-access,all-agents,3362
en.wikipedia,Uptown_Funk,daily,2015-09-03,all-access,all-agents,3113
en.wikipedia,Uptown_Funk,daily,2015-09-04,all-access,all-agents,3225
en.wikipedia,Uptown_Funk,daily,2015-09-05,all-access,all-agents,3973
en.wikipedia,Uptown_Funk,daily,2015-09-06,all-access,all-agents,4034
en.wikipedia,Uptown_Funk,daily,2015-09-07,all-access,all-agents,3815
en.wikipedia,Uptown_Funk,daily,2015-09-08,all-access,all-agents,3050
en.wikipedia,Uptown_Funk,daily,2015-09-09,all-access,all-agents,3268
en.wikipedia,Uptown_Funk,daily,2015-09-10,all-access,all-agents,3272
en.wikipedia,Uptown_Funk,daily,2015-09-11,all-access,all-agents,3109
en.wikipedia,Uptown_Funk,daily,2015-09-12,all-access,all-agents,3383
en.wikipedia,Uptown_Funk,daily,2015-09-13,all-access,all-agents,3529
en.wikipedia,Uptown_Funk,daily,2015-09-14,all-access,all-agents,2568
en.wikipedia,Uptown_Funk,daily,2015-09-15,all-access,all-agents,2662
en.wikipedia,Uptown_Funk,daily,2015-09-16,all-access,all-agents,2639
en.wikipedia,Uptown_Funk,daily,2015-09-17,all-access,all-agents,2446
en.wikipedia,Uptown_Funk,daily,2015-09-18,all-access,all-agents,2855
en.wikipedia,Uptown_Funk,daily,2015-09-19,all-access,all-agents,3732
en.wikipedia,Uptown_Funk,daily,2015-09-20,all-access,all-agents,3972
en.wikipedia,Uptown_Funk,daily,2015-09-21,all-access,all-agents,4116
en.wikipedia,Uptown_Funk,daily,2015-09-22,all-access,all-agents,4518
en.wikipedia,Uptown_Funk,daily,2015-09-23,all-access,all-agents,3610
en.wikipedia,Uptown_Funk,daily,2015-09-24,all-access,all-agents,2777
en.wikipedia,Uptown_Funk,daily,2015-09-25,all-access,all-agents,3082
en.wikipedia,Uptown_Funk,daily,2015-09-26,all-access,all-agents,3062
en.wikipedia,Uptown_Funk,daily,2015-09-27,all-access,all-agents,3077
en.wikipedia,Uptown_Funk,daily,2015-09-28,all-access,all-agents,2611
en.wikipedia,Uptown_Funk,daily,2015-09-29,all-access,all-agents,2455
en.wikipedia,Uptown_Funk,daily,2015-09-30,all-access,all-agents,2988
en.wikipedia,Uptown_Funk,daily,2015-10-01,all-access,all-agents,2703
en.wikipedia,Uptown_Funk,daily,2015-10-02,all-access,all-agents,2792
en.wikipedia,Uptown_Funk,daily,2015-10-03,all-access,all-agents,3033
en.wikipedia,Uptown_Funk,daily,2015-10-04,all-access,all-agents,2827
en.wikipedia,Uptown_Funk,daily,2015-10-05,all-access,all-agents,2445
en.wikipedia,Uptown_Funk,daily,2015-10-06,all-access,all-agents,2402
en.wikipedia,Uptown_Funk,daily,2015-10-07,all-access,all-agents,2335
en.wikipedia,Uptown_Funk,daily,2015-10-08,all-access,all-agents,2459
en.wikipedia,Uptown_Funk,daily,2015-10-09,all-access,all-agents,2875
en.wikipedia,Uptown_Funk,daily,2015-10-10,all-access,all-agents,2945
en.wikipedia,Uptown_Funk,daily,2015-10-11,all-access,all-agents,3120
en.wikipedia,Uptown_Funk,daily,2015-10-12,all-access,all-agents,2714
en.wikipedia,Uptown_Funk,daily,2015-10-13,all-access,all-agents,2531
en.wikipedia,Uptown_Funk,daily,2015-10-14,all-access,all-agents,2516
en.wikipedia,Uptown_Funk,daily,2015-10-15,all-access,all-agents,2369
en.wikipedia,Uptown_Funk,daily,2015-10-16,all-access,all-agents,2701
en.wikipedia,Uptown_Funk,daily,2015-10-17,all-access,all-agents,2869
en.wikipedia,Uptown_Funk,daily,2015-10-18,all-access,all-agents,2776
en.wikipedia,Uptown_Funk,daily,2015-10-19,all-access,all-agents,2412
en.wikipedia,Uptown_Funk,daily,2015-10-20,all-access,all-agents,2355
en.wikipedia,Uptown_Funk,daily,2015-10-21,all-access,all-agents,2425
en.wikipedia,Uptown_Funk,daily,2015-10-22,all-access,all-agents,2361
en.wikipedia,Uptown_Funk,daily,2015-10-23,all-access,all-agents,2506
en.wikipedia,Uptown_Funk,daily,2015-10-24,all-access,all-agents,4177
en.wikipedia,Uptown_Funk,daily,2015-10-25,all-access,all-agents,3668
en.wikipedia,Uptown_Funk,daily,2015-10-26,all-access,all-agents,2797
en.wikipedia,Uptown_Funk,daily,2015-10-27,all-access,all-agents,2547
en.wikipedia,Uptown_Funk,daily,2015-10-28,all-access,all-agents,2450
en.wikipedia,Uptown_Funk,daily,2015-10-29,all-access,all-agents,2378
en.wikipedia,Uptown_Funk,daily,2015-10-30,all-access,all-agents,2459
en.wikipedia,Uptown_Funk,daily,2015-10-31,all-access,all-agents,2552
en.wikipedia,Uptown_Funk,daily,2015-11-01,all-access,all-agents,2798
en.wikipedia,Uptown_Funk,daily,2015-11-02,all-access,all-agents,2386
en.wikipedia,Uptown_Funk,daily,2015-11-03,all-access,all-agents,2260
en.wikipedia,Uptown_Funk,daily,2015-11-04,all-access,all-agents,2188
en.wikipedia,Uptown_Funk,daily,2015-11-05,all-access,all-agents,2322
en.wikipedia,Uptown_Funk,daily,2015-11-06,all-access,all-agents,2452
en.wikipedia,Uptown_Funk,daily,2015-11-07,all-access,all-agents,2818
en.wikipedia,Uptown_Funk,daily,2015-11-08,all-access,all-agents,3257
en.wikipedia,Uptown_Funk,daily,2015-11-09,all-access,all-agents,2699
en.wikipedia,Uptown_Funk,daily,2015-11-10,all-access,all-agents,2513
