project,article,granularity,timestamp,access,agent,views
en.wikipedia,Work,daily,2016-01-01,all-access,all-agents,167
en.wikipedia,Work,daily,2016-01-02,all-access,all-agents,218
en.wikipedia,Work,daily,2016-01-03,all-access,all-agents,240
en.wikipedia,Work,daily,2016-01-04,all-access,all-agents,331
en.wikipedia,Work,daily,2016-01-05,all-access,all-agents,376
en.wikipedia,Work,daily,2016-01-06,all-access,all-agents,342
en.wikipedia,Work,daily,2016-01-07,all-access,all-agents,322
en.wikipedia,Work,daily,2016-01-08,all-access,all-agents,298
en.wikipedia,Work,daily,2016-01-09,all-access,all-agents,283
en.wikipedia,Work,daily,2016-01-10,all-access,all-agents,308
en.wikipedia,Work,daily,2016-01-11,all-access,all-agents,353
en.wikipedia,Work,daily,2016-01-12,all-access,all-agents,420
en.wikipedia,Work,daily,2016-01-13,all-access,all-agents,435
en.wikipedia,Work,daily,2016-01-14,all-access,all-agents,347
en.wikipedia,Work,daily,2016-01-15,all-access,all-agents,293
en.wikipedia,Work,daily,2016-01-16,all-access,all-agents,228
en.wikipedia,Work,daily,2016-01-17,all-access,all-agents,251
en.wikipedia,Work,daily,2016-01-18,all-access,all-agents,333
en.wikipedia,Work,daily,2016-01-19,all-access,all-agents,377
en.wikipedia,Work,daily,2016-01-20,all-access,all-agents,338
en.wikipedia,Work,daily,2016-01-21,all-access,all-agents,310
en.wikipedia,Work,daily,2016-01-22,all-access,all-agents,305
en.wikipedia,Work,daily,2016-01-23,all-access,all-agents,248
en.wikipedia,Work,daily,2016-01-24,all-access,all-agents,277
en.wikipedia,Work,daily,2016-01-25,all-access,all-agents,304
en.wikipedia,Work,daily,2016-01-26,all-access,all-agents,372
en.wikipedia,Work,daily,2016-01-27,all-access,all-agents,501
en.wikipedia,Work,daily,2016-01-28,all-access,all-agents,476
en.wikipedia,Work,daily,2016-01-29,all-access,all-agents,343
en.wikipedia,Work,daily,2016-01-30,all-access,all-agents,286
en.wikipedia,Work,daily,2016-01-31,all-access,all-agents,321
en.wikipedia,Work,daily,2016-02-01,all-access,all-agents,427
en.wikipedia,Work,daily,2016-02-02,all-access,all-agents,470
en.wikipedia,Work,daily,2016-02-03,all-access,all-agents,420
en.wikipedia,Work,daily,2016-02-04,all-access,all-agents,416
en.wikipedia,Work,daily,2016-02-05,all-access,all-agents,367
en.wikipedia,Work,daily,2016-02-06,all-access,all-agents,278
en.wikipedia,Work,daily,2016-02-07,all-access,all-agents,269
en.wikipedia,Work,daily,2016-02-08,all-access,all-agents,388
en.wikipedia,Work,daily,2016-02-09,all-access,all-agents,428
