,Music1,Music2,Distance
0,(Everything I Do) I Do It for You,7 Rings,21.229623563920704
1,(Everything I Do) I Do It for You,A Whiter Shade of Pale,11.361868835474873
2,(Everything I Do) I Do It for You,All About That Bass,13.781489916523533
3,(Everything I Do) I Do It for You,All I Want for Christmas Is You,29.273904958394187
4,(Everything I Do) I Do It for You,Bad Romance,8.18046908337365
5,(Everything I Do) I Do It for You,Bei Mir Bist Du Schön,237.3734552835355
6,(Everything I Do) I Do It for You,Blurred Lines,17.945943516499526
7,(Everything I Do) I Do It for You,Call Me Maybe,8.341183495086772
8,(Everything I Do) I Do It for You,Chirpy Chirpy Cheep Cheep,59.04093444117663
9,(Everything I Do) I Do It for You,Dance Monkey,24.2842470137793
10,(Everything I Do) I Do It for You,Despacito,31.197581424998262
11,(Everything I Do) I Do It for You,Earth Angel,30.888710442770012
12,(Everything I Do) I Do It for You,Fernando,69.30200147791922
13,(Everything I Do) I Do It for You,Gangnam Style,32.007789801067084
14,(Everything I Do) I Do It for You,Girls Like You,62.918494637311525
15,(Everything I Do) I Do It for You,Grenade,20.608827513153972
16,(Everything I Do) I Do It for You,Havana,33.73387151465574
17,(Everything I Do) I Do It for You,Hips Don't Lie,11.695048643010528
18,(Everything I Do) I Do It for You,I Took a Pill in Ibiza,22.14262021338212
19,(Everything I Do) I Do It for You,I Want to Hold Your Hand,10.643669575128568
20,(Everything I Do) I Do It for You,I Will Always Love You,28.614742353092677
21,(Everything I Do) I Do It for You,I'm a Believer,10.567330424920867
22,(Everything I Do) I Do It for You,If I Didn't Care,88.7223384920363
23,(Everything I Do) I Do It for You,In the Summertime,84.0720319275135
24,(Everything I Do) I Do It for You,Kung Fu Fighting,12.94100896275457
25,(Everything I Do) I Do It for You,Lean On,25.089925663635377
26,(Everything I Do) I Do It for You,Let It Go,78.4201708189715
27,(Everything I Do) I Do It for You,Love Me like You Do,12.988226722075154
28,(Everything I Do) I Do It for You,Love on the Brain,63.89453861437445
29,(Everything I Do) I Do It for You,Love Yourself,60.71144489465561
30,(Everything I Do) I Do It for You,Macarena,75.78758368181542
31,(Everything I Do) I Do It for You,Moves Like Jagger,106.77466597183326
32,(Everything I Do) I Do It for You,Mundian To Bach Ke,35.5864713576542
33,(Everything I Do) I Do It for You,My Heart Will Go On,13.943071864986386
34,(Everything I Do) I Do It for You,My Sharona,9.634277500718932
