,Article_1,Article_2,Similarity
0,(Everything I Do) I Do It for You,7 Rings,0.9495254646763122
1,(Everything I Do) I Do It for You,A Whiter Shade of Pale,0.8830603231989936
2,(Everything I Do) I Do It for You,All About That Bass,0.9217842370943311
3,(Everything I Do) I Do It for You,All I Want for Christmas Is You,0.9389587071604187
4,(Everything I Do) I Do It for You,Bad Romance,0.9442324049518455
5,(Everything I Do) I Do It for You,Bei Mir Bist Du Schön,0.9018069099280982
6,(Everything I Do) I Do It for You,Blurred Lines,0.9480898803534611
7,(Everything I Do) I Do It for You,Call Me Maybe,0.9384595910953574
8,(Everything I Do) I Do It for You,Chirpy Chirpy Cheep Cheep,0.9037852412265495
9,(Everything I Do) I Do It for You,Dance Monkey,0.8978436464207535
10,(Everything I Do) I Do It for You,Despacito,0.949945819260591
11,(Everything I Do) I Do It for You,Earth Angel,0.9310233702397893
12,(Everything I Do) I Do It for You,Gangnam Style,0.9381967154561265
13,(Everything I Do) I Do It for You,Girls Like You,0.9431059426718444
14,(Everything I Do) I Do It for You,Grenade,0.8010032379314626
15,(Everything I Do) I Do It for You,Havana,0.8503555237859874
16,(Everything I Do) I Do It for You,Hips Don't Lie,0.9069712286419047
17,(Everything I Do) I Do It for You,I Took a Pill in Ibiza,0.9318626662899389
18,(Everything I Do) I Do It for You,I Want to Hold Your Hand,0.8992341253074286
19,(Everything I Do) I Do It for You,I Will Always Love You,0.9071936451377165
20,(Everything I Do) I Do It for You,I'm a Believer,0.9460403882645801
21,(Everything I Do) I Do It for You,If I Didn't Care,0.8499523302200556
22,(Everything I Do) I Do It for You,In the Summertime,0.9032274870604319
23,(Everything I Do) I Do It for You,Kung Fu Fighting,0.9298655018755476
24,(Everything I Do) I Do It for You,Lean On,0.9105806722472846
25,(Everything I Do) I Do It for You,Let It Go,0.8957923968918122
26,(Everything I Do) I Do It for You,Love Me like You Do,0.9285931392247256
27,(Everything I Do) I Do It for You,Love on the Brain,0.9375851817969392
28,(Everything I Do) I Do It for You,Love Yourself,0.9299939678697702
29,(Everything I Do) I Do It for You,Macarena,0.8801877223319969
30,(Everything I Do) I Do It for You,Moves Like Jagger,0.9650279853112925
31,(Everything I Do) I Do It for You,Mundian To Bach Ke,0.8547651578266404
32,(Everything I Do) I Do It for You,My Heart Will Go On,0.9443986231591226
33,(Everything I Do) I Do It for You,My Sharona,0.9371663229578593
34,(Everything I Do) I Do It for You,My Sweet Lord,0.9253188151904799
35,(Everything I Do) I Do It for You,Needed Me,0.9227510517472074
36,(Everything I Do) I Do It for You,Old Town Road,0.9039785022532029
37,(Everything I Do) I Do It for You,One Dance,0.9265544972447882
38,(Everything I Do) I Do It for You,Right Round,0.9266381216875706
39,(Everything I Do) I Do It for You,Rock Around the Clock,0.9524835957698056
40,(Everything I Do) I Do It for You,Rock Your Baby,0.9195473121852169
41,(Everything I Do) I Do It for You,Rolling in the Deep,0.9433913633588691
42,(Everything I Do) I Do It for You,Rudolph the Red-Nosed Reindeer,0.7838023613074335
43,(Everything I Do) I Do It for You,See You Again,0.9222080379281069
44,(Everything I Do) I Do It for You,Shape of You,0.930294796143626
45,(Everything I Do) I Do It for You,Silent Night,0.921895264338118
46,(Everything I Do) I Do It for You,Somebody That I Used to Know,0.9358160914740543
47,(Everything I Do) I Do It for You,Something Just Like This,0.8936147111656892
48,(Everything I Do) I Do It for You,Sweet Mother,0.9057880851295103
49,(Everything I Do) I Do It for You,Tennessee Waltz,0.8890492787020697
50,(Everything I Do) I Do It for You,The Last Farewell,0.8259093492795624
51,(Everything I Do) I Do It for You,Thinking Out Loud,0.9376477477201572
52,(Everything I Do) I Do It for You,Thrift Shop,0.932094118287913
53,(Everything I Do) I Do It for You,Un-Break My Heart,0.923416438347824
54,(Everything I Do) I Do It for You,Uptown Funk,0.9440687982713173
55,(Everything I Do) I Do It for You,Wabash Cannonball,0.8980779796035739
56,(Everything I Do) I Do It for You,Waka Waka (This Time for Africa),0.9635430300424799
57,(Everything I Do) I Do It for You,We Are the World,0.8890142853691667
58,(Everything I Do) I Do It for You,Y.M.C.A.,0.8752720607321453
59,(Everything I Do) I Do It for You,"Yes Sir, I Can Boogie",0.9346577133268071
60,(Everything I Do) I Do It for You,You're the One That I Want,0.9362882436320084
61,7 Rings,A Whiter Shade of Pale,0.8446341309372595
62,7 Rings,All About That Bass,0.9030221477691361
63,7 Rings,All I Want for Christmas Is You,0.9453103009645403
64,7 Rings,Bad Romance,0.9273350289272179
65,7 Rings,Bei Mir Bist Du Schön,0.8641812659027138
66,7 Rings,Blurred Lines,0.9654735668059452
67,7 Rings,Call Me Maybe,0.9466832093740957
68,7 Rings,Chirpy Chirpy Cheep Cheep,0.8795225881147998
69,7 Rings,Dance Monkey,0.8535346650977671
70,7 Rings,Despacito,0.9599664356808527
71,7 Rings,Earth Angel,0.925361486733076
72,7 Rings,Gangnam Style,0.909625273527386
73,7 Rings,Girls Like You,0.9659373420793282
74,7 Rings,Grenade,0.7401871422674919
75,7 Rings,Havana,0.8044099474604451
76,7 Rings,Hips Don't Lie,0.9275296949119053
77,7 Rings,I Took a Pill in Ibiza,0.9067500200377018
78,7 Rings,I Want to Hold Your Hand,0.8705853059437105
79,7 Rings,I Will Always Love You,0.900389865211999
80,7 Rings,I'm a Believer,0.9215382152436588
81,7 Rings,If I Didn't Care,0.8133623619304298
82,7 Rings,In the Summertime,0.8748084207382291
83,7 Rings,Kung Fu Fighting,0.9081880309298611
84,7 Rings,Lean On,0.948167216807538
85,7 Rings,Let It Go,0.9220836104217056
86,7 Rings,Love Me like You Do,0.9084590347006182
87,7 Rings,Love on the Brain,0.9543569148352337
88,7 Rings,Love Yourself,0.9668900681343241
89,7 Rings,Macarena,0.8512219733045371
90,7 Rings,Moves Like Jagger,0.9693534386346181
91,7 Rings,Mundian To Bach Ke,0.8445933090914369
92,7 Rings,My Heart Will Go On,0.9500186233496679
93,7 Rings,My Sharona,0.9279225276514141
94,7 Rings,My Sweet Lord,0.9236813967419358
95,7 Rings,Needed Me,0.9515022415382656
96,7 Rings,Old Town Road,0.9112217932009067
97,7 Rings,One Dance,0.9288571079828958
98,7 Rings,Right Round,0.9546136701892515
99,7 Rings,Rock Around the Clock,0.9281526484329297
100,7 Rings,Rock Your Baby,0.8816858772462833
101,7 Rings,Rolling in the Deep,0.9452767636526227
102,7 Rings,Rudolph the Red-Nosed Reindeer,0.7881636154761045
103,7 Rings,See You Again,0.9331247341725377
104,7 Rings,Shape of You,0.9341411188558811
105,7 Rings,Silent Night,0.9215431085287016
106,7 Rings,Somebody That I Used to Know,0.9366816104858318
107,7 Rings,Something Just Like This,0.9109383650143226
108,7 Rings,Sweet Mother,0.9025072126474819
109,7 Rings,Tennessee Waltz,0.8911157226965615
110,7 Rings,The Last Farewell,0.8112182486511867
111,7 Rings,Thinking Out Loud,0.9609517329009067
112,7 Rings,Thrift Shop,0.9485841673633078
113,7 Rings,Un-Break My Heart,0.9466767151877606
114,7 Rings,Uptown Funk,0.9669841636419838
115,7 Rings,Wabash Cannonball,0.8802746952886565
116,7 Rings,Waka Waka (This Time for Africa),0.9476586317076685
117,7 Rings,We Are the World,0.8652946924540518
118,7 Rings,Y.M.C.A.,0.8781939931557179
119,7 Rings,"Yes Sir, I Can Boogie",0.9128030926067578
120,7 Rings,You're the One That I Want,0.9065127942664799
121,A Whiter Shade of Pale,All About That Bass,0.7945968581501444
122,A Whiter Shade of Pale,All I Want for Christmas Is You,0.8204013377595736
123,A Whiter Shade of Pale,Bad Romance,0.8481173129487487
124,A Whiter Shade of Pale,Bei Mir Bist Du Schön,0.7670937886288742
125,A Whiter Shade of Pale,Blurred Lines,0.846466855636647
126,A Whiter Shade of Pale,Call Me Maybe,0.8296068207685187
