,(Everything I Do) I Do It for You,7 Rings,A Whiter Shade of Pale,All About That Bass,All I Want for Christmas Is You,Bad Romance,Bei Mir Bist Du Schön,Blurred Lines,Call Me Maybe,Chirpy Chirpy Cheep Cheep,Dance Monkey,Despacito,Earth Angel,Gangnam Style,Girls Like You,Grenade,Havana,Hips Don't Lie,I Took a Pill in Ibiza,I Want to Hold Your Hand,I Will Always Love You,I'm a Believer,If I Didn't Care,In the Summertime,Kung Fu Fighting,Lean On,Let It Go,Love Me like You Do,Love on the Brain,Love Yourself,Macarena,Moves Like Jagger,Mundian To Bach Ke,My Heart Will Go On,My Sharona,My Sweet Lord,Needed Me,Old Town Road,One Dance,Right Round,Rock Around the Clock,Rock Your Baby,Rolling in the Deep,Rudolph the Red-Nosed Reindeer,See You Again,Shape of You,Silent Night,Somebody That I Used to Know,Something Just Like This,Sweet Mother,Tennessee Waltz,The Last Farewell,Thinking Out Loud,Thrift Shop,Un-Break My Heart,Uptown Funk,Wabash Cannonball,Waka Waka (This Time for Africa),We Are the World,Y.M.C.A.,"Yes Sir, I Can Boogie",You're the One That I Want
(Everything I Do) I Do It for You,1.0,0.9495254646763122,0.8830603231989936,0.9217842370943311,0.9389587071604187,0.9442324049518455,0.9018069099280982,0.9480898803534611,0.9384595910953574,0.9037852412265495,0.8978436464207535,0.949945819260591,0.9310233702397893,0.9381967154561265,0.9431059426718444,0.8010032379314626,0.8503555237859874,0.9069712286419047,0.9318626662899389,0.8992341253074286,0.9071936451377165,0.9460403882645801,0.8499523302200556,0.9032274870604319,0.9298655018755476,0.9105806722472846,0.8957923968918122,0.9285931392247256,0.9375851817969392,0.9299939678697702,0.8801877223319969,0.9650279853112925,0.8547651578266404,0.9443986231591226,0.9371663229578593,0.9253188151904799,0.9227510517472074,0.9039785022532029,0.9265544972447882,0.9266381216875706,0.9524835957698056,0.9195473121852169,0.9433913633588691,0.7838023613074335,0.9222080379281069,0.930294796143626,0.921895264338118,0.9358160914740543,0.8936147111656892,0.9057880851295103,0.8890492787020697,0.8259093492795624,0.9376477477201572,0.932094118287913,0.923416438347824,0.9440687982713173,0.8980779796035739,0.9635430300424799,0.8890142853691667,0.8752720607321453,0.9346577133268071,0.9362882436320084
7 Rings,0.9495254646763122,1.0,0.8446341309372595,0.9030221477691361,0.9453103009645403,0.9273350289272179,0.8641812659027138,0.9654735668059452,0.9466832093740957,0.8795225881147998,0.8535346650977671,0.9599664356808527,0.925361486733076,0.909625273527386,0.9659373420793282,0.7401871422674919,0.8044099474604451,0.9275296949119053,0.9067500200377018,0.8705853059437105,0.900389865211999,0.9215382152436588,0.8133623619304298,0.8748084207382291,0.9081880309298611,0.948167216807538,0.9220836104217056,0.9084590347006182,0.9543569148352337,0.9668900681343241,0.8512219733045371,0.9693534386346181,0.8445933090914369,0.9500186233496679,0.9279225276514141,0.9236813967419358,0.9515022415382656,0.9112217932009067,0.9288571079828958,0.9546136701892515,0.9281526484329297,0.8816858772462833,0.9452767636526227,0.7881636154761045,0.9331247341725377,0.9341411188558811,0.9215431085287016,0.9366816104858318,0.9109383650143226,0.9025072126474819,0.8911157226965615,0.8112182486511867,0.9609517329009067,0.9485841673633078,0.9466767151877606,0.9669841636419838,0.8802746952886565,0.9476586317076685,0.8652946924540518,0.8781939931557179,0.9128030926067578,0.9065127942664799
A Whiter Shade of Pale,0.8830603231989936,0.8446341309372595,1.0,0.7945968581501444,0.8204013377595736,0.8481173129487487,0.7670937886288742,0.846466855636647,0.8296068207685187,0.9315989302257606,0.9334838579852025,0.8805221971339556,0.8523971063318176,0.9066451521430966,0.83418867643192,0.777680178809662,0.8750773949323463,0.7738317922522595,0.9209839550678919,0.9072680230989943,0.8678920628289108,0.9120667328137234,0.8781806470339102,0.9562244317970661,0.9240218557608001,0.7865767729185427,0.8070915966693197,0.7976279583482578,0.8529071994497209,0.8333206025331799,0.8669053310778272,0.8880616122372315,0.685660689865873,0.8753234425136645,0.9022294417754363,0.875317973141107,0.7921198271842288,0.8647634768096006,0.8592172435997734,0.8561378469062259,0.8981577089408429,0.9672631662948983,0.8452231985746058,0.7900582169933652,0.8995885558288224,0.8328252621100183,0.8529817938065212,0.8832994754998239,0.8288058413963848,0.8490459886722879,0.8483985697021096,0.7850339240983732,0.8314966965193097,0.851410352514254,0.7856176911675573,0.8614458902101889,0.8862148412557933,0.8686928731959641,0.8866625071671871,0.8798807405942938,0.9056509042215731,0.9156880969466784
All About That Bass,0.9217842370943311,0.9030221477691361,0.7945968581501444,1.0,0.8974628501417001,0.9317276670177101,0.8338452191832716,0.9098214887199442,0.9212037592865372,0.7622034069647223,0.8005244248990903,0.9036157154498349,0.8648811508330658,0.9104624530610079,0.9184556134055143,0.6679046976706597,0.7171148502185427,0.8746011996163908,0.8180774022873686,0.7670768169931065,0.8089787172396764,0.8765974810673259,0.6959537386539509,0.786436438109034,0.8276377422436922,0.8993683313249946,0.8286889008062913,0.8445301647450073,0.8800569014193966,0.9051997666959214,0.8103641098672641,0.9169533112492787,0.8831696838060481,0.8377284952051703,0.8626719419213238,0.8345055242893222,0.8989705865098174,0.8863422299979451,0.9150744377757452,0.8989324319270431,0.8692222864055059,0.8151776385937379,0.9176966917583741,0.6280228018565983,0.8384103367608629,0.9274452103524261,0.8223081294320796,0.8814387386990832,0.880909341502907,0.8455943859371998,0.7860844562030301,0.6711252524861211,0.9036505291935385,0.9020080007864931,0.9143124254648101,0.8916619055170241,0.7783540656438136,0.913394448561212,0.7585855646090724,0.7370967060583847,0.8148964686876116,0.8147745191306834
All I Want for Christmas Is You,0.9389587071604187,0.9453103009645403,0.8204013377595736,0.8974628501417001,1.0,0.9256573644492097,0.8789126987451231,0.9564626051699621,0.9588360967066483,0.8610411157471001,0.830507908526002,0.9366547544575801,0.927501599768752,0.8788415600539439,0.9391452392368835,0.7612902816033765,0.7597630161217802,0.9349597770293948,0.9012333674673217,0.8892295727795237,0.9119359957577341,0.9025306116605116,0.8377180507467736,0.849792332998538,0.8909946114151213,0.9259840520109743,0.9192398700043163,0.9395757326094423,0.9514069969703995,0.9484445208605881,0.8794678451667355,0.9494168066875933,0.849095890326181,0.9102270343419422,0.9245551153904058,0.9282054372438188,0.9476663634888132,0.8683422092580109,0.9324059805978944,0.9316065933790466,0.9103531470242409,0.8624367468703577,0.9641315390071042,0.800112297475506,0.9204805335509365,0.9413049672012771,0.8895848617621919,0.8986345323628876,0.9431632017546042,0.9217641108595163,0.9092442131673102,0.8644962529574249,0.9419656946170477,0.9530481834418074,0.9472262449038505,0.9467833930380968,0.880388291361133,0.9292780335644933,0.8850862131349438,0.8381068231969377,0.9077292077488385,0.908926768607175
Bad Romance,0.9442324049518455,0.9273350289272179,0.8481173129487487,0.9317276670177101,0.9256573644492097,1.0,0.854998240012561,0.947017938780678,0.9434842684137252,0.8421088350034698,0.8517805194052721,0.9257972624990716,0.9139449106225398,0.9170062788970174,0.9273047509561579,0.7445312954802211,0.7987525396645087,0.8920699446820453,0.8961824437743693,0.8433566566713357,0.881953905064276,0.8982919479748824,0.7818424980932775,0.8507994741556594,0.888745511249611,0.8925976771105469,0.8880050408187052,0.8924274111452432,0.9208682157505701,0.9234181279827868,0.8763926499285433,0.9448876524527109,0.8535267190921474,0.8956034557638116,0.9030110675485931,0.9022777121255721,0.9062331894624595,0.9040528073149984,0.9158402091226969,0.9173729987880191,0.9101633149129801,0.8645451772098429,0.9417323662796274,0.7440343327103695,0.9047270438121775,0.9255464722761931,0.8809468158168948,0.9185798512025557,0.908268952478269,0.9032279231685783,0.8761043689955522,0.7767320320893976,0.9251973320093029,0.9207209743321431,0.9306117950878465,0.9258481859602294,0.8662713776628993,0.9412267036352743,0.8316905118117606,0.81049007396753,0.874649645810983,0.8887115581078204
Bei Mir Bist Du Schön,0.9018069099280982,0.8641812659027138,0.7670937886288742,0.8338452191832716,0.8789126987451231,0.854998240012561,1.0,0.8540548235848524,0.8401989882215654,0.8093339372502686,0.7573115564406573,0.8729533751560068,0.889514929594987,0.8732762814710217,0.8398302259654977,0.7690512277571372,0.7783739360939226,0.8765048900164958,0.8693859820365578,0.8283400792493574,0.8588812480581767,0.8316655714791514,0.808095580466672,0.7891677445679323,0.855982585343368,0.8245404197385547,0.8423178110987635,0.8990000772560205,0.8288140346207749,0.8340353187313229,0.8257081201174445,0.8550279186471041,0.8777667485117707,0.8511012768917225,0.8193423321807684,0.8396696033189351,0.8566450175317555,0.7733570329498453,0.8672232163481752,0.8248629450436832,0.853124994519965,0.7983128304964181,0.8538185311933051,0.736892249157616,0.824107150403094,0.8429853740897136,0.8933791138874628,0.8085812814412192,0.8767236160916403,0.8753886247889946,0.8601344398782959,0.8186854395815483,0.829696558803489,0.8666715177271171,0.8282612884992598,0.8362522627361457,0.8565863914365205,0.8905929551368993,0.8052397589543275,0.8113808973472715,0.8363150070925733,0.8674925043086288
Blurred Lines,0.9480898803534611,0.9654735668059452,0.846466855636647,0.9098214887199442,0.9564626051699621,0.947017938780678,0.8540548235848524,1.0,0.9505489677930067,0.8774794957710674,0.851864813598298,0.9523612494697418,0.9320433557268073,0.903909155772878,0.9590735724330517,0.7512882879620116,0.8056075041573248,0.9389293664290147,0.923962581671832,0.8877422067355732,0.9043225832976036,0.9194244936816525,0.824408154327237,0.874569975145565,0.9072839329066043,0.9356778398371249,0.9151552354060215,0.9236844089799109,0.9622976103074782,0.9601478796203341,0.8843758042234727,0.9702240212239079,0.846437725814762,0.9428464994525033,0.9271034850563571,0.9309253813837818,0.9409877531615582,0.9110751708542918,0.9314549379572019,0.942369858552706,0.9298845275641135,0.8832749098316416,0.9566732964074811,0.8177177970460437,0.939917406891137,0.9487197006167617,0.9023561448605432,0.9249736443843616,0.924558199872444,0.9298165895419634,0.9073791002486735,0.8392871993319629,0.9572516044909437,0.9572134707793264,0.9482492267119098,0.9679533486208821,0.8992040262714489,0.9496053040740682,0.8830819529376955,0.8643552570141444,0.9217859542914482,0.9217792503614268
Call Me Maybe,0.9384595910953574,0.9466832093740957,0.8296068207685187,0.9212037592865372,0.9588360967066483,0.9434842684137252,0.8401989882215654,0.9505489677930067,1.0,0.8535678155316112,0.846156088779872,0.9468959927787604,0.9369116373699833,0.8928980211772859,0.9528779765249901,0.7475095955058608,0.7595406688661855,0.920444171411592,0.8950505588375279,0.8731359458513359,0.8942026803352847,0.9082615659211977,0.8065803519809885,0.8371317091969009,0.8841438907102386,0.9306431456290877,0.9281629622480732,0.9260389685598482,0.967115256221014,0.9679518904528674,0.8699679698830327,0.9595427561373092,0.853130215134744,0.8969277590458175,0.9219420002062598,0.9250108049030352,0.9594503403547794,0.9022938576014351,0.928365113071649,0.9609004433387373,0.9150715174870524,0.8586330589899502,0.9718685321563085,0.7561430580710847,0.9253485633193521,0.9558174969577947,0.883572211642566,0.9297983963616516,0.9265966576637831,0.9004261496612839,0.90284536614471,0.820295861165505,0.9669596454226965,0.9280755422604949,0.9698903202865733,0.9596088089701019,0.8573720396088941,0.9432765943200938,0.8568426323337395,0.8202404368849983,0.8974728566440865,0.8851934757890468
Chirpy Chirpy Cheep Cheep,0.9037852412265495,0.8795225881147998,0.9315989302257606,0.7622034069647223,0.8610411157471001,0.8421088350034698,0.8093339372502686,0.8774794957710674,0.8535678155316112,1.0,0.9221153384558407,0.8986760572351497,0.8980665077959593,0.8812972903249385,0.8558747794177202,0.8341744326272101,0.9009576097061944,0.823170933221759,0.9636221985224123,0.9582648320127369,0.9374458884904121,0.916801279485535,0.9413601880776692,0.9683912734743705,0.9578308012869284,0.813899455594875,0.8898975141988398,0.867161040718784,0.884073876464304,0.8422463301912653,0.899794855073378,0.9083052009827248,0.6862940990333954,0.9363400274229305,0.9211632498405055,0.9342729279888426,0.8401938040702616,0.8653022292039324,0.8535122199401844,0.8595070854295689,0.9246989526934983,0.9600959822531004,0.8653849713653737,0.8834444500892343,0.9295358689579912,0.8390115725501915,0.9068230369425336,0.9040961412471257,0.8255511492313452,0.8877342353455064,0.9212207455414756,0.8954738457713838,0.8625862804459303,0.8846697598749381,0.8065738424067208,0.9005824154872436,0.9397217423026868,0.8852993488359877,0.9457642359798891,0.9500067607210454,0.962232576911088,0.9702613899413366
